,w_0,v_0,v_1,v_2,v_3
0,91,21,96,10,65
1,49,34,92,24,80
2,1,66,1,14,72
3,22,19,39,72,63
4,88,30,78,4,33
5,46,72,8,57,37
6,69,84,73,32,90
7,74,8,24,84,51
8,56,50,28,60,89
9,90,41,6,17,38
10,58,91,92,100,57
11,94,59,73,3,4
12,29,30,25,59,45
13,83,86,44,84,7
14,14,79,96,80,68
15,1,52,63,70,39
16,47,40,11,74,1
17,78,6,94,78,65
18,84,92,94,19,34
19,42,18,40,21,41
20,78,19,33,41,86
21,66,43,55,99,95
22,81,84,22,3,91
23,80,66,44,82,1
24,28,82,39,40,68
25,37,77,100,7,9
26,42,76,76,19,19
27,45,35,31,28,72
28,53,4,50,64,90
29,61,75,25,2,18
30,843,0,0,0,0
