,w_0,v_0,v_1,v_2,v_3,v_4
0,65,26,12,77,69,64
1,97,17,93,96,54,77
2,91,63,94,18,74,85
3,69,22,33,15,4,52
4,43,34,65,32,1,12
5,27,39,9,74,28,95
6,91,1,82,32,52,79
7,78,32,77,73,8,85
8,82,95,59,70,14,39
9,93,99,39,53,26,25
10,53,41,44,72,54,11
11,74,72,9,47,56,61
12,77,36,27,1,16,37
13,83,67,83,69,12,32
14,16,60,34,52,23,74
15,68,82,10,28,80,20
16,39,70,33,84,97,53
17,66,57,45,36,82,41
18,96,79,1,26,96,56
19,57,15,28,48,53,77
20,84,87,8,97,35,78
21,6,86,7,4,70,12
22,26,13,64,50,31,17
23,28,18,60,54,30,68
24,60,77,5,79,65,51
25,49,95,30,21,53,66
26,77,77,17,58,98,10
27,43,59,95,14,88,32
28,51,12,45,65,3,65
29,18,73,96,84,89,24
30,903,0,0,0,0,0
