,w_0,v_0,v_1,v_2,v_3,v_4,v_5
0,36,5,19,94,3,13,17
1,58,45,91,1,52,53,4
2,22,81,98,6,42,51,49
3,58,36,30,86,41,22,36
4,68,1,23,38,51,99,13
5,83,71,47,28,100,15,40
6,37,82,85,70,84,62,75
7,38,40,5,6,38,99,22
8,35,5,52,73,97,19,50
9,66,10,94,18,1,65,77
10,41,5,3,89,53,70,42
11,22,7,86,15,89,25,2
12,34,13,10,12,58,35,55
13,37,32,3,53,3,41,14
14,40,26,40,8,19,40,24
15,95,54,51,23,77,83,79
16,44,5,29,36,20,8,43
17,89,79,16,97,78,12,95
18,80,33,21,66,83,77,82
19,60,17,68,30,29,90,97
20,44,29,13,41,8,11,81
21,31,53,15,59,53,27,67
22,12,14,86,44,51,33,85
23,51,49,33,39,54,20,91
24,68,58,60,18,16,16,64
25,57,76,75,9,97,34,31
26,92,22,18,71,59,96,15
27,5,94,4,87,81,49,55
28,90,1,86,7,60,92,77
29,32,22,26,21,91,18,36
30,762,0,0,0,0,0,0
