,w_0,v_0,v_1,v_2,v_3,v_4,v_5,v_6
0,51,15,98,8,77,39,91,81
1,99,96,72,42,70,55,1,54
2,20,31,59,42,41,99,33,97
3,52,75,96,36,86,68,41,25
4,52,35,29,51,30,95,12,84
5,65,21,63,83,51,62,6,5
6,58,9,79,65,70,26,25,70
7,65,16,58,35,77,95,20,78
8,100,52,50,80,56,80,73,65
9,68,76,39,60,55,59,64,5
10,98,99,23,97,39,76,7,49
11,4,22,40,77,67,13,17,53
12,28,11,61,43,91,52,60,91
13,28,85,50,40,75,71,11,50
14,80,90,12,92,47,91,10,14
15,40,5,23,86,62,24,17,86
16,32,44,22,26,77,77,51,26
17,32,88,44,3,70,10,53,98
18,20,24,10,54,99,63,58,40
19,16,62,35,68,86,39,45,86
20,22,97,79,75,63,36,85,25
21,23,76,95,77,65,3,88,18
22,96,43,51,89,60,42,49,60
23,80,91,12,74,7,30,63,71
24,8,84,37,39,10,51,4,92
25,91,14,27,3,61,2,90,76
26,16,19,30,14,91,48,100,88
27,75,34,95,7,49,96,80,91
28,44,19,31,26,5,23,84,74
29,38,15,99,64,88,43,11,10
30,750,0,0,0,0,0,0,0
