,w_0,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7
0,65,26,12,77,69,64,83,75,38
1,97,17,93,96,54,77,80,48,78
2,91,63,94,18,74,85,27,80,61
3,69,22,33,15,4,52,18,86,36
4,43,34,65,32,1,12,90,31,9
5,27,39,9,74,28,95,52,99,55
6,91,1,82,32,52,79,21,43,68
7,78,32,77,73,8,85,76,96,100
8,82,95,59,70,14,39,88,75,30
9,93,99,39,53,26,25,88,44,73
10,53,41,44,72,54,11,59,42,30
11,74,72,9,47,56,61,28,54,99
12,77,36,27,1,16,37,64,71,72
13,83,67,83,69,12,32,23,18,49
14,16,60,34,52,23,74,90,65,86
15,68,82,10,28,80,20,24,4,46
16,39,70,33,84,97,53,95,24,7
17,66,57,45,36,82,41,89,96,8
18,96,79,1,26,96,56,58,27,25
19,57,15,28,48,53,77,14,82,62
20,84,87,8,97,35,78,10,36,57
21,6,86,7,4,70,12,77,36,33
22,26,13,64,50,31,17,21,95,14
23,28,18,60,54,30,68,46,54,5
24,60,77,5,79,65,51,96,57,3
25,49,95,30,21,53,66,1,92,84
26,77,77,17,58,98,10,13,90,11
27,43,59,95,14,88,32,13,15,40
28,51,12,45,65,3,65,23,97,61
29,18,73,96,84,89,24,86,7,10
30,903,0,0,0,0,0,0,0,0
