,row,col,cost,specie 0,specie 1,specie 2,specie 3,specie 4,specie 5,specie 6,specie 7,specie 8,specie 9,specie 10,specie 11,specie 12,specie 13,specie 14
0,0,0,3,0,2,0,2,1,0,0,1,0,0,0,0,0,0,0
1,0,1,3,0,11,1,2,3,0,0,2,0,0,0,0,0,0,1
2,0,2,4,2,6,0,3,0,0,0,4,0,0,0,0,0,0,0
3,0,3,5,3,2,0,6,0,0,0,3,0,0,0,0,0,0,0
4,0,4,4,1,8,0,8,0,0,0,1,2,0,1,0,0,0,6
5,0,5,3,2,3,0,1,3,0,0,0,2,0,0,0,0,0,3
6,0,6,3,0,6,0,0,0,0,0,0,5,0,0,0,0,0,3
7,0,7,3,0,1,0,0,0,0,0,0,5,0,1,3,0,0,1
8,0,8,3,1,0,0,0,0,0,0,0,3,0,3,0,0,0,1
9,0,9,3,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0
10,1,0,3,1,3,4,2,4,0,0,2,0,0,0,0,0,2,0
11,1,1,5,3,4,1,5,2,0,0,2,0,0,0,0,0,1,0
12,1,2,7,7,0,2,4,1,0,0,1,0,0,0,0,0,0,0
13,1,3,9,7,3,0,6,2,1,0,1,0,0,0,0,0,0,0
14,1,4,7,8,1,0,5,1,0,0,0,0,0,0,0,0,0,3
15,1,5,4,2,5,0,2,5,1,0,1,1,0,0,0,0,0,3
16,1,6,3,0,5,1,0,3,0,0,1,0,0,0,0,0,1,0
17,1,7,3,1,3,4,0,1,0,1,0,2,0,2,2,0,0,0
18,1,8,11,0,0,4,0,0,0,0,0,0,0,7,5,0,1,0
19,1,9,3,0,1,2,1,3,0,0,0,1,0,4,5,0,4,0
20,2,0,8,0,0,3,12,3,0,0,0,0,0,0,0,0,2,0
21,2,1,8,4,1,2,7,3,0,0,1,0,0,0,0,0,2,0
22,2,2,9,6,6,0,12,2,1,0,0,0,0,0,0,0,0,0
23,2,3,12,7,2,1,7,4,1,0,2,0,0,0,0,0,0,0
24,2,4,9,4,6,0,4,3,2,0,1,0,0,0,0,0,0,0
25,2,5,5,2,1,0,2,4,2,3,2,0,0,0,0,0,0,0
26,2,6,6,4,2,0,0,2,0,3,0,1,0,3,0,0,0,0
27,2,7,11,1,3,3,4,0,0,0,0,0,0,6,2,0,0,0
28,2,8,12,0,0,9,4,2,0,0,0,0,0,5,6,0,3,0
29,2,9,11,0,1,6,5,3,0,1,0,0,0,9,8,0,8,0
30,3,0,10,0,0,8,6,3,0,0,2,0,0,0,0,0,10,0
31,3,1,11,2,5,5,4,1,1,1,0,0,0,0,0,0,1,1
32,3,2,10,0,4,5,7,1,3,0,0,0,0,0,0,0,0,0
33,3,3,9,6,3,1,6,5,2,0,6,0,1,0,0,0,0,0
34,3,4,15,3,3,0,3,5,9,1,5,0,1,0,0,0,0,0
35,3,5,9,6,0,1,3,2,4,3,8,0,1,0,0,0,0,0
36,3,6,15,0,0,5,4,2,1,3,1,0,1,3,1,0,0,0
37,3,7,15,0,1,4,3,0,1,1,0,0,0,6,5,0,1,0
38,3,8,11,0,0,8,2,0,0,2,0,0,0,9,4,0,3,0
39,3,9,3,0,0,4,5,2,0,0,4,0,0,7,1,0,4,0
40,4,0,11,0,0,1,3,1,1,3,10,0,0,0,0,0,0,0
