,solution,time,obj value,solve_calls_sat,solve_calls_unsat,time_solve_sat,time_solve_unsat
0,"[134, 219, 337]",0.3129866660165135,13402190337,7,0,0.32965096496627666,0
1,"[135, 216, 341]",0.35448621900286525,13502160341,8,0,0.4253900339535903,0
2,"[136, 215, 338]",0.3794335760176182,13602150338,9,0,0.5460763409500942,0
3,"[135, 218, 334]",0.4027734710252844,13502180334,10,0,0.6901026829436887,0
4,"[134, 223, 332]",0.4189495720202103,13402230332,11,0,0.8503048419370316,0
5,"[137, 213, 343]",0.5120736329990905,13702130343,14,0,1.5203490579151548,0
6,"[138, 211, 348]",0.5337236260238569,13802110348,15,0,1.7953251879080199,0
7,"[139, 210, 345]",0.55657150602201,13902100345,16,0,2.093149271910079,0
8,"[138, 212, 338]",0.579464350012131,13802120338,17,0,2.4138662509212736,0
9,"[140, 208, 350]",0.646089985006256,14002080350,20,0,3.512974320910871,0
10,"[141, 207, 345]",0.6662556360242888,14102070345,21,0,3.9204824759217445,0
11,"[140, 209, 340]",0.6884038120042533,14002090340,22,0,4.350138889916707,0
12,"[139, 211, 335]",0.7091417490155436,13902110335,23,0,4.800533280911623,0
13,"[137, 215, 334]",0.7350666300044395,13702150334,24,0,5.276852556911763,0
14,"[138, 214, 331]",0.7626991459983401,13802140331,25,0,5.780804407899268,0
15,"[135, 222, 329]",0.7881012580182869,13502220329,26,0,6.310158333886648,0
16,"[136, 218, 330]",0.8355642830138095,13602180330,28,0,7.437106921890518,0
17,"[137, 217, 327]",0.86253516501165,13702170327,29,0,8.04089480888797,0
18,"[136, 222, 325]",0.9075461970060132,13602220325,31,0,9.318644298880827,0
19,"[142, 206, 342]",1.0182615360245109,14202060342,36,0,12.905664629884996,0
20,"[141, 208, 337]",1.0378242730221245,14102080337,37,0,13.684741615870735,0
21,"[143, 204, 347]",1.1023369560134597,14302040347,40,0,16.15569368386059,0
22,"[144, 203, 344]",1.1221631040098146,14402030344,41,0,17.019109414861305,0
23,"[146, 202, 337]",1.1670404630131088,14602020337,43,0,18.814558440848486,0
24,"[144, 205, 335]",1.1927465930057224,14402050335,44,0,19.74855787283741,0
25,"[143, 206, 338]",1.2189664440229535,14302060338,45,0,20.708777032850776,0
26,"[143, 207, 330]",1.2421823510085233,14302070330,46,0,21.692212138848845,0
27,"[141, 210, 328]",1.2654239740222692,14102100328,47,0,22.698888914834242,0
28,"[140, 211, 331]",1.2927879030175973,14002110331,48,0,23.732929678837536,0
29,"[139, 214, 327]",1.3193951490102336,13902140327,49,0,24.79357753682416,0
30,"[140, 213, 324]",1.3430119070108049,14002130324,50,0,25.87784225982614,0
31,"[137, 221, 322]",1.3646565370145254,13702210322,51,0,26.983751553838374,0
32,"[138, 218, 326]",1.408703824999975,13802180326,53,0,29.26039760184358,0
33,"[139, 218, 322]",1.4620816340029705,13902180322,55,0,31.639426329842536,0
34,"[142, 208, 333]",1.5120850450184662,14202080333,57,0,34.12247213485534,0
35,"[145, 203, 340]",1.584150695009157,14502030340,60,0,38.027285010844935,0
36,"[145, 204, 335]",1.6068195570260286,14502040335,61,0,39.375357401848305,0
37,"[147, 200, 349]",1.6499930590216536,14702000349,63,0,42.134952744847396,0
38,"[148, 199, 342]",1.6697628640104085,14801990342,64,0,43.545968254853506,0
39,"[147, 201, 337]",1.6932684920029715,14702010337,65,0,44.98048951083911,0
40,"[149, 198, 339]",1.7364496030204464,14901980339,67,0,47.91480760485865,0
41,"[151, 197, 332]",1.7854710340034217,15101970332,69,0,50.94435041586985,0
42,"[149, 200, 330]",1.8097380310064182,14902000330,70,0,52.49534124787897,0
43,"[146, 203, 332]",1.828704806015594,14602030332,71,0,54.06529878589208,0
44,"[144, 206, 330]",1.8500506580166984,14402060330,72,0,55.656602180883056,0
45,"[145, 205, 333]",1.875208569021197,14502050333,73,0,57.27306369287544,0
46,"[148, 201, 333]",1.964799961016979,14802010333,76,0,62.31948713486781,0
47,"[148, 202, 325]",1.9865054610127117,14802020325,77,0,64.04724532488035,0
48,"[146, 205, 323]",2.0105996310012415,14602050323,78,0,65.79909772888641,0
49,"[143, 209, 326]",2.038779960013926,14302090326,79,0,67.57913041187567,0
50,"[142, 210, 326]",2.0634955000132322,14202100326,80,0,69.38387873387546,0
51,"[144, 208, 326]",2.091231101017911,14402080326,81,0,71.21636254986515,0
52,"[145, 206, 326]",2.14137086700066,14502060326,82,0,73.09898634487763,0
53,"[142, 212, 322]",2.1714216870022938,14202120322,83,0,75.01166082688724,0
54,"[140, 217, 319]",2.1991840060218237,14002170319,84,0,76.95209772788803,0
55,"[141, 214, 323]",2.2499273610010277,14102140323,86,0,80.90863684687065,0
56,"[143, 211, 322]",2.332375595025951,14302110322,89,0,87.04676377488067,0
57,"[144, 209, 322]",2.361045248020673,14402090322,90,0,89.14906174587668,0
58,"[145, 208, 319]",2.389687525021145,14502080319,91,0,91.28000232588965,0
59,"[142, 214, 321]",2.455928250012221,14202140321,92,0,93.47718336989055,0
60,"[143, 213, 321]",2.5148022460052744,14302130321,93,0,95.733238260902,0
61,"[144, 212, 321]",2.54621635802323,14402120321,94,0,98.02070730089326,0
62,"[142, 216, 317]",2.600378319999436,14202160317,96,0,102.67465399487992,0
