,solution,time,obj value,solve_calls_sat,solve_calls_unsat,time_solve_sat,time_solve_unsat
0,"[174, 298, 275]",0.024552418995881453,17402980275,1,0,0.024536593999073375,0.0
1,"[175, 290, 274]",0.0521458299990627,17502900274,2,0,0.051947820000350475,0.0
2,"[176, 284, 273]",0.08271534700179473,17602840273,3,0,0.08246246500493726,0.0
3,"[176, 300, 270]",0.11424994000117294,17603000270,4,0,0.11394079800811596,0.0
4,"[177, 292, 269]",0.14572115700138966,17702920269,5,0,0.14519199300411856,0.0
5,"[178, 286, 268]",0.1803842200024519,17802860268,6,0,0.17978433700773166,0.0
6,"[179, 301, 267]",0.23411473399755778,17903010267,7,0,0.2334414100041613,0.0
7,"[180, 293, 266]",0.27963280199764995,18002930266,8,0,0.2788786439996329,0.0
8,"[181, 287, 265]",0.31535341199924005,18102870265,9,0,0.3143851829954656,0.0
9,"[182, 305, 264]",0.3605850489984732,18203050264,10,0,0.359536935990036,0.0
10,"[183, 297, 263]",0.41403252800228074,18302970263,11,0,0.41291303899197374,0.0
11,"[183, 303, 262]",0.47149564499704866,18303030262,12,0,0.4701416169918957,0.0
12,"[184, 295, 261]",0.5268005420002737,18402950261,13,0,0.5253388039927813,0.0
13,"[185, 289, 260]",0.5785819859956973,18502890260,14,0,0.5770018929906655,0.0
14,"[186, 304, 259]",0.6376350599966827,18603040259,15,0,0.6357890739891445,0.0
15,"[187, 296, 258]",0.6982074629995623,18702960258,16,0,0.6962280949883279,0.0
16,"[188, 290, 257]",0.7532252599994536,18802900257,17,0,0.7511223719848203,0.0
17,"[189, 308, 256]",0.8222551869985182,18903080256,18,0,0.8198732039818424,0.0
18,"[190, 300, 255]",0.8925461760009057,19003000255,19,0,0.8900114079806372,0.0
19,"[191, 294, 254]",0.9514492259986582,19102940254,20,0,0.9487607299743104,0.0
20,"[193, 306, 253]",1.029022973998508,19303060253,21,0,1.02603495396761,0.0
21,"[193, 325, 247]",1.0991823020012816,19303250247,22,0,1.0960251559663448,0.0
22,"[194, 320, 240]",1.158759685997211,19403200240,23,0,1.1552926339718397,0.0
23,"[195, 317, 239]",1.2205334000027506,19503170239,24,0,1.2168853869734448,0.0
24,"[195, 322, 235]",1.273460199998226,19503220235,25,0,1.2694984349727747,0.0
25,"[196, 312, 232]",1.323180309998861,19603120232,26,0,1.3190185399726033,0.0
26,"[197, 314, 227]",1.3664675620020716,19703140227,27,0,1.3619638979726005,0.0
27,"[200, 310, 223]",1.4142327419976937,20003100223,28,0,1.4095236969733378,0.0
28,"[201, 314, 220]",1.4650969840004109,20103140220,29,0,1.460174035972159,0.0
29,"[203, 307, 219]",1.526953266999044,20303070219,30,0,1.5216559319669614,0.0
