,solution,time,obj value,solve_calls_sat,solve_calls_unsat,time_solve_sat,time_solve_unsat
0,"[134, 219, 337]",0.15383282200491522,13402190337,5,0,0.15382044100988423,0.0
1,"[134, 223, 332]",0.16861715300183278,13402230332,6,0,0.1684970620117383,0.0
2,"[135, 222, 329]",0.18698160100029781,13502220329,7,0,0.18683492701529758,0.0
3,"[136, 222, 325]",0.20487879600113956,13602220325,8,0,0.20470184901205357,0.0
4,"[137, 221, 322]",0.22250689200154739,13702210322,9,0,0.22229871201125206,0.0
5,"[140, 217, 319]",0.24469560800207546,14002170319,10,0,0.2444542620141874,0.0
6,"[141, 222, 316]",0.269606718000432,14102220316,11,0,0.2693305550128571,0.0
7,"[144, 218, 313]",0.29676647900487296,14402180313,12,0,0.29636392601241823,0.0
8,"[146, 217, 311]",0.31887424400338205,14602170311,13,0,0.31843439600925194,0.0
9,"[149, 213, 308]",0.3425577730013174,14902130308,14,0,0.3420720060094027,0.0
10,"[151, 258, 298]",0.38074271799996495,15102580298,15,0,0.3802145630106679,0.0
11,"[151, 261, 296]",0.4128650920029031,15102610296,16,0,0.41220632901240606,0.0
12,"[152, 253, 295]",0.44293128700519446,15202530295,17,0,0.44222620301297866,0.0
13,"[152, 256, 293]",0.47191070100234356,15202560293,18,0,0.47115481601213105,0.0
14,"[153, 257, 292]",0.5034575500030769,15302570292,19,0,0.5026495140118641,0.0
15,"[153, 260, 290]",0.5326272169986623,15302600290,20,0,0.5316801610097173,0.0
16,"[154, 252, 289]",0.5578752190049272,15402520289,21,0,0.5568670260036015,0.0
17,"[154, 255, 287]",0.581267059998936,15402550287,22,0,0.5802020679984707,0.0
18,"[155, 260, 285]",0.6109804880034062,15502600285,23,0,0.6098524699991685,0.0
19,"[156, 252, 284]",0.6361203850028687,15602520284,24,0,0.6348388210026314,0.0
20,"[156, 255, 282]",0.6553532210018602,15602550282,25,0,0.6540099160047248,0.0
21,"[157, 255, 281]",0.6800182720035082,15702550281,26,0,0.678609676004271,0.0
22,"[157, 263, 280]",0.7043391810002504,15702630280,27,0,0.7028611570058274,0.0
23,"[158, 255, 279]",0.7248207130032824,15802550279,28,0,0.7232716720100143,0.0
24,"[158, 258, 277]",0.7485105230007321,15802580277,29,0,0.7467984170143609,0.0
25,"[159, 255, 276]",0.7681605160032632,15902550276,30,0,0.7663326000110828,0.0
26,"[160, 263, 274]",0.7913352040050086,16002630274,31,0,0.7894309460098157,0.0
27,"[161, 255, 273]",0.8107982310029911,16102550273,32,0,0.8087912340051844,0.0
28,"[161, 258, 271]",0.8281464540050365,16102580271,33,0,0.8260582709990558,0.0
29,"[163, 256, 270]",0.8485304170026211,16302560270,34,0,0.8462727410005755,0.0
30,"[164, 254, 269]",0.8664506620043539,16402540269,35,0,0.8641103569971165,0.0
31,"[165, 255, 268]",0.8907339240031433,16502550268,36,0,0.888307821995113,0.0
32,"[165, 262, 267]",0.9119439580026665,16502620267,37,0,0.9094276009927853,0.0
33,"[165, 264, 266]",0.9329536939985701,16502640266,38,0,0.9303436359914485,0.0
34,"[166, 257, 264]",0.9506820460010204,16602570264,39,0,0.9478912179911276,0.0
35,"[168, 255, 263]",0.9699650030015619,16802550263,40,0,0.9670819209932233,0.0
36,"[169, 259, 262]",0.9920684180033277,16902590262,41,0,0.9890887119981926,0.0
37,"[170, 254, 261]",1.0095981550039141,17002540261,42,0,1.00651834999735,0.0
38,"[170, 263, 259]",1.025801299001614,17002630259,43,0,1.0226239199982956,0.0
39,"[172, 261, 258]",1.043381813004089,17202610258,44,0,1.040103231993271,0.0
40,"[173, 265, 257]",1.0620181510021212,17302650257,45,0,1.0585478439897997,0.0
41,"[174, 260, 256]",1.078501342999516,17402600256,46,0,1.0749256369890645,0.0
42,"[176, 258, 255]",1.096701253001811,17602580255,47,0,1.093018140993081,0.0
43,"[177, 262, 254]",1.1157849349983735,17702620254,48,0,1.1119935089955106,0.0
44,"[179, 260, 253]",1.1359427490024245,17902600253,49,0,1.1320342019971577,0.0
45,"[180, 257, 252]",1.1543603120007901,18002570252,50,0,1.1503339189948747,0.0
46,"[182, 255, 251]",1.1732726760019432,18202550251,51,0,1.1690398209975683,0.0
47,"[183, 259, 250]",1.1934933450029348,18302590250,52,0,1.1891414359997725,0.0
48,"[185, 257, 249]",1.2155892330047209,18502570249,53,0,1.211115324003913,0.0
49,"[186, 255, 248]",1.2332161400045152,18602550248,54,0,1.2286197590074153,0.0
50,"[188, 253, 247]",1.2514953659992898,18802530247,55,0,1.2467775860059191,0.0
51,"[189, 257, 246]",1.2688928300049156,18902570246,56,0,1.2640493790022447,0.0
52,"[191, 255, 245]",1.288116510004329,19102550245,57,0,1.2830555039981846,0.0
53,"[193, 260, 244]",1.307119208999211,19302600244,58,0,1.3019281849992694,0.0
54,"[197, 256, 243]",1.3257843860046705,19702560243,59,0,1.3204577279975638,0.0
55,"[200, 262, 242]",1.344396152999252,20002620242,60,0,1.3389347379925312,0.0
56,"[204, 258, 241]",1.363280224002665,20402580241,61,0,1.3576845419956953,0.0
57,"[211, 263, 240]",1.382957391004311,21102630240,62,0,1.3772256229931372,0.0
