,solution,time,obj value,solve_calls_sat,solve_calls_unsat,time_solve_sat,time_solve_unsat
0,"[187, 306, 336]",0.1256796820089221,18703060336,4,0,0.16102304821833968,0
1,"[400, 319, 158]",0.1459938189946115,40003190158,5,0,0.26091880816966295,0
2,"[347, 138, 280]",0.15184687194414437,34701380280,6,0,0.36666733119636774,0
3,"[396, 316, 159]",0.18753307196311653,39603160159,7,0,0.5081024861428887,0
4,"[393, 322, 160]",0.22324359300546348,39303220160,8,0,0.6852477751672268,0
5,"[390, 317, 161]",0.2606235509738326,39003170161,9,0,0.8997731942217797,0
6,"[387, 323, 162]",0.298410426126793,38703230162,10,0,1.152085334295407,0
7,"[385, 320, 163]",0.3350513761397451,38503200163,11,0,1.4410384183283895,0
8,"[304, 355, 164]",0.3717564840335399,30403550164,12,0,1.7666967993136495,0
9,"[404, 316, 158]",0.3931788061745465,40403160158,13,0,2.113777357386425,0
10,"[188, 302, 334]",0.4141846550628543,18803020334,14,0,2.481863710330799,0
11,"[399, 312, 159]",0.45070164697244763,39903120159,15,0,2.8864671252667904,0
12,"[188, 303, 329]",0.4731231040786952,18803030329,16,0,3.3134920021984726,0
13,"[403, 309, 159]",0.5096345280762762,40303090159,17,0,3.7770283361896873,0
14,"[188, 310, 327]",0.5324601291213185,18803100327,18,0,4.2633902442175895,0
15,"[399, 306, 160]",0.5679703261703253,39903060160,19,0,4.785262334160507,0
16,"[189, 265, 293]",0.5880467060487717,18902650293,20,0,5.327210708288476,0
17,"[188, 299, 341]",0.6070221620611846,18802990341,21,0,5.888134657405317,0
18,"[404, 305, 160]",0.6449827670585364,40403050160,22,0,6.487019364489242,0
19,"[410, 304, 160]",0.6817118809558451,41003040160,23,0,7.1226331444922835,0
20,"[397, 303, 161]",0.7196015960071236,39703030161,24,0,7.79613649751991,0
21,"[400, 302, 161]",0.7580685899592936,40003020161,25,0,8.508106808643788,0
22,"[406, 301, 161]",0.7971411650069058,40603010161,26,0,9.25914984755218,0
23,"[411, 300, 161]",0.8364299179520458,41103000161,27,0,10.049481639638543,0
