,solution,time,obj value,solve_calls_sat,solve_calls_unsat,time_solve_sat,time_solve_unsat
0,"[170, 300, 213]",0.1554037539754063,17003000213,4,0,0.17724657617509365,0
1,"[171, 298, 211]",0.17051923391409218,17102980211,5,0,0.2278066691942513,0
2,"[170, 301, 210]",0.1865647949744016,17003010210,6,0,0.29441230720840394,0
3,"[172, 296, 207]",0.22047837101854384,17202960207,8,0,0.4799482573289424,0
4,"[171, 299, 208]",0.23854179587215185,17102990208,9,0,0.5985309763345867,0
5,"[170, 302, 208]",0.25555513985455036,17003020208,10,0,0.7341269124299288,0
6,"[170, 306, 206]",0.3093734998255968,17003060206,13,0,1.250390726607293,0
7,"[171, 300, 206]",0.3295712429098785,17103000206,14,0,1.4600027676206082,0
8,"[173, 294, 205]",0.36388936499133706,17302940205,16,0,1.9325607037171721,0
9,"[172, 297, 204]",0.3819881749805063,17202970204,17,0,2.1945896667893976,0
10,"[171, 303, 204]",0.39990352489985526,17103030204,18,0,2.4745343497488648,0
11,"[174, 292, 206]",0.47529128193855286,17402920206,21,0,3.489439607830718,0
12,"[175, 291, 202]",0.5135922888293862,17502910202,22,0,3.883072636788711,0
13,"[174, 293, 203]",0.5347568818833679,17402930203,23,0,4.2978702718392015,0
14,"[173, 295, 202]",0.5542831348720938,17302950202,24,0,4.732194183859974,0
15,"[171, 307, 202]",0.5716481439303607,17103070202,25,0,5.183883190853521,0
16,"[172, 298, 202]",0.5920998568180948,17202980202,26,0,5.6560238897800446,0
17,"[174, 294, 201]",0.6737616017926484,17402940201,30,0,7.7477460380177945,0
18,"[172, 302, 200]",0.6916451728902757,17203020200,31,0,8.31943208607845,0
19,"[173, 296, 200]",0.7124597940128297,17302960200,32,0,8.911932711023837,0
20,"[176, 289, 203]",0.7718367828056216,17602890203,35,0,10.811386910267174,0
21,"[177, 287, 205]",0.7930418599862605,17702870205,36,0,11.484469584189355,0
22,"[178, 286, 201]",0.8136049918830395,17802860201,37,0,12.178115400252864,0
23,"[177, 288, 201]",0.8414325888734311,17702880201,38,0,12.89958892436698,0
24,"[176, 290, 200]",0.8623436538036913,17602900200,39,0,13.641973375342786,0
25,"[175, 292, 199]",0.8826507788617164,17502920199,40,0,14.404665032401681,0
26,"[174, 295, 199]",0.9033385189250112,17402950199,41,0,15.188044398324564,0
27,"[173, 299, 198]",0.9216653848998249,17302990198,42,0,15.989750624401495,0
28,"[179, 284, 202]",1.0517927908804268,17902840202,48,0,21.265372556634247,0
29,"[180, 283, 200]",1.0661169500090182,18002830200,49,0,22.211530414642766,0
30,"[179, 285, 198]",1.082935597980395,17902850198,50,0,23.174506938783452,0
31,"[177, 289, 198]",1.1102570998482406,17702890198,51,0,24.164804900763556,0
32,"[176, 291, 197]",1.1314511278178543,17602910197,52,0,25.176296893740073,0
33,"[174, 296, 198]",1.151788281975314,17402960198,53,0,26.208125985693187,0
34,"[175, 293, 197]",1.1726097669452429,17502930197,54,0,27.260776600800455,0
35,"[173, 303, 196]",1.1903336129616946,17303030196,55,0,28.331150971818715,0
36,"[174, 297, 196]",1.2112775759305805,17402970196,56,0,29.422469493933022,0
37,"[178, 287, 197]",1.3246962148696184,17802870197,60,0,34.03472238732502,0
38,"[177, 290, 196]",1.3516197989229113,17702900196,61,0,35.26638297946192,0
39,"[175, 296, 195]",1.3726526929531246,17502960195,62,0,36.51907644746825,0
40,"[174, 301, 194]",1.3917176548857242,17403010194,63,0,37.79083496541716,0
41,"[176, 292, 195]",1.4387224668171257,17602920195,65,0,40.40439918660559,0
42,"[181, 282, 196]",1.5390928818378597,18102820196,70,0,47.3310417747125,0
43,"[180, 284, 197]",1.5582724548876286,18002840197,71,0,48.769355029799044,0
44,"[179, 286, 195]",1.5759806400164962,17902860195,72,0,50.22537648584694,0
45,"[178, 288, 194]",1.599266474833712,17802880194,73,0,51.704683790914714,0
