,solution,time,obj value,solve_calls_sat,solve_calls_unsat,time_solve_sat,time_solve_unsat
0,"[160, 227, 418, 308]",0.06317180604673922,160022704180308,1,0,0.06317316001513973,0.0
1,"[160, 228, 424, 306]",0.1537739170016721,160022804240306,2,0,0.12587317801080644,0.0
2,"[160, 229, 415, 305]",0.24979529704432935,160022904150305,3,0,0.19372263504192233,0.0
3,"[160, 229, 417, 304]",0.35062209103489295,160022904170304,4,0,0.2666999730281532,0.0
4,"[160, 230, 421, 303]",0.4925590149941854,160023004210303,5,0,0.3805002720328048,0.0
5,"[160, 230, 423, 302]",0.6388776220264845,160023004230302,6,0,0.4989891540026292,0.0
6,"[160, 231, 414, 301]",0.7738121400470845,160023104140301,7,0,0.6058044009841979,0.0
7,"[160, 232, 420, 299]",0.9296419610036537,160023204200299,8,0,0.7336965610156767,0.0
8,"[160, 233, 413, 303]",1.0859409940312617,160023304130303,9,0,0.8619270790368319,0.0
9,"[160, 235, 410, 300]",1.2607024729950354,160023504100300,10,0,1.0088631880353205,0.0
10,"[160, 235, 412, 299]",1.4398266990319826,160023504120299,11,0,1.1599269920261577,0.0
11,"[160, 236, 416, 298]",1.6562831560149789,160023604160298,12,0,1.3483864450245164,0.0
12,"[160, 236, 418, 297]",1.924963083001785,160023604180297,13,0,1.589075384021271,0.0
13,"[160, 237, 409, 296]",2.1197648150264286,160023704090296,14,0,1.7559175650239922,0.0
14,"[160, 238, 415, 294]",2.3849976190249436,160023804150294,15,0,1.993119030026719,0.0
15,"[161, 219, 418, 316]",2.5953559440094978,161021904180316,16,0,2.175496728043072,0.0
16,"[161, 220, 424, 314]",2.8832711800350808,161022004240314,17,0,2.4353620060137473,0.0
17,"[161, 221, 415, 313]",3.126831714005675,161022104150313,18,0,2.6509989510523155,0.0
18,"[161, 221, 416, 310]",3.4133290300378576,161022104160310,19,0,2.90949604799971,0.0
19,"[161, 222, 413, 302]",3.7006403650157154,161022204130302,20,0,3.1688096349826083,0.0
20,"[161, 223, 419, 300]",4.062583968043327,161022304190300,21,0,3.502679149969481,0.0
21,"[161, 224, 410, 299]",4.372469347028527,161022404100299,22,0,3.7846341260010377,0.0
22,"[161, 224, 412, 298]",4.728094376041554,161022404120298,23,0,4.112200246017892,0.0
23,"[161, 225, 416, 297]",5.126400217006449,161022504160297,24,0,4.482549660024233,0.0
24,"[161, 225, 418, 296]",5.5850040260120295,161022504180296,25,0,4.913166004989762,0.0
25,"[161, 226, 409, 295]",6.12011069903383,161022604090295,26,0,5.420358068018686,0.0
26,"[161, 227, 415, 293]",6.7255608920240775,161022704150293,27,0,5.997801385005005,0.0
27,"[161, 228, 407, 311]",7.290071127994452,161022804070311,28,0,6.534402697987389,0.0
28,"[161, 228, 408, 297]",7.878632938023657,161022804080297,29,0,7.095025921007618,0.0
29,"[161, 230, 405, 294]",8.637395744037349,161023004050294,30,0,7.825894321023952,0.0
30,"[161, 230, 407, 293]",9.379872282035649,161023004070293,31,0,8.54034185106866,0.0
31,"[161, 231, 411, 292]",10.296816618007142,161023104110292,32,0,9.429364346025977,0.0
32,"[161, 231, 413, 291]",11.487880586006213,161023104130291,33,0,10.592524173029233,0.0
33,"[161, 232, 404, 290]",12.28027035901323,161023204040290,34,0,11.356992232031189,0.0
34,"[161, 233, 410, 288]",13.159254066995345,161023304100288,35,0,12.207977506041061,0.0
35,"[161, 234, 402, 306]",14.383378158032428,161023404020306,36,0,13.404109611059539,0.0
36,"[161, 234, 403, 297]",15.300531329994556,161023404030297,37,0,14.293373107037041,0.0
37,"[161, 236, 401, 302]",16.123268880997784,161023604010302,38,0,15.088174502016045,0.0
38,"[162, 213, 416, 318]",16.933296948031057,162021304160318,39,0,15.870279032969847,0.0
39,"[162, 214, 413, 310]",18.046576796041336,162021404130310,40,0,16.95566128892824,0.0
40,"[162, 215, 419, 308]",19.650337086000945,162021504190308,41,0,18.531441078928765,0.0
41,"[162, 216, 410, 307]",20.950451273005456,162021604100307,42,0,19.8035824339604,0.0
42,"[162, 216, 411, 304]",22.098445141047705,162021604110304,43,0,20.923530533968005,0.0
43,"[162, 217, 417, 302]",23.200504393025767,162021704170302,44,0,21.997596641944256,0.0
44,"[162, 218, 408, 301]",24.33000884600915,162021804080301,45,0,23.099168383923825,0.0
45,"[162, 218, 410, 300]",25.55717343703145,162021804100300,46,0,24.298311907914467,0.0
46,"[162, 219, 407, 303]",26.85514051700011,162021904070303,47,0,25.568282954918686,0.0
47,"[162, 219, 414, 299]",28.107891492021736,162021904140299,48,0,26.792987208929844,0.0
48,"[162, 219, 416, 298]",29.608252194011584,162021904160298,49,0,28.26539036689792,0.0
49,"[162, 220, 407, 297]",31.50908674899256,162022004070297,50,0,30.138331363908947,0.0
50,"[162, 221, 404, 300]",33.15435560903279,162022104040300,51,0,31.755622403870802,0.0
51,"[162, 221, 406, 299]",34.45782144903205,162022104060299,52,0,33.03111515386263,0.0
52,"[162, 221, 413, 295]",36.06995697400998,162022104130295,53,0,34.61527073383331,0.0
53,"[162, 222, 422, 294]",37.54909284802852,162022204220294,54,0,36.066513764846604,0.0
54,"[162, 223, 402, 305]",38.8042180960183,162022304020305,55,0,37.29352823086083,0.0
55,"[162, 223, 403, 296]",40.181022563017905,162022304030296,56,0,38.64232174982317,0.0
56,"[162, 223, 413, 293]",41.89655643701553,162022304130293,57,0,40.32975862681633,0.0
57,"[162, 224, 405, 295]",43.9192355350242,162022404050295,58,0,42.32451565883821,0.0
58,"[162, 224, 409, 294]",46.01896893599769,162022404090294,59,0,44.3932287528296,0.0
59,"[162, 224, 419, 291]",47.76645232603187,162022404190291,60,0,46.11198335682275,0.0
60,"[162, 225, 401, 301]",49.61587994004367,162022504010301,61,0,47.93346140283393,0.0
61,"[162, 225, 402, 298]",51.44089951302158,162022504020298,62,0,49.730576034868136,0.0
62,"[162, 225, 411, 293]",53.49067374999868,162022504110293,63,0,51.75231715483824,0.0
63,"[162, 226, 402, 292]",55.49595486803446,162022604020292,64,0,53.72975259082159,0.0
64,"[162, 227, 399, 295]",57.45880052901339,162022703990295,65,0,55.66463190683862,0.0
65,"[162, 227, 401, 294]",59.34286359103862,162022704010294,66,0,57.520755116827786,0.0
66,"[162, 227, 408, 290]",61.41416471003322,162022704080290,67,0,59.564024623832665,0.0
67,"[162, 228, 417, 289]",63.80963245703606,162022804170289,68,0,61.93160604382865,0.0
68,"[162, 229, 397, 300]",65.79685082100332,162022903970300,69,0,63.89087908284273,0.0
69,"[162, 229, 398, 291]",68.04212157503935,162022903980291,70,0,66.10822884179652,0.0
70,"[162, 229, 408, 288]",70.39517519203946,162022904080288,71,0,68.43330264778342,0.0
