,solution,time,obj value,solve_calls_sat,solve_calls_unsat,time_solve_sat,time_solve_unsat
0,"[160, 227, 418, 308]",0.28665100497892126,160022704180308,7,0,0.286641685932409,0
1,"[160, 229, 415, 305]",0.32146034197648987,160022904150305,8,0,0.3212536959326826,0
2,"[160, 231, 414, 301]",0.3561637199600227,160023104140301,9,0,0.35580142989056185,0
3,"[160, 233, 413, 303]",0.39685660297982395,160023304130303,10,0,0.3961954879341647,0
4,"[160, 235, 410, 300]",0.43610165995778516,160023504100300,11,0,0.4347766839200631,0
5,"[160, 237, 409, 296]",0.4703989329864271,160023704090296,12,0,0.4681316529167816,0
6,"[161, 228, 407, 311]",0.5215306609752588,161022804070311,13,0,0.5179595209192485,0
7,"[161, 230, 405, 294]",0.5644001179607585,161023004050294,14,0,0.558357271947898,0
8,"[161, 232, 404, 290]",0.611485734989401,161023204040290,15,0,0.6019242039765231,0
9,"[161, 234, 402, 306]",0.6672700099879876,161023404020306,16,0,0.653410574013833,0
10,"[161, 236, 401, 302]",0.713826049992349,161023604010302,17,0,0.6950952930492349,0
11,"[162, 227, 399, 295]",0.7803449949715286,162022703990295,18,0,0.7557501630508341,0
12,"[162, 229, 397, 300]",0.8550922409631312,162022903970300,19,0,0.8179699550382793,0
13,"[162, 231, 396, 296]",0.9312129360041581,162023103960296,20,0,0.8824443070334382,0
14,"[162, 233, 395, 303]",0.9913940120022744,162023303950303,21,0,0.9318815600126982,0
15,"[163, 224, 394, 304]",1.0838019810034893,163022403940304,22,0,1.014969492040109,0
16,"[163, 226, 391, 301]",1.1786655799951404,163022603910301,23,0,1.092970251047518,0
17,"[163, 228, 390, 297]",1.2614571689628065,163022803900297,24,0,1.1559639860643074,0
18,"[164, 220, 389, 303]",1.345577620959375,164022003890303,25,0,1.2176940880599432,0
19,"[164, 222, 388, 299]",1.4357885939534754,164022203880299,26,0,1.2811857550987042,0
20,"[164, 223, 387, 306]",1.5333018229575828,164022303870306,27,0,1.3454004361410625,0
