,solution,time,obj value,solve_calls_sat,solve_calls_unsat,time_solve_sat,time_solve_unsat
0,"[46, 230, 267]",0.05766050999955041,46230267,1,0,0.057660619997477625,0.0
1,"[46, 232, 265]",0.10824031200172612,46232265,2,0,0.10767527500138385,0.0
2,"[46, 233, 262]",0.16412292399763828,46233262,3,0,0.1629035380028654,0.0
3,"[46, 236, 255]",0.22397380800248357,46236255,4,0,0.222180691001995,0.0
4,"[46, 237, 249]",0.2854621660007979,46237249,5,0,0.28295515600621,0.0
5,"[46, 239, 237]",0.35179167299793335,46239237,6,0,0.34870856800989714,0.0
6,"[46, 242, 230]",0.41183493100106716,46242230,7,0,0.4081178720080061,0.0
7,"[46, 264, 227]",0.50686153100105,46264227,8,0,0.5025937880054698,0.0
8,"[47, 215, 256]",0.5799994069966488,47215256,9,0,0.5750947550041019,0.0
9,"[47, 217, 254]",0.6995521900025778,47217254,10,0,0.6939772769983392,0.0
10,"[47, 218, 252]",0.8087667099971441,47218252,11,0,0.802534784997988,0.0
11,"[47, 219, 234]",0.9123633639974287,47219234,12,0,0.9055387740008882,0.0
12,"[47, 222, 227]",1.0009197050021612,47222227,13,0,0.9934407530017779,0.0
13,"[47, 244, 223]",1.1821186980014318,47244223,14,0,1.1740732920006849,0.0
14,"[47, 249, 217]",1.4642419649971998,47249217,15,0,1.455513211003563,0.0
15,"[47, 251, 210]",1.6843886089991429,47251210,16,0,1.674995162000414,0.0
16,"[47, 273, 207]",1.9682622420004918,47273207,17,0,1.9581979229988065,0.0
17,"[47, 298, 204]",2.367548608999641,47298204,18,0,2.3567902659924584,0.0
18,"[48, 193, 249]",2.562957294001535,48193249,19,0,2.551492395992682,0.0
19,"[48, 203, 241]",2.780835327001114,48203241,20,0,2.768735667988949,0.0
20,"[48, 208, 236]",3.0962434749962995,48208236,21,0,3.0833969749874086,0.0
21,"[48, 212, 216]",3.564770639000926,48212216,22,0,3.551231639990874,0.0
22,"[48, 215, 209]",3.964885788001993,48215209,23,0,3.9503386239885003,0.0
23,"[48, 231, 207]",4.4726548089965945,48231207,24,0,4.45744957998977,0.0
24,"[48, 237, 206]",4.981935101997806,48237206,25,0,4.966058620986587,0.0
25,"[48, 253, 203]",5.607699722997495,48253203,26,0,5.591108936991077,0.0
26,"[48, 258, 197]",6.331017484000768,48258197,27,0,6.3136749119948945,0.0
27,"[48, 283, 194]",6.913766152996686,48283194,28,0,6.89572907499678,0.0
28,"[49, 178, 238]",7.417877184001554,49178238,29,0,7.399140437992173,0.0
29,"[49, 190, 233]",8.093578580999747,49190233,30,0,8.07416642599128,0.0
30,"[49, 196, 223]",8.627334541997698,49196223,31,0,8.607247717991413,0.0
31,"[49, 208, 216]",9.277507747996424,49208216,32,0,9.256639129991527,0.0
32,"[49, 216, 206]",9.928347699002188,49216206,33,0,9.90677018299175,0.0
33,"[49, 219, 203]",10.821743972999684,49219203,34,0,10.799486788993818,0.0
