,solution,time,obj value,solve_calls_sat,solve_calls_unsat,time_solve_sat,time_solve_unsat
0,"[36, 215, 238]",0.35179533699556487,36215238,5,0,0.3517780660040444,0.0
1,"[37, 203, 236]",0.38921242200012784,37203236,6,0,0.38906028400379,0.0
2,"[37, 207, 230]",0.42637407800066285,37207230,7,0,0.4261945270045544,0.0
3,"[37, 217, 229]",0.46545930599677376,37217229,8,0,0.46525515900430037,0.0
4,"[37, 245, 228]",0.5097825599950738,37245228,9,0,0.5094723040019744,0.0
5,"[38, 191, 225]",0.5501893359978567,38191225,10,0,0.5498480030000792,0.0
6,"[38, 201, 224]",0.597276887994667,38201224,11,0,0.5969015850059805,0.0
7,"[38, 204, 222]",0.6436675859949901,38204222,12,0,0.6431775340024615,0.0
8,"[38, 205, 217]",0.6836522379962844,38205217,13,0,0.6831264360007481,0.0
9,"[38, 208, 215]",0.7192152419956983,38208215,14,0,0.7186486959981266,0.0
10,"[38, 213, 214]",0.7518409029944451,38213214,15,0,0.7511675379937515,0.0
11,"[39, 196, 213]",0.8030720339957043,39196213,16,0,0.8023587849893374,0.0
12,"[39, 197, 209]",0.8498011490009958,39197209,17,0,0.8490439569868613,0.0
13,"[39, 200, 207]",0.8921222219942138,39200207,18,0,0.8912374749852461,0.0
14,"[39, 208, 206]",0.9402195649963687,39208206,19,0,0.9392862469903775,0.0
15,"[39, 211, 202]",0.9868127449954045,39211202,20,0,0.9858204159900197,0.0
16,"[40, 197, 200]",1.0487454749963945,40197200,21,0,1.0476199809854734,0.0
17,"[40, 198, 194]",1.0998484559968347,40198194,22,0,1.0986649979822687,0.0
18,"[40, 204, 193]",1.142120842996519,40204193,23,0,1.1408809769782238,0.0
19,"[40, 206, 191]",1.1851301659989986,40206191,24,0,1.1837556749815121,0.0
20,"[41, 189, 189]",1.2411003499946673,41189189,25,0,1.23966783798096,0.0
21,"[41, 190, 186]",1.2938223909950466,41190186,26,0,1.292325799979153,0.0
22,"[41, 196, 185]",1.3681782630010275,41196185,27,0,1.3665411759793642,0.0
23,"[41, 200, 183]",1.4222754910006188,41200183,28,0,1.4205697449797299,0.0
24,"[41, 201, 181]",1.4697208520010463,41201181,29,0,1.4679454039796838,0.0
25,"[42, 180, 180]",1.5263357149960939,42180180,30,0,1.524415630978183,0.0
26,"[42, 191, 178]",1.5979810829958296,42191178,31,0,1.5959880229784176,0.0
27,"[42, 192, 175]",1.6603412949989433,42192175,32,0,1.658185534979566,0.0
28,"[42, 193, 173]",1.714572678996774,42193173,33,0,1.7123200649803039,0.0
29,"[43, 176, 170]",1.7897696889995132,43176170,34,0,1.7873612039766158,0.0
30,"[43, 177, 168]",1.8501333550011623,43177168,35,0,1.847642033979355,0.0
31,"[43, 206, 167]",1.9178002170010586,43206167,36,0,1.9151521619787673,0.0
32,"[43, 207, 165]",1.9872124479952618,43207165,37,0,1.984474936973129,0.0
33,"[43, 208, 162]",2.0461507129948586,43208162,38,0,2.0432450249718386,0.0
34,"[44, 185, 160]",2.118109379996895,44185160,39,0,2.11511839897139,0.0
35,"[45, 168, 157]",2.1946287889950327,45168157,40,0,2.191463359973568,0.0
36,"[45, 169, 155]",2.2634076260001166,45169155,41,0,2.260149226975045,0.0
37,"[45, 183, 154]",2.3438808459977736,45183154,42,0,2.3404417439742247,0.0
38,"[45, 223, 153]",2.450296636998246,45223153,43,0,2.446758535974368,0.0
39,"[45, 226, 150]",2.5283266849946813,45226150,44,0,2.524549024972657,0.0
40,"[45, 237, 149]",2.5951076969940914,45237149,45,0,2.591227673969115,0.0
41,"[45, 238, 146]",2.656440841994481,45238146,46,0,2.6523732969653793,0.0
42,"[46, 239, 144]",2.739799082999525,46239144,47,0,2.7356284599663923,0.0
43,"[47, 190, 143]",2.853548970997508,47190143,48,0,2.8491964129643748,0.0
44,"[47, 201, 142]",2.961640282999724,47201142,49,0,2.9571787909662817,0.0
45,"[47, 208, 141]",3.0441030389993102,47208141,50,0,3.0394537119645975,0.0
46,"[47, 213, 138]",3.117865301996062,47213138,51,0,3.1131054659635993,0.0
47,"[48, 190, 137]",3.221676180997747,48190137,52,0,3.2167258499612217,0.0
48,"[48, 192, 136]",3.3164648889942328,48192136,53,0,3.311355454963632,0.0
49,"[48, 223, 135]",3.431431489996612,48223135,54,0,3.4261161759641254,0.0
50,"[49, 183, 134]",3.5072634229945834,49183134,55,0,3.501827814965509,0.0
51,"[49, 191, 133]",3.5781318509980338,49191133,56,0,3.5724920199645567,0.0
52,"[49, 193, 132]",3.6587376239986042,49193132,57,0,3.6529691629621084,0.0
53,"[49, 200, 129]",3.720844035000482,49200129,58,0,3.7148563229566207,0.0
