,solution,time,obj value,solve_calls_sat,solve_calls_unsat,time_solve_sat,time_solve_unsat
0,"[38, 223, 212]",0.25802974100224674,38223212,4,0,0.32242172001861036,0
1,"[203, 35, 241]",0.28957408596761525,203035241,5,0,0.47508390597067773,0
2,"[201, 244, 35]",0.34164738189429045,201244035,6,0,0.6798188639804721,0
3,"[205, 234, 35]",0.37976073985919356,205234035,7,0,0.9226671059150249,0
4,"[188, 36, 239]",0.4190023948904127,188036239,8,0,1.204757051775232,0
5,"[201, 36, 220]",0.4639980469364673,201036220,9,0,1.5318428687751293,0
6,"[211, 225, 35]",0.5014093839563429,211225035,10,0,1.896339802769944,0
7,"[215, 215, 35]",0.5388475789222866,215215035,11,0,2.2982749226503074,0
8,"[39, 196, 249]",0.5778521720785648,39196249,12,0,2.739214616594836,0
9,"[219, 36, 213]",0.6162927849218249,219036213,13,0,3.218594985548407,0
10,"[195, 213, 36]",0.656709061935544,195213036,14,0,3.7383915334939957,0
11,"[206, 37, 211]",0.7193218020256609,206037211,15,0,4.320801037363708,0
12,"[197, 211, 36]",0.7652563638985157,197211036,16,0,4.949145109392703,0
13,"[38, 224, 205]",0.8013746759388596,38224205,17,0,5.613607252249494,0
14,"[197, 38, 204]",0.8733235690742731,197038204,18,0,6.350018387194723,0
15,"[198, 199, 36]",0.9141245319042355,198199036,19,0,7.12723051616922,0
16,"[39, 211, 199]",0.9950329689309001,39211199,20,0,7.985351076116785,0
17,"[200, 38, 197]",1.060477149905637,200038197,21,0,8.908916319021955,0
18,"[39, 215, 193]",1.167048322968185,39215193,23,0,10.918753808829933,0
19,"[205, 194, 36]",1.206224463880062,205194036,24,0,11.988065813900903,0
20,"[183, 247, 36]",1.2430608170107007,183247036,25,0,13.09421421890147,0
21,"[217, 38, 196]",1.298171425005421,217038196,26,0,14.25547327590175,0
22,"[40, 183, 238]",1.3431267829146236,40183238,27,0,15.461687645874918,0
23,"[223, 38, 188]",1.3967195339500904,223038188,28,0,16.721494761761278,0
24,"[187, 190, 37]",1.4493144878651947,187190037,29,0,18.033896894659847,0
25,"[39, 222, 184]",1.496859063860029,39222184,30,0,19.39384361053817,0
26,"[188, 178, 37]",1.5433372638653964,188178037,31,0,20.800268498482183,0
27,"[217, 39, 181]",1.597991649992764,217039181,32,0,22.26134790852666,0
28,"[183, 37, 244]",1.643391340970993,183037244,33,0,23.7678270584438,0
29,"[40, 207, 183]",1.6939161878544837,40207183,34,0,25.324831114383414,0
30,"[41, 174, 206]",1.7428684460464865,41174206,35,0,26.93078735936433,0
31,"[40, 209, 178]",1.8230297469999641,40209178,36,0,28.61690469435416,0
32,"[221, 40, 179]",1.9129462600685656,221040179,37,0,30.39293869235553,0
33,"[168, 38, 242]",1.9632636988535523,168038242,38,0,32.21929006022401,0
34,"[173, 226, 37]",2.0106494689825922,173226037,39,0,34.09302723011933,0
35,"[190, 41, 174]",2.0871697480324656,190041174,40,0,36.043284591985866,0
36,"[40, 217, 175]",2.133815957000479,40217175,41,0,38.04018812789582,0
37,"[203, 172, 38]",2.205948570976034,203172038,42,0,40.109224357875064,0
38,"[40, 220, 173]",2.25203621503897,40220173,43,0,42.22434816486202,0
39,"[42, 165, 190]",2.304390155011788,42165190,44,0,44.39182597771287,0
