,solution,time,obj value,solve_calls_sat,solve_calls_unsat,time_solve_sat,time_solve_unsat
0,"[41, 210, 261]",0.2516464020591229,41210261,4,0,0.3163887979462743,0
1,"[42, 198, 269]",0.28822826803661883,42198269,5,0,0.4674328309483826,0
2,"[43, 187, 260]",0.33088659099303186,43187260,6,0,0.6611350339371711,0
3,"[42, 201, 252]",0.3694332248996943,42201252,7,0,0.8933839588426054,0
4,"[41, 216, 256]",0.399840597063303,41216256,8,0,1.156040365807712,0
5,"[44, 174, 258]",0.5676125129684806,44174258,12,0,2.6066578556783497,0
6,"[43, 192, 257]",0.621541776927188,43192257,13,0,3.0910154785960913,0
7,"[45, 165, 263]",0.7151055180002004,45165263,15,0,4.202804766362533,0
8,"[46, 159, 264]",0.7643694570288062,46159264,16,0,4.829989877296612,0
9,"[47, 154, 263]",0.8207922079600394,47154263,17,0,5.5135978371836245,0
10,"[46, 162, 260]",0.8892923160456121,46162260,18,0,6.265706103062257,0
11,"[45, 169, 262]",0.9515984989702702,45169262,19,0,7.080120756058022,0
12,"[45, 170, 257]",1.0799112189561129,45170257,21,0,8.905850469134748,0
13,"[44, 179, 252]",1.1367380910087377,44179252,22,0,9.905404572142288,0
14,"[43, 193, 244]",1.1845910539850593,43193244,23,0,10.952811542199925,0
15,"[42, 207, 247]",1.224163674050942,42207247,24,0,12.03979099704884,0
16,"[42, 211, 245]",1.3142964020371437,42211245,26,0,14.353894389932975,0
17,"[42, 214, 228]",1.4341607170645148,42214228,28,0,16.90887678670697,0
18,"[48, 148, 270]",1.8012324289884418,48148270,34,0,25.909264934482053,0
19,"[49, 145, 268]",1.8746663238853216,49145268,35,0,27.646747141378,0
20,"[48, 149, 269]",1.943049426889047,48149269,36,0,29.452612263383344,0
21,"[48, 152, 256]",2.091161971911788,48152256,38,0,33.28427750128321,0
22,"[47, 157, 258]",2.1714043410029262,47157258,39,0,35.31849793018773,0
23,"[46, 164, 258]",2.243551205843687,46164258,40,0,37.42486516106874,0
24,"[46, 165, 249]",2.4607151919044554,46165249,43,0,44.18456413806416,0
25,"[45, 171, 256]",2.547087450977415,45171256,44,0,46.59446747903712,0
26,"[45, 176, 246]",2.684319543885067,45176246,46,0,51.61673717596568,0
27,"[44, 184, 249]",2.746892513940111,44184249,47,0,54.22644549096003,0
28,"[44, 185, 247]",2.877063296036795,44185247,49,0,59.64796372479759,0
29,"[44, 186, 237]",2.993630399927497,44186237,51,0,65.30858129169792,0
30,"[43, 199, 239]",3.0462236560415477,43199239,52,0,68.2176207555458,0
31,"[43, 200, 236]",3.15318261901848,43200236,54,0,74.1986903345678,0
32,"[47, 159, 252]",3.447111692978069,47159252,58,0,86.9516710722819,0
33,"[50, 142, 266]",3.6978626530617476,50142266,61,0,97.38444691710174,0
34,"[49, 146, 265]",3.782740658847615,49146265,62,0,101.03000345616601,0
35,"[51, 137, 265]",3.9308220320381224,51137265,64,0,108.54588673915714,0
36,"[50, 143, 265]",4.012528630904853,50143265,65,0,112.42123132222332,0
37,"[52, 134, 263]",4.1579199188854545,52134263,67,0,120.38834609929472,0
38,"[49, 147, 263]",4.246847882866859,49147263,68,0,124.49801002116874,0
39,"[50, 144, 259]",4.3442145369481295,50144259,69,0,128.70504069817252,0
40,"[49, 148, 261]",4.434158234857023,49148261,70,0,133.00201490311883,0
41,"[49, 150, 250]",4.620031118858606,49150250,72,0,141.88187466212548,0
42,"[48, 154, 251]",4.710513315862045,48154251,73,0,146.4552041189745,0
43,"[47, 160, 248]",4.789017625851557,47160248,74,0,151.10703763901256,0
44,"[46, 168, 245]",4.87068635202013,46168245,75,0,155.84054026403464,0
45,"[45, 177, 244]",4.936779479961842,45177244,76,0,160.64013570197858,0
46,"[48, 157, 246]",5.413394798990339,48157246,81,0,186.04786733887158,0
47,"[47, 163, 241]",5.500821210909635,47163241,82,0,191.4115045007784,0
48,"[46, 170, 243]",5.591985821025446,46170243,83,0,196.8663062476553,0
49,"[45, 178, 229]",5.65018199197948,45178229,84,0,202.37930417549796,0
50,"[44, 187, 234]",5.707805438898504,44187234,85,0,207.94992548739538,0
51,"[43, 205, 233]",5.760977864032611,43205233,86,0,213.57371919136494,0
52,"[44, 192, 228]",5.91850293497555,44192228,89,0,230.76016792212613,0
53,"[43, 206, 220]",5.965584247838706,43206220,90,0,236.5885679561179,0
54,"[46, 172, 240]",6.333063440863043,46172240,96,0,272.7042874558829,0
55,"[51, 139, 264]",6.859728425042704,51139264,101,0,305.21356543782167,0
56,"[51, 140, 263]",7.039848825894296,51140263,103,0,318.9151390467305,0
57,"[53, 129, 267]",7.169760522898287,53129267,105,0,332.93282538163476,0
58,"[54, 126, 265]",7.210406030993909,54126265,106,0,340.0060471196193,0
59,"[53, 130, 266]",7.285069355973974,53130266,107,0,347.15393246454187,0
60,"[53, 131, 265]",7.420759662054479,53131265,109,0,361.63080064347014,0
61,"[55, 125, 256]",7.523695403011516,55125256,111,0,376.34816124732606,0
62,"[53, 133, 253]",7.614113203948364,53133253,112,0,383.82509034639224,0
63,"[51, 141, 253]",7.706324189901352,51141253,113,0,391.39423072035424,0
64,"[50, 146, 248]",7.814145718934014,50146248,114,0,399.0711925753858,0
65,"[49, 151, 248]",7.922397431917489,49151248,115,0,406.85640612524,0
66,"[52, 136, 259]",8.206408571917564,52136259,118,0,430.75782600510865,0
67,"[52, 137, 253]",8.41205733595416,52137253,120,0,447.1862479469273,0
68,"[54, 127, 264]",8.549766496988013,54127264,122,0,463.9478613517713,0
69,"[54, 129, 251]",8.673432640032843,54129251,124,0,480.9520718716085,0
70,"[51, 142, 252]",8.767878504935652,51142252,125,0,489.582766370615,0
71,"[52, 138, 251]",8.871036445954815,52138251,126,0,498.3166186334565,0
72,"[51, 143, 246]",8.959175602067262,51143246,127,0,507.1386100584641,0
73,"[49, 152, 245]",9.04785771900788,49152245,128,0,516.0492837005295,0
74,"[48, 158, 242]",9.126507797045633,48158242,129,0,525.0386076404247,0
75,"[50, 147, 247]",9.305593764875084,50147247,131,0,543.2913481022697,0
76,"[50, 148, 245]",9.482491453876719,50148245,133,0,561.8971882122569,0
77,"[53, 134, 251]",9.777560585876927,53134251,136,0,590.5332623131108,0
78,"[56, 122, 254]",10.01741632190533,56122254,139,0,619.9202109670732,0
