,solution,time,obj value,solve_calls_sat,solve_calls_unsat,time_solve_sat,time_solve_unsat
0,"[41, 210, 261, 212]",0.03636966700287303,41210261212,1,0,0.03637027600052534,0.0
1,"[41, 216, 256, 216]",0.0759605140046915,41216256216,2,1,0.06480055599968182,0.011079558003984857
2,"[42, 198, 269, 203]",0.2527267870027572,42198269203,3,4,0.2044698059980874,0.04797823101398535
3,"[42, 201, 252, 214]",0.31856232300197007,42201252214,4,5,0.2576661109997076,0.06044172801193781
4,"[42, 201, 257, 207]",0.3420989490041393,42201257207,5,5,0.2811557940003695,0.06044172801193781
5,"[42, 202, 253, 203]",0.4144518210014212,42202253203,6,7,0.3221194580037263,0.09165044001565548
6,"[42, 207, 247, 218]",0.4790908139984822,42207247218,7,8,0.3702397110100719,0.10795866601256421
7,"[42, 207, 252, 211]",0.528444148003473,42207252211,8,9,0.4007558960074675,0.12668470201606397
8,"[42, 207, 259, 202]",0.5760474820053787,42207259202,9,10,0.42494781300774775,0.14990590001980308
9,"[42, 208, 248, 207]",0.6567726050052443,42208248207,10,11,0.4876938190063811,0.1676974850197439
10,"[42, 211, 245, 211]",0.7711377360028564,42211245211,11,14,0.5443771150094108,0.22502657301811269
11,"[42, 214, 228, 222]",0.9201077559991973,42214228222,12,18,0.6135136370066903,0.30451011901459424
12,"[42, 214, 233, 215]",0.944475946998864,42214233215,13,18,0.6377121190089383,0.30451011901459424
13,"[42, 216, 244, 212]",1.1226498239993816,42216244212,14,23,0.7166822500075796,0.40328887401119573
14,"[42, 217, 259, 201]",1.3006979700003285,42217259201,15,28,0.7936910310017993,0.5037333230211516
15,"[42, 218, 258, 199]",1.4442184630024713,42218258199,16,29,0.9164127330004703,0.5242568830217351
16,"[42, 221, 231, 214]",1.5222010900033638,42221231214,17,30,0.9811498850031057,0.5371566980174975
17,"[43, 187, 260, 223]",1.9840339570000651,43187260223,18,37,1.278077489005227,0.7013473930273904
18,"[43, 187, 265, 216]",2.015361728001153,43187265216,19,37,1.3092639330061502,0.7013473930273904
19,"[43, 188, 278, 209]",2.0975344219987164,43188278209,20,38,1.3694160820086836,0.7231544920214219
20,"[43, 190, 261, 194]",2.2151599610006087,43190261194,21,39,1.4501979190099519,0.7596904240199365
21,"[43, 192, 257, 209]",2.299431901999924,43192257209,22,40,1.5187984620060888,0.7750987740146229
22,"[43, 193, 244, 205]",2.405437574001553,43193244205,23,42,1.573081323003862,0.8264008820187883
23,"[43, 193, 249, 198]",2.4314527780006756,43193249198,24,42,1.5990173850004794,0.8264008820187883
24,"[43, 195, 267, 193]",2.5585540309984935,43195267193,25,44,1.6880184440015,0.8640349410197814
25,"[43, 198, 255, 197]",2.6772398989996873,43198255197,26,45,1.790627824004332,0.8797250030183932
26,"[43, 199, 239, 209]",2.8671802079988993,43199239209,27,48,1.901824080006918,0.9578662840067409
27,"[43, 199, 244, 202]",2.9393327460056753,43199244202,28,49,1.9427208150082151,0.9889576700079488
28,"[43, 199, 251, 193]",2.99677615800465,43199251193,29,50,1.975154616011423,1.0137309930141782
29,"[43, 200, 236, 231]",3.180346596003801,43200236231,30,51,2.1379138470147154,1.034054970012221
30,"[43, 200, 247, 197]",3.288222376999329,43200247197,31,53,2.1711051190141006,1.108429422012705
31,"[43, 202, 241, 199]",3.487961498001823,43202241199,32,55,2.3273181160111562,1.1513136250141542
32,"[43, 203, 237, 202]",3.6703546850039857,43203237202,33,58,2.431835530012904,1.2284467620120267
33,"[43, 203, 265, 190]",3.766936555999564,43203265190,34,61,2.4602528090108535,1.2962390280226828
34,"[43, 205, 233, 217]",3.9248912000039127,43205233217,35,62,2.602399031013192,1.3114635730162263
35,"[43, 205, 246, 197]",4.012534982000943,43205246197,36,64,2.634881388010399,1.3662799710145919
36,"[43, 206, 220, 213]",4.186136513999372,43206220213,37,67,2.733958213015285,1.440056359009759
37,"[43, 206, 225, 206]",4.2149421100039035,43206225206,38,67,2.762515112015535,1.440056359009759
38,"[43, 208, 236, 203]",4.556556109004305,43208236203,39,73,2.9575432860146975,1.58569551200344
39,"[43, 210, 250, 190]",5.046959079001681,43210250190,40,79,3.2746889280169853,1.757837285003916
40,"[43, 211, 231, 205]",5.342613967004581,43211231205,41,80,3.548990880015481,1.7783835100053693
41,"[43, 213, 223, 205]",5.708107753998775,43213223205,42,86,3.76392209201731,1.9278116150162532
42,"[43, 216, 241, 198]",6.147399143999792,43216241198,43,92,4.020138748011959,2.1097955040095258
43,"[43, 216, 245, 194]",6.1810637270027655,43216245194,44,92,4.053434768007719,2.1097955040095258
44,"[43, 217, 266, 186]",6.387274231004994,43217266186,45,94,4.215319769005873,2.153280109014304
45,"[43, 221, 217, 209]",6.628196354002284,43221217209,46,95,4.4398979890029295,2.168730935016356
46,"[43, 225, 256, 188]",7.019477239002299,43225256188,47,103,4.625208173005376,2.3734379730085493
47,"[43, 230, 242, 194]",7.218965751002543,43230242194,48,105,4.792882198002189,2.404288969017216
48,"[43, 233, 238, 199]",7.436976791002962,43233238199,49,109,4.941034000003128,2.4730915120162535
49,"[44, 174, 258, 227]",8.250822642003186,44174258227,50,116,5.591759248003655,2.634606171013729
50,"[44, 174, 263, 220]",8.28283934800129,44174263220,51,116,5.62358313700679,2.634606171013729
51,"[44, 177, 274, 219]",8.369489305005118,44177274219,52,117,5.69093493600667,2.6532490370082087
52,"[44, 178, 265, 218]",8.47650468700158,44178265218,53,118,5.778243447006389,2.6722029200100224
53,"[44, 179, 252, 214]",8.573799830999633,44179252214,54,119,5.845690851005202,2.7011927550120163
54,"[44, 179, 257, 207]",8.611696133004443,44179257207,55,119,5.883477312003379,2.7011927550120163
55,"[44, 180, 270, 200]",8.71788219500013,44180270200,56,120,5.964468198006216,2.7254614920166205
56,"[44, 184, 249, 200]",8.8313894860039,44184249200,57,121,6.058637250003812,2.7439215990161756
57,"[44, 185, 247, 218]",8.975095062000037,44185247218,58,122,6.17202974200336,2.773184639016108
58,"[44, 185, 276, 199]",9.071201159000339,44185276199,59,123,6.224645004003833,2.816429437014449
59,"[44, 186, 237, 221]",9.260530281004321,44186237221,60,124,6.385575593005342,2.843770173014491
60,"[44, 186, 239, 216]",9.302518570002576,44186239216,61,124,6.427345831005368,2.843770173014491
61,"[44, 186, 244, 209]",9.345306401002745,44186244209,62,124,6.469981997004652,2.843770173014491
62,"[44, 187, 234, 235]",9.580490081003518,44187234235,63,127,6.582877129003464,2.964682100013306
63,"[44, 187, 237, 202]",9.633119619000354,44187237202,64,128,6.610236846005137,2.9896639410144417
64,"[44, 187, 259, 184]",9.73017551000521,44187259184,65,129,6.669284360003076,3.0274540560130845
65,"[44, 188, 248, 198]",9.874615717002598,44188248198,66,130,6.79368342700036,3.046068051015027
66,"[44, 190, 237, 197]",10.058918702001392,44190237197,67,132,6.921427995999693,3.101137498008029
67,"[44, 190, 242, 195]",10.094274499999301,44190242195,68,132,6.956519492996449,3.101137498008029
68,"[44, 190, 247, 188]",10.127706359999138,44190247188,69,132,6.989753413996368,3.101137498008029
69,"[44, 192, 228, 222]",10.330715140000393,44192228222,70,134,7.136234605997743,3.1559384900028817
70,"[44, 192, 233, 215]",10.381897292005306,44192233215,71,134,7.187118037996697,3.1559384900028817
71,"[44, 193, 232, 206]",10.691351236004266,44193232206,72,139,7.321178097990924,3.3294385700064595
72,"[44, 195, 257, 181]",11.167096853001567,44195257181,73,144,7.592218375990342,3.532074894013931
73,"[44, 196, 232, 201]",11.368611451005563,44196232201,74,145,7.772601584983931,3.5513901460144552
74,"[44, 196, 242, 192]",11.504801506998774,44196242192,75,147,7.831438577988592,3.628296905015304
75,"[44, 197, 225, 208]",11.91621062500053,44197225208,76,150,8.137850017985329,3.731298914011859
76,"[44, 197, 243, 189]",12.07855198100151,44197243189,77,153,8.181363503987086,3.849610939018021
77,"[44, 199, 223, 244]",12.595447931002127,44199223244,78,156,8.600052412984951,3.9457338620268274
78,"[44, 199, 239, 189]",12.789543242004584,44199239189,79,159,8.664102795984945,4.075199507031357
79,"[44, 200, 223, 231]",13.218589771000552,44200223231,80,162,9.008500414987793,4.157643236030708
80,"[44, 200, 224, 216]",13.294810756000516,44200224216,81,162,9.084286021985463,4.157643236030708
81,"[44, 200, 235, 192]",13.459445407002931,44200235192,82,164,9.129877776991634,4.275953603020753
82,"[44, 201, 224, 206]",13.923439701000461,44201224206,83,168,9.465139033993182,4.402345468028216
83,"[44, 201, 252, 185]",14.111924016004195,44201252185,84,172,9.51823850398796,4.537061428025481
84,"[44, 202, 221, 233]",14.56703313899925,44202221233,85,174,9.914883200988697,4.5931998360174475
85,"[44, 203, 218, 203]",15.195904174004681,44203218203,86,183,10.1811465669889,4.953039188025286
86,"[44, 203, 223, 196]",15.230984525005624,44203223196,87,183,10.215724233989022,4.953039188025286
87,"[44, 205, 234, 193]",15.672882625003695,44205234193,88,189,10.4611769159892,5.1467218460165896
88,"[44, 206, 217, 221]",16.223089832004916,44206217221,89,196,10.577406517986674,5.577623136028706
89,"[44, 207, 246, 182]",17.010867807999603,44207246182,90,205,11.066242475986655,5.873462801027927
90,"[44, 208, 233, 189]",17.377792954001052,44208233189,91,208,11.19951545199001,6.104175643027702
91,"[44, 210, 219, 197]",17.66623995300324,44210219197,92,211,11.39823132098536,6.191191449026519
92,"[44, 210, 263, 179]",17.838882845004264,44210263179,93,215,11.431875137983297,6.329370961015229
93,"[44, 212, 213, 225]",18.080281431000913,44212213225,94,216,11.645414564976818,6.354618740013393
94,"[44, 213, 241, 186]",19.014857532005408,44213241186,95,225,12.260375264973845,6.671127236004395
95,"[44, 214, 262, 178]",19.771037489001174,44214262178,96,229,12.888820885971654,6.796009191006306
96,"[44, 215, 211, 214]",20.235754221001116,44215211214,97,230,13.324475674970017,6.822323716005485
97,"[44, 218, 215, 199]",20.84518207200017,44218215199,98,239,13.622409857969615,7.130651598999975
98,"[44, 221, 204, 218]",21.2301518220047,44221204218,99,247,13.763758684974164,7.370939273008844
99,"[44, 221, 209, 211]",21.267698862000543,44221209211,100,247,13.8005447489777,7.370939273008844
100,END,21.27037997700245,,100,247,13.8005447489777,7.370939273008844
