,solution,time,obj value,solve_calls_sat,solve_calls_unsat,time_solve_sat,time_solve_unsat
0,"[46, 222, 279, 269]",0.13173977099359035,46222279269,1,0,0.13174032093957067,0.0
1,"[46, 223, 288, 257]",0.3244163829367608,46223288257,2,0,0.3227386388462037,0.0
2,"[46, 225, 289, 251]",0.5241955099627376,46225289251,3,0,0.520897070877254,0.0
3,"[46, 226, 298, 239]",0.7536526469048113,46226298239,4,0,0.7486361169721931,0.0
4,"[46, 227, 270, 279]",0.9498512679710984,46227270279,5,0,0.9432286529336125,0.0
5,"[46, 229, 275, 262]",1.1920054729562253,46229275262,6,0,1.1837554059457034,0.0
6,"[46, 229, 279, 249]",1.4239624559413642,46229279249,7,0,1.4140533020254225,0.0
7,"[46, 230, 285, 240]",1.8145594538655132,46230285240,8,0,1.802907224977389,0.0
8,"[46, 230, 288, 237]",2.1436305299866945,46230288237,9,0,2.130348362028599,0.0
9,"[46, 232, 273, 268]",2.460419585928321,46232273268,10,0,2.445500703062862,0.0
10,"[46, 233, 294, 232]",2.873366325860843,46233294232,11,0,2.8568152382504195,0.0
11,"[46, 234, 266, 272]",3.2425026500131935,46234266272,12,0,3.224229922052473,0.0
12,"[46, 234, 270, 259]",3.582811031024903,46234270259,13,0,3.562930899905041,0.0
13,"[46, 235, 262, 246]",3.887723079882562,46235262246,14,0,3.8661855328828096,0.0
14,"[46, 237, 282, 244]",4.448187644826248,46237282244,15,0,4.4249896868132055,0.0
15,"[46, 238, 274, 240]",4.901615413837135,46238274240,16,0,4.876671814825386,0.0
16,"[46, 238, 296, 230]",5.5326733130495995,46238296230,17,0,5.506119429832324,0.0
17,"[46, 239, 279, 225]",6.156389622949064,46239279225,18,0,6.128213859861717,0.0
18,"[46, 240, 256, 239]",6.767770197009668,46240256239,19,0,6.737961831968278,0.0
19,"[46, 240, 275, 234]",7.459740889025852,46240275234,20,0,7.4281794980634,0.0
20,"[46, 241, 284, 222]",8.037002258002758,46241284222,21,0,8.003782370127738,0.0
21,"[46, 243, 266, 221]",8.79151050094515,46243266221,22,0,8.756680593127385,0.0
22,"[46, 243, 300, 218]",10.020010890904814,46243300218,23,0,9.983536381274462,0.0
23,"[46, 246, 290, 219]",11.402544450946152,46246290219,24,0,11.364313756348565,0.0
24,"[46, 246, 293, 216]",12.407164444914088,46246293216,25,0,12.367314342409372,0.0
25,"[46, 247, 279, 215]",13.274500316008925,46247279215,26,0,13.23297258047387,0.0
26,"[46, 247, 282, 212]",14.08766304096207,46247282212,27,0,14.044503296492621,0.0
27,"[46, 249, 265, 234]",14.677215522853658,46249265234,28,0,14.632295825285837,0.0
28,"[46, 250, 258, 236]",15.316296983975917,46250258236,29,0,15.26974844536744,0.0
29,"[46, 252, 258, 235]",15.978815526003018,46252258235,30,0,15.930651043308899,0.0
30,"[46, 253, 268, 218]",16.951355937868357,46253268218,31,0,16.901527678361163,0.0
31,"[46, 254, 290, 211]",18.400325439870358,46254290211,32,0,18.348738508298993,0.0
32,"[46, 254, 291, 201]",19.366424890002236,46254291201,33,0,19.31322459341027,0.0
33,"[46, 255, 286, 210]",20.351707885041833,46255286210,34,0,20.296885082498193,0.0
34,"[46, 255, 289, 207]",21.82266405504197,46255289207,35,0,21.766178701538593,0.0
35,"[46, 256, 264, 233]",22.92875724984333,46256264233,36,0,22.87042090948671,0.0
36,"[46, 256, 274, 215]",24.104517079889774,46256274215,37,0,24.044568634359166,0.0
37,"[46, 256, 280, 213]",25.241151318885386,46256280213,38,0,25.17957844445482,0.0
38,"[46, 257, 281, 212]",26.3999820840545,46257281212,39,0,26.3367990674451,0.0
39,"[46, 257, 284, 209]",27.872494749026373,46257284209,40,0,27.807547649368644,0.0
40,"[46, 257, 289, 201]",29.195431594969705,46257289201,41,0,29.128856600262225,0.0
41,"[46, 258, 262, 234]",30.317884237971157,46258262234,42,0,30.249663551338017,0.0
42,"[46, 258, 267, 215]",31.413014956982806,46258267215,43,0,31.34316079854034,0.0
43,"[46, 259, 265, 232]",32.63313553389162,46259265232,44,0,32.56156041449867,0.0
44,"[46, 259, 273, 206]",34.21416311291978,46259273206,45,0,34.140960125485435,0.0
45,"[46, 259, 276, 203]",35.49593099486083,46259276203,46,0,35.42111124051735,0.0
46,"[46, 261, 259, 225]",36.64902851684019,46261259225,47,0,36.572544378461316,0.0
47,"[46, 262, 268, 213]",37.764443076914176,46262268213,48,0,37.686217688489705,0.0
48,"[46, 268, 249, 228]",38.778845896944404,46268249228,49,0,38.69900995865464,0.0
49,"[46, 268, 269, 212]",40.11648755799979,46268269212,50,0,40.034988595871255,0.0
50,"[46, 269, 275, 203]",41.5296169728972,46269275203,51,0,41.446480503771454,0.0
51,"[46, 269, 278, 200]",42.73734438885003,46269278200,52,0,42.65249094576575,0.0
52,"[46, 274, 265, 214]",43.89018609398045,46274265214,53,0,43.80369879398495,0.0
53,"[46, 275, 274, 202]",45.47138248803094,46275274202,54,0,45.38326334580779,0.0
54,"[46, 278, 251, 225]",46.75609348388389,46278251225,55,0,46.666320563759655,0.0
55,"[46, 281, 263, 220]",48.41073094494641,46281263220,56,0,48.319199678720906,0.0
56,"[46, 282, 272, 208]",50.72721446189098,46282272208,57,0,50.63402370153926,0.0
57,"[46, 283, 286, 195]",52.89059444190934,46283286195,58,0,52.79573849053122,0.0
58,"[46, 288, 266, 211]",54.2067600809969,46288266211,59,0,54.110231791390106,0.0
59,"[46, 290, 259, 211]",55.6999639950227,46290259211,60,0,55.60168245737441,0.0
60,"[46, 291, 268, 199]",57.84870457905345,46291268199,61,0,57.74876415450126,0.0
61,"[47, 207, 280, 266]",58.822206342825666,47207280266,62,0,58.72065565548837,0.0
62,"[47, 208, 300, 259]",59.84794894303195,47208300259,63,0,59.744762437650934,0.0
63,"[47, 210, 290, 248]",61.05029081203975,47210290248,64,0,60.945353315677494,0.0
64,"[47, 211, 270, 266]",62.14469201583415,47211270266,65,0,62.03810766665265,0.0
65,"[47, 212, 276, 253]",63.55768548999913,47212276253,66,0,63.449460501549765,0.0
66,"[47, 213, 285, 241]",64.84398011304438,47213285241,67,0,64.73413431737572,0.0
67,"[47, 214, 277, 249]",66.23392165102996,47214277249,68,0,66.12230436643586,0.0
68,"[47, 214, 280, 246]",67.51495939283632,47214280246,69,0,67.4017263695132,0.0
