,solution,time,obj value,solve_calls_sat,solve_calls_unsat,time_solve_sat,time_solve_unsat
0,"[46, 230, 267, 188]",1.421102728927508,46230267188,7,0,1.4210923078935593,0
1,"[46, 232, 265, 205]",1.5241319229826331,46232265205,8,0,1.5238742779474705,0
2,"[46, 233, 262, 206]",1.6560125309042633,46233262206,9,0,1.6554557629860938,0
3,"[46, 236, 255, 211]",1.7888334840536118,46236255211,10,0,1.7878204139415175,0
4,"[46, 237, 249, 217]",1.9162458579521626,46237249217,11,0,1.9145183807704598,0
5,"[46, 239, 237, 239]",2.04191135102883,46239237239,12,0,2.0391239437740296,0
6,"[46, 242, 230, 244]",2.171883968869224,46242230244,13,0,2.1676120427437127,0
7,"[47, 215, 256, 199]",2.295287299901247,47215256199,14,0,2.288880683714524,0
8,"[46, 264, 227, 242]",2.394474670989439,46264227242,15,0,2.384912567678839,0
9,"[47, 244, 223, 251]",2.605072350008413,47244223251,16,0,2.5917450645938516,0
10,"[47, 249, 217, 233]",2.782256162026897,47249217233,17,0,2.7637937685940415,0
11,"[47, 251, 210, 250]",2.9368134059477597,47251210250,18,0,2.911473938729614,0
12,"[48, 193, 249, 197]",3.0737687540240586,48193249197,19,0,3.039925256744027,0
13,"[47, 273, 207, 248]",3.196078267879784,47273207248,20,0,3.1517530605196953,0
14,"[47, 298, 204, 247]",3.932308197952807,47298204247,24,0,3.8442630285862833,0
15,"[48, 237, 206, 238]",4.748981199925765,48237206238,28,0,4.606312537565827,0
16,"[48, 253, 203, 257]",4.986898479051888,48253203257,29,0,4.818042278522626,0
17,"[47, 222, 227, 227]",5.408603840041906,47222227227,31,0,5.203263631789014,0
18,"[48, 258, 197, 239]",5.853082710877061,48258197239,33,0,5.58329719491303,0
19,"[47, 217, 254, 216]",6.081485065864399,47217254216,34,0,5.782841834938154,0
20,"[47, 218, 252, 197]",6.793778064893559,47218252197,37,0,6.399757181992754,0
21,"[47, 219, 234, 222]",7.031167248962447,47219234222,38,0,6.592401881935075,0
22,"[46, 240, 242, 222]",8.368466171901673,46240242222,44,0,7.654443470994011,0
23,"[48, 283, 194, 238]",8.551412402885035,48283194238,45,0,7.783464486012235,0
24,"[46, 251, 236, 222]",9.062487849034369,46251236222,48,0,8.1643706348259,0
25,"[49, 224, 189, 246]",9.639294052962214,49224189246,51,0,8.586679071187973,0
26,"[49, 178, 238, 208]",9.8642255498562,49178238208,52,0,8.722641058964655,0
27,"[46, 261, 234, 237]",10.084036204963923,46261234237,53,0,8.864106099121273,0
28,"[48, 215, 209, 240]",11.770800988888368,48215209240,60,0,10.109104795847088,0
29,"[47, 244, 224, 225]",12.505709924036637,47244224225,63,0,10.572902238927782,0
30,"[48, 231, 207, 233]",12.874333998886868,48231207233,64,0,10.794527360936627,0
31,"[46, 267, 230, 232]",14.103300746064633,46267230232,68,0,11.60947057674639,0
32,"[49, 246, 186, 244]",14.822322394931689,49246186244,71,0,12.100432276725769,0
33,"[47, 227, 263, 177]",16.140896260971203,47227263177,76,0,12.90881305700168,0
34,"[48, 212, 216, 235]",18.28217482799664,48212216235,84,0,14.275209626648575,0
35,"[49, 222, 196, 229]",19.560078656999394,49222196229,87,0,14.926815394312143,0
36,"[49, 271, 183, 243]",20.11333127389662,49271183243,88,0,15.111132352147251,0
37,"[46, 247, 249, 211]",20.745940683875233,46247249211,90,0,15.453608775977045,0
38,"[46, 248, 243, 217]",21.05221261596307,46248243217,91,0,15.587417223025113,0
39,"[46, 241, 261, 188]",22.300239294068888,46241261188,95,0,16.37414070009254,0
40,"[46, 244, 256, 206]",25.11852979985997,46244256206,103,0,17.764891194878146,0
41,"[48, 203, 241, 215]",28.120487856911495,48203241215,112,0,19.46523564704694,0
42,"[50, 231, 176, 235]",30.13857442000881,50231176235,118,0,20.40484162303619,0
43,"[47, 260, 216, 228]",32.2255570050329,47260216228,123,0,21.231998320668936,0
44,"[47, 221, 245, 202]",34.12996546598151,47221245202,128,0,21.98116641980596,0
45,"[46, 258, 239, 219]",35.00526864803396,46258239219,130,0,22.303783998126164,0
46,"[47, 285, 213, 227]",39.220776141854,47285213227,140,0,24.135963160311803,0
47,"[47, 227, 238, 217]",43.52160993195139,47227238217,151,0,26.294097391190007,0
48,"[47, 226, 244, 211]",44.17230413900688,47226244211,152,0,26.518372719176114,0
49,"[47, 230, 231, 222]",44.77099123108201,47230231222,153,0,26.76606635027565,0
50,"[50, 174, 234, 226]",48.03271260904148,50174234226,160,0,28.17497283872217,0
51,"[47, 232, 239, 202]",48.76097169704735,47232239202,161,0,28.42592402570881,0
52,"[48, 208, 236, 213]",52.42972041689791,48208236213,166,0,29.58251711865887,0
53,"[47, 238, 236, 202]",53.11940259486437,47238236202,167,0,29.829050130676478,0
54,"[48, 229, 267, 176]",58.30433842190541,48229267176,176,0,31.706520611885935,0
