,solution,time,obj value,solve_calls_sat,solve_calls_unsat,time_solve_sat,time_solve_unsat
0,"[40, 229, 279, 272, 265]",0.12970817810855806,40229279272265,1,0,0.12970961909741163,0.0
1,"[40, 230, 282, 248, 280]",0.296586437150836,40230282248280,2,2,0.23201162926852703,0.06418140884488821
2,"[40, 231, 275, 277, 272]",0.47471913206391037,40231275277272,3,4,0.34135430213063955,0.13248343393206596
3,"[40, 232, 281, 267, 281]",0.7169979910831898,40232281267281,4,6,0.4954721359536052,0.22009177808649838
4,"[40, 233, 275, 270, 274]",0.9407591579947621,40233275270274,5,8,0.6169898230582476,0.3216685000807047
5,"[40, 234, 291, 263, 263]",1.255043911980465,40234291263263,6,10,0.82512596109882,0.4270641040056944
6,"[40, 235, 285, 266, 256]",1.5347772219683975,40235285266256,7,12,1.022184110013768,0.5088531249202788
7,"[40, 236, 265, 268, 279]",1.7880385559983552,40236265268279,8,14,1.1788569849450141,0.6045078760944307
8,"[40, 236, 274, 280, 273]",1.9388710900675505,40236274280273,9,15,1.3006124389357865,0.6329913211520761
9,"[40, 236, 288, 256, 248]",2.1406820360571146,40236288256248,10,16,1.4607153080869466,0.6740275949705392
10,"[40, 237, 277, 256, 288]",2.4693015380762517,40237277256288,11,18,1.662990994984284,0.7991613571066409
11,"[40, 238, 261, 273, 286]",2.799595740158111,40238261273286,12,20,1.8617581308353692,0.9292927412316203
12,"[40, 238, 272, 264, 271]",2.9733016670215875,40238272264271,13,21,2.005875554867089,0.9581016162410378
13,"[40, 240, 261, 266, 288]",3.3968794820830226,40240261266288,14,23,2.283505108905956,1.102638372220099
14,"[40, 240, 268, 269, 278]",3.6176275070756674,40240268269278,15,24,2.4634839759673923,1.142523824237287
15,"[40, 240, 269, 243, 279]",3.8159934021532536,40240269243279,16,25,2.620181765174493,1.183261024300009
16,"[40, 240, 269, 257, 256]",3.873134419089183,40240269257256,17,25,2.6770316942129284,1.183261024300009
17,"[40, 242, 265, 262, 263]",4.324479998089373,40242265262263,18,27,2.9761492921970785,1.3338250855449587
18,"[40, 243, 260, 276, 287]",4.7540068060625345,40243260276287,19,29,3.285238154232502,1.4524598396383226
19,"[40, 243, 274, 252, 262]",4.9950512130744755,40243274252262,20,30,3.4890964361838996,1.4886124916374683
20,"[40, 244, 265, 255, 265]",5.547995197121054,40244265255265,21,32,3.8928411211818457,1.6357540227472782
21,"[40, 245, 256, 281, 294]",6.086061648093164,40245256281294,22,34,4.28193382313475,1.782667907886207
22,"[40, 247, 255, 253, 270]",6.690030883066356,40247255253270,23,36,4.728080406086519,1.938394351862371
23,"[40, 247, 264, 251, 287]",6.890004710992798,40247264251287,24,37,4.88754184008576,1.9778219668660313
24,"[40, 247, 264, 265, 264]",6.967773337149993,40247264265264,25,37,4.964988149236888,1.9778219668660313
25,"[40, 249, 251, 258, 277]",7.684400676982477,40249251258277,26,39,5.486667206278071,2.170496382052079
26,"[40, 251, 251, 251, 279]",8.438526981975883,40251251251279,27,41,6.077807787107304,2.3310548667795956
27,"[40, 254, 250, 261, 278]",9.32616328005679,40254250261278,28,43,6.822792052989826,2.4710868168622255
28,"[40, 256, 246, 266, 285]",10.053390467073768,40256246266285,29,45,7.40435153292492,2.6140609418507665
29,"[40, 257, 240, 255, 253]",10.79119619494304,40257240255253,30,47,8.01894330396317,2.734395978739485
30,"[40, 259, 236, 260, 260]",11.420586046995595,40259236260260,31,49,8.543024347862229,2.836816113907844
31,"[40, 261, 236, 253, 262]",12.11949984007515,40261236253262,32,51,9.091446121688932,2.9843509858474135
32,"[40, 263, 240, 252, 264]",13.01276015699841,40263240252264,33,53,9.862703119637445,3.10320154693909
33,"[40, 263, 246, 249, 244]",13.20523017202504,40263246249244,34,54,10.004691204754636,3.1518685510382056
34,"[40, 264, 235, 263, 261]",14.01695913914591,40264235263261,35,56,10.656233910704032,3.3088403700385243
35,"[40, 266, 231, 268, 268]",15.090747900074348,40266231268268,36,58,11.560967214871198,3.474584969226271
36,"[40, 267, 236, 250, 273]",15.857999644940719,40267236250273,37,60,12.178472499828786,3.620926917064935
37,"[40, 268, 231, 261, 270]",17.13848659605719,40268231261270,38,62,13.279847501777112,3.796490275999531
38,"[40, 269, 246, 246, 255]",18.009647488128394,40269246246255,39,64,13.960453209700063,3.9834058941341937
39,"[40, 270, 235, 260, 272]",18.96851466409862,40270235260272,40,66,14.780673246830702,4.118256765184924
