,solution,time,obj value,solve_calls_sat,solve_calls_unsat,time_solve_sat,time_solve_unsat
0,"[44, 214, 211, 206, 211, 257, 274, 256]",0.16856757295317948,44214211206211257274256,1,0,0.16856787796132267,0.0
1,"[45, 190, 204, 204, 232, 274, 288, 270]",0.4367439257912338,45190204204232274288270,2,0,0.43389172200113535,0.0
2,"[45, 194, 217, 203, 228, 261, 299, 274]",0.7641487179789692,45194217203228261299274,3,0,0.7583701440598816,0.0
3,"[45, 207, 215, 211, 223, 266, 288, 254]",1.3796333789359778,45207215211223266288254,4,0,1.371047429041937,0.0
4,"[45, 208, 220, 214, 239, 279, 273, 275]",1.9826072489377111,45208220214239279273275,5,0,1.9711486629676074,0.0
5,"[45, 209, 208, 205, 218, 257, 286, 261]",2.483299472834915,45209208205218257286261,6,0,2.4690617569722235,0.0
6,"[45, 210, 212, 220, 206, 245, 272, 247]",3.0363999539986253,45210212220206245272247,7,0,3.01928584696725,0.0
7,"[45, 212, 209, 197, 208, 253, 271, 253]",3.505308338906616,45212209197208253271253,8,0,3.4853868358768523,0.0
8,"[45, 214, 203, 203, 208, 243, 266, 251]",4.0255973329767585,45214203203208243266251,9,0,4.002693495946005,0.0
9,"[45, 216, 220, 210, 218, 260, 265, 250]",5.1125353788957,45216220210218260265250,10,0,5.086649242090061,0.0
10,"[45, 222, 222, 225, 220, 252, 275, 243]",6.375475437846035,45222222225220252275243,11,0,6.3466528912540525,0.0
11,"[45, 222, 232, 225, 224, 261, 257, 246]",8.3912292199675,45222232225224261257246,12,0,8.359591872431338,0.0
12,"[45, 223, 212, 223, 212, 274, 265, 254]",9.450802286854014,45223212223212274265254,13,0,9.416285556275398,0.0
13,"[45, 224, 207, 219, 206, 269, 288, 270]",10.426057512871921,45224207219206269288270,14,0,10.388743884162977,0.0
14,"[45, 225, 217, 196, 231, 259, 289, 259]",11.427386698778719,45225217196231259289259,15,0,11.38713386328891,0.0
15,"[45, 226, 211, 232, 213, 258, 274, 248]",12.739004522794858,45226211232213258274248,16,0,12.695973695488647,0.0
16,"[45, 231, 206, 191, 212, 254, 285, 243]",14.000990555854514,45231206191212254285243,17,0,13.955072791548446,0.0
17,"[45, 232, 202, 195, 210, 252, 273, 249]",14.782849391922355,45232202195210252273249,18,0,14.73411022266373,0.0
18,"[45, 233, 222, 225, 216, 250, 276, 234]",16.523849365999922,45233222225216250276234,19,0,16.472209205618128,0.0
19,"[45, 234, 202, 185, 221, 248, 281, 253]",17.526979923946783,45234202185221248281253,20,0,17.472491966560483,0.0
20,"[45, 234, 214, 196, 215, 247, 287, 258]",18.850062363781035,45234214196215247287258,21,0,18.792668756563216,0.0
21,"[45, 242, 208, 177, 212, 252, 276, 241]",20.578237985959277,45242208177212252276241,22,0,20.518027455545962,0.0
22,"[45, 251, 225, 220, 223, 247, 294, 246]",23.091467305785045,45251225220223247294246,23,0,23.028343038633466,0.0
23,"[46, 185, 201, 203, 239, 274, 300, 275]",24.124376273946837,46185201203239274300275,24,0,24.058465206529945,0.0
24,"[46, 186, 205, 218, 227, 262, 286, 261]",25.306831795955077,46186205218227262286261,25,0,25.2379782916978,0.0
25,"[46, 188, 202, 195, 229, 270, 285, 267]",26.285831287968904,46188202195229270285267,26,0,26.214174648514017,0.0
