,solution,time,obj value,solve_calls_sat,solve_calls_unsat,time_solve_sat,time_solve_unsat
0,"[-887, -727, -673]",0.024043310899287462,-88707270673,1,0,0.024042549077421427,0.0
1,"[-876, -735, -569]",0.06060276902280748,-87607350569,2,0,0.059113801224157214,0.0
2,"[-874, -697, -677]",0.11972649884410203,-87406970677,3,0,0.08992822817526758,0.0
3,"[-873, -745, -557]",0.16220574802719057,-87307450557,4,0,0.13106996123678982,0.0
4,"[-872, -787, -667]",0.1997851838823408,-87207870667,5,0,0.16744751436635852,0.0
5,"[-871, -793, -614]",0.24122250080108643,-87107930614,6,0,0.20764631545171142,0.0
6,"[-870, -647, -687]",0.2754415199160576,-87006470687,7,0,0.24056685948744416,0.0
7,"[-868, -773, -680]",0.3122523978818208,-86807730680,8,0,0.2761480293702334,0.0
8,"[-866, -739, -738]",0.3592670338694006,-86607390738,9,0,0.3219360834918916,0.0
9,"[-866, -706, -759]",0.40223193587735295,-86607060759,10,0,0.3635870893485844,0.0
10,"[-865, -800, -647]",0.4539576550014317,-86508000647,11,0,0.4141145064495504,0.0
11,"[-863, -835, -675]",0.4987562638707459,-86308350675,12,0,0.45763285853900015,0.0
12,"[-863, -802, -696]",0.555120870936662,-86308020696,13,0,0.5127059204969555,0.0
13,"[-863, -766, -705]",0.6266057719476521,-86307660705,14,0,0.5830033565871418,0.0
14,"[-860, -743, -714]",0.8081028999295086,-86007430714,15,0,0.7632548534311354,0.0
15,"[-854, -808, -682]",0.9977377159520984,-85408080682,16,0,0.9515306672547013,0.0
16,"[-854, -774, -760]",1.17498689587228,-85407740760,17,0,1.1274873353540897,0.0
17,"[-854, -741, -781]",1.4121749389450997,-85407410781,18,0,1.3633601744659245,0.0
18,"[-851, -799, -732]",1.6464179628528655,-85107990732,19,0,1.5963801434263587,0.0
19,"[-849, -732, -811]",1.9506413259077817,-84907320811,20,0,1.8993024814408273,0.0
20,"[-848, -826, -699]",2.144756151828915,-84808260699,21,0,2.0922347554005682,0.0
21,"[-847, -843, -611]",2.4727003728039563,-84708430611,22,0,2.4188445054460317,0.0
22,"[-846, -851, -599]",2.7904073768295348,-84608510599,23,0,2.735215416410938,0.0
23,"[-846, -759, -778]",3.1141035580076277,-84607590778,24,0,3.057614450342953,0.0
24,"[-845, -836, -687]",3.4796500529628247,-84508360687,25,0,3.421837581321597,0.0
25,"[-845, -803, -708]",3.8030354459770024,-84508030708,26,0,3.7438667323440313,0.0
26,"[-844, -842, -634]",4.132249519927427,-84408420634,27,0,4.071791494265199,0.0
27,"[-844, -812, -712]",4.426440007984638,-84408120712,28,0,4.3645447343587875,0.0
28,"[-844, -779, -733]",4.925951147917658,-84407790733,29,0,4.862762602278963,0.0
29,"[-842, -863, -671]",5.200309605803341,-84208630671,30,0,5.135813931236044,0.0
30,"[-842, -814, -761]",5.6981541889254,-84208140761,31,0,5.632280957186595,0.0
31,"[-842, -745, -791]",6.301914957817644,-84207450791,32,0,6.234715892234817,0.0
32,"[-841, -822, -700]",6.8215173948556185,-84108220700,33,0,6.752907065209001,0.0
33,"[-841, -772, -764]",7.3623760209884495,-84107720764,34,0,7.292457856237888,0.0
34,"[-840, -834, -690]",7.750429528998211,-84008340690,35,0,7.679166352143511,0.0
35,"[-839, -864, -579]",8.141789688030258,-83908640579,36,0,8.069219614146277,0.0
36,"[-839, -841, -728]",8.831190683878958,-83908410728,37,0,8.757325594080612,0.0
37,"[-839, -755, -779]",9.521379210986197,-83907550779,38,0,9.446222879225388,0.0
38,"[-837, -834, -734]",10.115001879865304,-83708340734,39,0,10.038424228318036,0.0
39,"[-836, -874, -567]",10.64430795586668,-83608740567,40,0,10.566426366334781,0.0
40,"[-836, -851, -716]",11.11332925199531,-83608510716,41,0,11.034089633263648,0.0
41,"[-833, -820, -747]",11.85930395196192,-83308200747,42,0,11.778771996265277,0.0
42,"[-833, -787, -768]",12.674859514925629,-83307870768,43,0,12.593032113276422,0.0
43,"[-833, -753, -846]",13.501108316937461,-83307530846,44,0,13.417877356288955,0.0
44,"[-832, -865, -621]",14.27236073394306,-83208650621,45,0,14.187828533351421,0.0
45,"[-830, -780, -813]",15.132935728877783,-83007800813,46,0,15.047063205391169,0.0
46,"[-829, -877, -689]",15.666992960032076,-82908770689,47,0,15.579815961420536,0.0
47,"[-828, -881, -555]",16.515013814903796,-82808810555,48,0,16.42654639738612,0.0
48,"[-828, -849, -763]",17.226455139927566,-82808490763,49,0,17.136692411499098,0.0
49,"[-827, -857, -702]",17.82137939799577,-82708570702,50,0,17.730197271332145,0.0
50,"[-827, -805, -785]",18.88226718083024,-82708050785,51,0,18.78975588036701,0.0
51,"[-827, -790, -801]",20.116736955940723,-82707900801,52,0,20.022921782219782,0.0
52,"[-826, -838, -775]",21.18729032902047,-82608380775,53,0,21.09208369231783,0.0
53,"[-826, -618, -847]",22.716695201816037,-82606180847,54,0,22.620188501430675,0.0
54,"[-825, -891, -609]",23.427167064975947,-82508910609,55,0,23.329219011589885,0.0
55,"[-825, -722, -859]",24.745524286990985,-82507220859,56,0,24.646231242688373,0.0
56,"[-824, -798, -816]",26.231041447957978,-82407980816,57,0,26.13044456881471,0.0
57,"[-822, -890, -631]",27.294516530819237,-82208900631,58,0,27.192634276812896,0.0
58,"[-822, -818, -796]",28.441799498861656,-82208180796,59,0,28.33861492271535,0.0
59,"[-821, -875, -736]",29.346015879884362,-82108750736,60,0,29.24153258674778,0.0
60,"[-820, -784, -829]",30.52421952201985,-82007840829,61,0,30.418241932755336,0.0
61,"[-819, -900, -619]",31.363877578871325,-81909000619,62,0,31.25656196870841,0.0
62,"[-819, -788, -848]",32.78585376800038,-81907880848,63,0,32.677128731738776,0.0
63,"[-818, -804, -809]",34.12898925202899,-81808040809,64,0,34.01896087778732,0.0
64,"[-817, -834, -798]",35.38031605584547,-81708340798,65,0,35.268994248704985,0.0
65,"[-816, -813, -820]",36.63270157203078,-81608130820,66,0,36.5198559446726,0.0
66,"[-815, -912, -691]",37.55624583689496,-81509120691,67,0,37.44199037877843,0.0
67,"[-815, -879, -712]",39.26024040300399,-81508790712,68,0,39.14463285985403,0.0
68,"[-815, -735, -850]",41.29803039995022,-81507350850,69,0,41.181085876887664,0.0
69,"[-815, -728, -870]",43.421635038917884,-81507280870,70,0,43.303375052055344,0.0
70,"[-813, -883, -710]",44.668277028016746,-81308830710,71,0,44.548663025023416,0.0
71,"[-813, -840, -787]",46.25383476889692,-81308400787,72,0,46.13278362201527,0.0
72,"[-813, -757, -881]",47.97217135690153,-81307570881,73,0,47.84974310407415,0.0
73,"[-812, -913, -599]",49.354908225825056,-81209130599,74,0,49.23112851497717,0.0
74,"[-812, -872, -743]",50.89812668785453,-81208720743,75,0,50.772964796982706,0.0
75,"[-812, -870, -762]",52.64919807901606,-81208700762,76,0,52.522659617010504,0.0
76,"[-812, -841, -764]",54.22994756093249,-81208410764,77,0,54.10195576003753,0.0
77,"[-810, -850, -775]",55.831529397983104,-81008500775,78,0,55.70223561115563,0.0
78,"[-809, -899, -710]",57.41342141502537,-80908990710,79,0,57.28271122020669,0.0
79,"[-809, -826, -800]",59.98990296688862,-80908260800,80,0,59.857867716345936,0.0
80,"[-809, -743, -894]",62.433619705960155,-80907430894,81,0,62.30020802025683,0.0
81,"[-809, -644, -899]",64.9492912190035,-80906440899,82,0,64.8144983171951,0.0
82,"[-807, -876, -719]",66.62816509394906,-80708760719,83,0,66.49192206608132,0.0
83,"[-807, -812, -844]",68.84155533998273,-80708120844,84,0,68.70392280817032,0.0
84,"[-806, -836, -788]",70.47042652103119,-80608360788,85,0,70.3314097521361,0.0
85,"[-806, -819, -831]",73.00051130889915,-80608190831,86,0,72.86020262306556,0.0
86,"[-806, -758, -852]",75.56370652490295,-80607580852,87,0,75.42201003199443,0.0
87,"[-806, -753, -882]",78.10062954598106,-80607530882,88,0,77.95741946203634,0.0
88,"[-805, -914, -641]",79.84384459583089,-80509140641,89,0,79.69921945710666,0.0
89,"[-805, -881, -757]",81.68694900395349,-80508810757,90,0,81.54093045298941,0.0
90,"[-805, -848, -778]",83.98590940283611,-80508480778,91,0,83.83857864304446,0.0
91,"[-805, -801, -856]",86.2746124418918,-80508010856,92,0,86.12593403900973,0.0
92,"[-804, -868, -809]",88.13319817301817,-80408680809,93,0,87.98319475515746,0.0
93,"[-804, -839, -811]",90.25207404699177,-80408390811,94,0,90.10056714806706,0.0
94,"[-803, -761, -897]",93.52297133789398,-80307610897,95,0,93.37005791813135,0.0
95,"[-802, -839, -828]",95.57126416102983,-80208390828,96,0,95.41704990621656,0.0
96,"[-801, -930, -641]",97.89233432197943,-80109300641,97,0,97.73682283516973,0.0
97,"[-800, -788, -864]",100.87666177889332,-80007880864,98,0,100.71980492724106,0.0
98,"[-799, -650, -910]",104.5792777419556,-79906500910,99,0,104.42093344125897,0.0
99,"[-798, -940, -629]",106.6559792298358,-79809400629,100,0,106.49632834945805,0.0
100,END,106.65739661897533,,100,1,106.49632834945805,5.372101441025734e-06
