,solution,time,obj value,solve_calls_sat,solve_calls_unsat,time_solve_sat,time_solve_unsat
0,"[-1219, -917, -845]",0.013284865002788138,-121909170845,1,0,0.013280894003401045,0.0
1,"[-1219, -854, -897]",0.025529491998895537,-121908540897,2,0,0.02550541900563985,0.0
2,"[-1214, -864, -898]",0.05637107599613955,-121408640898,3,0,0.05632371100364253,0.0
3,"[-1211, -946, -936]",0.08384873800241621,-121109460936,4,0,0.08375998500559945,0.0
4,"[-1209, -969, -952]",0.11506737399759004,-120909690952,5,0,0.11493370300740935,0.0
5,"[-1199, -852, -959]",0.15140306700050132,-119908520959,6,0,0.15110797800298315,0.0
6,"[-1198, -915, -985]",0.18835630900139222,-119809150985,7,0,0.18802321499970276,0.0
7,"[-1198, -913, -1017]",0.22299092100001872,-119809131017,8,0,0.22261304900166579,0.0
8,"[-1191, -998, -1032]",0.23142741499759723,-119109981032,9,0,0.2309765870013507,0.0
9,"[-1184, -853, -1051]",0.24132907199964393,-118408531051,10,0,0.24080482800491154,0.0
10,"[-1170, -899, -1058]",0.24863178400119068,-117008991058,11,0,0.24791211200499674,0.0
11,"[-1084, -758, -1059]",0.2749305949982954,-108407581059,12,0,0.2741301440037205,0.0
12,"[-1079, -768, -1060]",0.3099157649994595,-107907681060,13,0,0.30902225100726355,0.0
13,"[-1070, -804, -1066]",0.3455342279994511,-107008041066,14,0,0.34452133100421634,0.0
14,"[-1038, -818, -1069]",0.3735678500015638,-103808181069,15,0,0.37233295300393365,0.0
15,"[-988, -846, -1070]",0.4188546290024533,-98808461070,16,0,0.41735597899969434,0.0
16,"[-970, -932, -1073]",0.4273707079992164,-97009321073,17,0,0.42573267399711767,0.0
17,"[-1024, -885, -1066]",0.5542430049972609,-102408851066,21,1,0.5424166069933563,0.00584255599824246
18,"[-993, -836, -1069]",0.5848065269965446,-99308361069,22,1,0.5728039690002333,0.00584255599824246
19,"[-979, -896, -1067]",0.6359674490013276,-97908961067,24,1,0.6215227430002415,0.00584255599824246
20,"[-1216, -981, -878]",0.6955208409999614,-121609810878,28,1,0.6795580739926663,0.00584255599824246
21,"[-989, -905, -1059]",0.7767342570004985,-98909051059,31,1,0.7589421480006422,0.00584255599824246
22,"[-1168, -928, -1035]",0.8322473610023735,-116809281035,34,1,0.8131014539976604,0.00584255599824246
23,"[-1163, -938, -1036]",0.859660404996248,-116309381036,35,1,0.840323267999338,0.00584255599824246
24,"[-1154, -974, -1042]",0.8730649599965545,-115409741042,36,1,0.8536140189971775,0.00584255599824246
25,"[-1135, -900, -1052]",0.8897607010003412,-113509001052,37,1,0.8701898769941181,0.00584255599824246
26,"[-1126, -936, -1058]",0.899987933000375,-112609361058,38,1,0.8802898409994668,0.00584255599824246
27,"[-1193, -925, -986]",0.9574155719965347,-119309250986,41,1,0.9352410579958814,0.00584255599824246
28,"[-1194, -934, -955]",0.9983474879991263,-119409340955,43,1,0.975094008994347,0.00584255599824246
29,"[-1193, -1042, -968]",1.0097784179961309,-119310420968,44,1,0.9864024369962863,0.00584255599824246
30,"[-935, -933, -1067]",1.0994890119982301,-93509331067,49,1,1.0710918449985911,0.00584255599824246
31,"[-1116, -967, -1055]",1.136193642996659,-111609671055,51,3,1.0969638699971256,0.013836942001944408
32,"[-1111, -977, -1056]",1.1430044689986971,-111109771056,52,3,1.103517406998435,0.013836942001944408
33,"[-911, -947, -1058]",1.1824178030001349,-91109471058,53,3,1.1427564889963833,0.013836942001944408
34,"[-1207, -998, -929]",1.2494054339986178,-120709980929,57,4,1.1988648749902495,0.0197126940038288
35,"[-1202, -1008, -930]",1.2683540840007481,-120210080930,58,4,1.2175370099939755,0.0197126940038288
36,"[-1202, -982, -942]",1.2977968069972121,-120209820942,59,4,1.2467863489946467,0.0197126940038288
37,"[-1119, -975, -1036]",1.342610733998299,-111909751036,61,4,1.2894437970026047,0.0197126940038288
38,"[-1096, -989, -1034]",1.3983462140022311,-109609891034,64,4,1.342848596010299,0.0197126940038288
39,"[-1091, -1004, -1038]",1.4326494869965245,-109110041038,65,4,1.3768684120150283,0.0197126940038288
40,"[-1080, -982, -1045]",1.465993243997218,-108009821045,66,4,1.410005240017199,0.0197126940038288
41,"[-1076, -978, -1050]",1.485792984996806,-107609781050,67,4,1.4295784890200594,0.0197126940038288
42,"[-1067, -1014, -1056]",1.493472684000153,-106710141056,68,4,1.4370280320217717,0.0197126940038288
43,"[-1193, -1044, -936]",1.552497589000268,-119310440936,71,4,1.4908089830205427,0.0197126940038288
44,"[-1177, -1000, -970]",1.6662540280012763,-117710000970,76,4,1.6013653590125614,0.0197126940038288
45,"[-1172, -1018, -1006]",1.686052748998918,-117210181006,77,4,1.6209489300090354,0.0197126940038288
46,"[-1168, -1034, -1008]",1.698210212001868,-116810341008,78,4,1.632896981005615,0.0197126940038288
47,"[-1167, -1012, -1023]",1.7170069869971485,-116710121023,79,4,1.6513959250078187,0.0197126940038288
