,solution,time,obj value,solve_calls_sat,solve_calls_unsat,time_solve_sat,time_solve_unsat
0,"[-1221, -880, -874]",0.04345670994371176,-122108800874,5,0,0.04343736497685313,0.0
1,"[-1198, -891, -891]",0.09751233900897205,-119808910891,6,0,0.0974458740092814,0.0
2,"[-1185, -919, -939]",0.12694711983203888,-118509190939,7,0,0.12684145686216652,0.0
3,"[-1183, -992, -940]",0.1400054229889065,-118309920940,8,0,0.1397319899406284,0.0
4,"[-1180, -913, -970]",0.16511065093800426,-118009130970,9,0,0.16479152790270746,0.0
5,"[-1157, -942, -1003]",0.20421660179272294,-115709421003,10,0,0.20384390489198267,0.0
6,"[-1127, -900, -1043]",0.2269277609884739,-112709001043,11,0,0.2264951798133552,0.0
7,"[-1113, -912, -1052]",0.25704961083829403,-111309121052,12,0,0.25655402173288167,0.0
8,"[-1086, -967, -1065]",0.2940740888006985,-108609671065,13,0,0.2933872987050563,0.0
9,"[-1074, -889, -1082]",0.32598973880521953,-107408891082,14,0,0.3252304047346115,0.0
10,"[-1051, -851, -1095]",0.3558735908009112,-105108511095,15,0,0.355039166752249,0.0
11,"[-1027, -912, -1111]",0.3778147888369858,-102709121111,16,0,0.37690105685032904,0.0
12,"[-1010, -918, -1117]",0.41372937499545515,-101009181117,17,0,0.41260924376547337,0.0
13,"[-986, -867, -1120]",0.4486255389638245,-98608671120,18,0,0.4474171318579465,0.0
14,"[-985, -843, -1132]",0.4688328530173749,-98508431132,19,0,0.4675271757878363,0.0
15,"[-955, -886, -1156]",0.48834370798431337,-95508861156,20,0,0.486940941773355,0.0
16,"[-905, -820, -1164]",0.5054170328658074,-90508201164,21,0,0.5037911217659712,0.0
17,"[-863, -836, -1169]",0.5172685969155282,-86308361169,22,0,0.5155376058537513,0.0
18,"[-904, -881, -1160]",0.5371964788064361,-90408811160,23,0,0.5346787448506802,0.0
19,"[-846, -845, -1162]",0.5706550478935242,-84608451162,25,0,0.5671612599398941,0.0
20,"[-984, -904, -1128]",0.5961096419487149,-98409041128,26,1,0.5858431188389659,0.005977520020678639
21,"[-1034, -860, -1088]",0.6696615219116211,-103408601088,28,2,0.6515375236049294,0.011998464819043875
22,"[-1033, -889, -1084]",0.7429233158472925,-103308891084,30,2,0.7238041504751891,0.011998464819043875
23,"[-1028, -911, -1086]",0.7877669758163393,-102809111086,31,2,0.7685381853953004,0.011998464819043875
24,"[-1216, -900, -828]",0.8439004519023001,-121609000828,34,2,0.8229693695902824,0.011998464819043875
25,"[-1206, -883, -842]",0.8956577449571341,-120608830842,35,2,0.8745215984527022,0.011998464819043875
26,"[-1203, -897, -860]",0.9319588199723512,-120308970860,36,2,0.9107344194781035,0.011998464819043875
27,"[-1205, -944, -838]",1.0186713808216155,-120509440838,38,3,0.9901334145106375,0.01693736482411623
28,"[-947, -889, -1143]",1.092929703881964,-94708891143,40,3,1.062150669284165,0.01693736482411623
29,"[-905, -905, -1148]",1.1067502188961953,-90509051148,41,3,1.0756679330952466,0.01693736482411623
30,"[-1038, -921, -1068]",1.164735518861562,-103809211068,42,4,1.1256687622517347,0.024108467856422067
31,"[-1031, -959, -1078]",1.2354363629128784,-103109591078,43,4,1.1962284501641989,0.024108467856422067
32,"[-938, -926, -1132]",1.3185764979571104,-93809261132,45,4,1.2786125214770436,0.024108467856422067
33,"[-1185, -953, -865]",1.3793292839545757,-118509530865,47,4,1.3387061634566635,0.024108467856422067
34,"[-1194, -899, -840]",1.4541694028303027,-119408990840,49,4,1.4119398195762187,0.024108467856422067
35,"[-1193, -911, -845]",1.4911547908559442,-119309110845,50,4,1.4486816155258566,0.024108467856422067
36,"[-1187, -942, -851]",1.529066763818264,-118709420851,51,4,1.4864663765765727,0.024108467856422067
37,"[-1186, -906, -853]",1.5761929908767343,-118609060853,52,4,1.5334596005268395,0.024108467856422067
38,"[-1215, -961, -824]",1.6947502959519625,-121509610824,55,4,1.6483243515249342,0.024108467856422067
39,"[-1126, -961, -1039]",1.7599900348577648,-112609611039,57,4,1.7127124804537743,0.024108467856422067
40,"[-959, -954, -1118]",1.8247728499118239,-95909541118,59,4,1.774465426336974,0.024108467856422067
41,"[-949, -928, -1125]",1.85800063284114,-94909281125,60,4,1.8073268993757665,0.024108467856422067
42,"[-1192, -972, -841]",1.9922517798841,-119209720841,63,5,1.9292346350848675,0.030874617863446474
43,"[-1027, -972, -1082]",2.0620553949847817,-102709721082,65,5,1.9975322743412107,0.030874617863446474
44,"[-1111, -982, -1046]",2.097018835833296,-111109821046,67,5,2.0302870492450893,0.030874617863446474
45,"[-1094, -988, -1052]",2.1181016308255494,-109409881052,68,5,2.0510363613720983,0.030874617863446474
46,"[-1023, -938, -1091]",2.148919534869492,-102309381091,69,5,2.081159373279661,0.030874617863446474
