,solution,time,obj value,solve_calls_sat,solve_calls_unsat,time_solve_sat,time_solve_unsat
0,"[-1194, -784, -967, -1078, -984, -743, -975, -813, -978]",0.04188461718149483,-119407840967107809840743097508130978,1,0,0.04188540391623974,0.0
1,"[-1178, -786, -942, -1053, -912, -815, -965, -892, -980]",0.107619718182832,-117807860942105309120815096508920980,2,0,0.1045779490377754,0.0
2,"[-1174, -854, -980, -1136, -932, -742, -901, -831, -1001]",0.17878544400446117,-117408540980113609320742090108311001,3,0,0.17248122510500252,0.0
3,"[-1174, -853, -924, -1125, -928, -822, -972, -877, -1018]",0.257305899169296,-117408530924112509280822097208771018,4,0,0.24790127226151526,0.0
4,"[-1170, -816, -959, -1139, -941, -791, -982, -866, -1015]",0.3958494421094656,-117008160959113909410791098208661015,5,0,0.3833441094029695,0.0
5,"[-1166, -885, -1009, -1136, -936, -702, -904, -878, -996]",0.5107274879701436,-116608851009113609360702090408780996,6,0,0.49513242137618363,0.0
6,"[-1165, -837, -931, -1045, -901, -817, -1016, -945, -971]",0.6799220400862396,-116508370931104509010817101609450971,7,0,0.6612346733454615,0.0
7,"[-1164, -778, -1002, -1110, -913, -748, -977, -873, -992]",0.8710387900937349,-116407781002111009130748097708730992,8,0,0.849254799541086,0.0
8,"[-1161, -905, -969, -1128, -921, -744, -952, -884, -992]",1.039507269160822,-116109050969112809210744095208840992,9,0,1.0146039384417236,0.0
9,"[-1161, -823, -984, -1092, -959, -752, -1040, -831, -983]",1.2926435070112348,-116108230984109209590752104008310983,10,0,1.2645343425683677,0.0
10,"[-1158, -788, -943, -1103, -865, -842, -959, -861, -970]",1.5759286400862038,-115807880943110308650842095908610970,11,0,1.5446805325336754,0.0
11,"[-1156, -809, -1031, -1110, -917, -708, -980, -920, -987]",1.9707776461727917,-115608091031111009170708098009200987,12,0,1.9363335254602134,0.0
12,"[-1154, -856, -981, -1186, -885, -769, -895, -800, -991]",2.2337033641524613,-115408560981118608850769089508000991,13,0,2.196164667373523,0.0
13,"[-1151, -829, -991, -1102, -902, -750, -1028, -926, -983]",2.523735349997878,-115108290991110209020750102809260983,14,0,2.4829665983561426,0.0
14,"[-1150, -845, -938, -951, -844, -668, -847, -898, -905]",2.911523560062051,-115008450938095108440668084708980905,15,0,2.867664214456454,0.0
15,"[-1149, -863, -980, -1064, -878, -775, -949, -875, -971]",3.426947760162875,-114908630980106408780775094908750971,16,0,3.3796471222303808,0.0
16,"[-1145, -825, -959, -1067, -887, -824, -1030, -910, -985]",3.9506656350567937,-114508250959106708870824103009100985,17,0,3.9002679341938347,0.0
17,"[-1144, -905, -1014, -1202, -1020, -750, -1071, -862, -1037]",4.252756210044026,-114409051014120210200750107108621037,18,0,4.1989939322229475,0.0
18,"[-1144, -780, -1003, -1160, -866, -775, -971, -842, -982]",4.687448109034449,-114407801003116008660775097108420982,19,0,4.630619349190965,0.0
19,"[-1142, -874, -899, -1026, -869, -724, -935, -918, -957]",5.21995037002489,-114208740899102608690724093509180957,20,0,5.159829954151064,0.0
20,"[-1141, -893, -997, -1150, -907, -751, -966, -849, -1006]",5.733970633009449,-114108930997115009070751096608491006,21,0,5.670727073214948,0.0
21,"[-1141, -892, -941, -1139, -903, -831, -1037, -895, -1023]",6.249509320128709,-114108920941113909030831103708951023,22,0,6.180893388111144,0.0
22,"[-1141, -763, -1014, -1068, -971, -791, -981, -810, -907]",7.30440087011084,-114107631014106809710791098108100907,23,0,7.232621520990506,0.0
23,"[-1140, -769, -960, -925, -825, -674, -923, -940, -896]",8.865577379008755,-114007690960092508250674092309400896,24,0,8.79055763897486,0.0
24,"[-1139, -787, -1002, -1038, -859, -781, -1025, -917, -962]",9.585206234129146,-113907871002103808590781102509170962,25,0,9.506983757019043,0.0
25,"[-1138, -867, -882, -1080, -989, -813, -1052, -746, -915]",10.290785086108372,-113808670882108009890813105207460915,26,0,10.2092792741023,0.0
26,"[-1138, -812, -959, -1099, -950, -785, -986, -827, -926]",11.227926993975416,-113808120959109909500785098608270926,27,0,11.143287796061486,0.0
27,"[-1138, -719, -957, -997, -939, -786, -1024, -856, -970]",12.650452082045376,-113807190957099709390786102408560970,28,0,12.562589380890131,0.0
28,"[-1137, -867, -900, -1120, -1050, -760, -995, -795, -898]",13.466705325990915,-113708670900112010500760099507950898,29,0,13.37564894091338,0.0
29,"[-1137, -776, -933, -1028, -948, -763, -1044, -864, -969]",15.348769564181566,-113707760933102809480763104408640969,30,0,15.254500028910115,0.0
30,"[-1136, -855, -956, -1019, -856, -658, -924, -942, -964]",16.519824956078082,-113608550956101908560658092409420964,31,0,16.42240958986804,0.0
31,"[-1136, -842, -889, -1047, -949, -831, -1051, -891, -970]",18.379440722055733,-113608420889104709490831105108910970,32,0,18.278722147922963,0.0
32,"[-1136, -837, -998, -1008, -845, -601, -859, -879, -917]",19.328745434060693,-113608370998100808450601085908790917,33,0,19.2248038679827,0.0
33,"[-1136, -709, -960, -1018, -901, -763, -931, -812, -1000]",22.16170429601334,-113607090960101809010763093108121000,34,0,22.05455214995891,0.0
34,"[-1135, -855, -1040, -1121, -879, -708, -961, -856, -983]",23.257595820119604,-113508551040112108790708096108560983,35,0,23.147243136074394,0.0
35,"[-1134, -864, -944, -1127, -968, -877, -1126, -857, -963]",24.563568516168743,-113408640944112709680877112608570963,36,0,24.4500258511398,0.0
36,"[-1134, -829, -1036, -1176, -1001, -756, -1147, -904, -1028]",26.056068307021633,-113408291036117610010756114709041028,37,0,25.93931353604421,0.0
37,"[-1134, -786, -939, -1069, -955, -793, -1031, -841, -1008]",28.19862678507343,-113407860939106909550793103108411008,38,0,28.078571872087196,0.0
38,"[-1134, -764, -980, -1039, -937, -887, -976, -849, -947]",30.145500435028225,-113407640980103909370887097608490947,39,0,30.02229291223921,0.0
39,"[-1133, -864, -962, -1167, -1029, -824, -1069, -906, -946]",31.327007312094793,-113308640962116710290824106909060946,40,0,31.200461603235453,0.0
40,"[-1133, -845, -983, -1025, -943, -674, -966, -876, -950]",33.227661898126826,-113308450983102509430674096608760950,41,0,33.09793867310509,0.0
41,"[-1133, -843, -915, -1100, -964, -770, -1051, -849, -1007]",35.48117882711813,-113308430915110009640770105108491007,42,0,35.348159512272105,0.0
42,"[-1132, -910, -927, -1130, -969, -758, -987, -830, -991]",37.2968978760764,-113209100927113009690758098708300991,43,0,37.16068643145263,0.0
43,"[-1132, -854, -947, -1148, -930, -854, -1033, -813, -993]",38.942397605162114,-113208540947114809300854103308130993,44,0,38.80292417248711,0.0
44,"[-1132, -842, -1015, -1101, -995, -837, -1005, -832, -938]",41.24665709701367,-113208421015110109950837100508320938,45,0,41.10400767461397,0.0
45,"[-1132, -841, -959, -1090, -991, -917, -1076, -878, -955]",43.81608069408685,-113208410959109009910917107608780955,46,0,43.67021672264673,0.0
46,"[-1131, -854, -965, -1188, -991, -801, -976, -862, -976]",46.20569723797962,-113108540965118809910801097608620976,47,0,46.05669688549824,0.0
47,"[-1131, -817, -1019, -1124, -888, -757, -1042, -891, -997]",48.36788641195744,-113108171019112408880757104208910997,48,0,48.215617418522015,0.0
48,"[-1131, -813, -925, -1070, -916, -881, -981, -866, -966]",50.67243841197342,-113108130925107009160881098108660966,49,0,50.51698229066096,0.0
49,"[-1130, -932, -982, -1210, -988, -804, -1062, -796, -984]",52.23130068415776,-113009320982121009880804106207960984,50,0,52.0725842656102,0.0
50,"[-1130, -931, -926, -1199, -984, -884, -1133, -842, -1001]",53.92579962313175,-113009310926119909840884113308421001,51,0,53.763979027513415,0.0
51,"[-1130, -836, -1051, -1150, -1043, -808, -1017, -791, -1012]",56.406851849053055,-113008361051115010430808101707911012,52,0,56.241749588632956,0.0
52,"[-1130, -832, -1018, -1122, -957, -814, -912, -788, -968]",58.62557914596982,-113008321018112209570814091207880968,53,0,58.45736780553125,0.0
53,"[-1130, -831, -962, -1111, -953, -894, -983, -834, -985]",61.71503631118685,-113008310962111109530894098308340985,54,0,61.543550048489124,0.0
54,"[-1130, -749, -974, -1083, -968, -762, -1041, -830, -1005]",64.69244443904608,-113007490974108309680762104108301005,55,0,64.51776990527287,0.0
55,"[-1129, -932, -1000, -1250, -1049, -751, -1005, -845, -967]",66.03891226812266,-112909321000125010490751100508450967,56,0,65.86096022021957,0.0
56,"[-1129, -931, -944, -1239, -1045, -831, -1076, -891, -984]",68.47453968808986,-112909310944123910450831107608910984,57,0,68.2934906121809,0.0
57,"[-1129, -891, -960, -1132, -974, -831, -1010, -849, -957]",71.49896722403355,-112908910960113209740831101008490957,58,0,71.31462405528873,0.0
58,"[-1129, -890, -904, -1121, -970, -911, -1081, -895, -974]",73.28147799009457,-112908900904112109700911108108950974,59,0,73.09392830426805,0.0
59,"[-1129, -815, -930, -1102, -969, -830, -1048, -857, -1006]",76.32018479797989,-112908150930110209690830104808571006,60,0,76.12943157134578,0.0
60,"[-1129, -807, -962, -1028, -952, -723, -1047, -911, -964]",80.7589985539671,-112908070962102809520723104709110964,61,0,80.56508803344332,0.0
61,"[-1128, -909, -997, -1173, -1011, -844, -1012, -817, -976]",82.4488909530919,-112809090997117310110844101208170976,62,0,82.25176961044781,0.0
62,"[-1128, -907, -989, -1177, -948, -822, -1061, -941, -1039]",84.52242399100214,-112809070989117709480822106109411039,63,0,84.3221598265227,0.0
63,"[-1128, -872, -906, -1133, -978, -807, -1068, -865, -1005]",87.37068929313682,-112808720906113309780807106808651005,64,0,87.16703212470748,0.0
64,"[-1128, -804, -994, -1104, -1004, -886, -1086, -867, -952]",90.47908589197323,-112808040994110410040886108608670952,65,0,90.2720771767199,0.0
65,"[-1127, -885, -996, -1181, -1022, -802, -1022, -808, -1031]",92.93169769598171,-112708850996118110220802102208081031,66,0,92.72141227172688,0.0
66,"[-1127, -870, -950, -1123, -1005, -954, -1093, -894, -953]",96.69422955415212,-112708700950112310050954109308940953,67,0,96.48074640869163,0.0
67,"[-1126, -794, -997, -1125, -966, -863, -993, -823, -982]",99.82406761706807,-112607940997112509660863099308230982,68,0,99.60740472655743,0.0
68,"[-1125, -958, -942, -1204, -990, -838, -1017, -834, -995]",101.70622748299502,-112509580942120409900838101708340995,69,0,101.48639744753018,0.0
69,"[-1125, -874, -944, -1100, -968, -730, -1054, -896, -1002]",105.5885057861451,-112508740944110009680730105408961002,70,0,105.36546804872341,0.0
70,"[-1125, -853, -939, -1135, -983, -880, -1091, -884, -971]",109.93447753204964,-112508530939113509830880109108840971,71,0,109.70828506862745,0.0
71,"[-1125, -831, -1003, -1176, -1076, -822, -1090, -817, -986]",113.24124623509124,-112508311003117610760822109008170986,72,0,113.01183542562649,0.0
72,"[-1125, -770, -946, -989, -928, -788, -1075, -909, -961]",117.93492117803544,-112507700946098909280788107509090961,73,0,117.70228699361905,0.0
73,"[-1125, -765, -989, -1043, -899, -863, -971, -889, -909]",121.81936288205907,-112507650989104308990863097108890909,74,0,121.5835162976291,0.0
74,"[-1124, -974, -971, -1249, -964, -829, -1068, -926, -1077]",123.36028556409292,-112409740971124909640829106809261077,75,0,123.12124345544726,0.0
75,"[-1124, -919, -895, -1154, -984, -948, -1098, -911, -972]",126.03641289100051,-112409190895115409840948109809110972,76,0,125.79412890132517,0.0
76,"[-1124, -894, -1025, -1181, -960, -761, -1057, -803, -961]",129.34347175713629,-112408941025118109600761105708030961,77,0,129.09813193627633,0.0
77,"[-1124, -873, -1044, -1101, -999, -797, -1008, -879, -933]",134.49674129509367,-112408731044110109990797100808790933,78,0,134.2481903291773,0.0
78,"[-1124, -872, -1032, -1187, -1024, -813, -1022, -806, -973]",138.35273968218826,-112408721032118710240813102208060973,79,0,138.1011127072852,0.0
79,"[-1124, -871, -976, -1176, -1020, -893, -1093, -852, -990]",141.8077795431018,-112408710976117610200893109308520990,80,0,141.55289722024463,0.0
80,"[-1124, -827, -922, -1020, -937, -765, -1095, -917, -960]",148.4861036511138,-112408270922102009370765109509170960,81,0,148.22809912543744,0.0
81,"[-1123, -938, -988, -1206, -1025, -881, -1029, -833, -974]",151.91812907811254,-112309380988120610250881102908330974,82,0,151.6568368964363,0.0
82,"[-1123, -894, -1043, -1221, -1021, -708, -1000, -852, -944]",155.43565777200274,-112308941043122110210708100008520944,83,0,155.1712641713675,0.0
83,"[-1123, -855, -956, -1152, -892, -830, -1028, -853, -955]",160.2378428389784,-112308550956115208920830102808530955,84,0,159.97015866823494,0.0
84,"[-1123, -843, -942, -1156, -945, -857, -998, -840, -1001]",167.06288269604556,-112308430942115609450857099808401001,85,0,166.79205093812197,0.0
85,"[-1123, -769, -1005, -999, -924, -680, -1042, -918, -941]",172.4662948329933,-112307691005099909240680104209180941,86,0,172.1922148100566,0.0
86,"[-1122, -890, -1054, -1166, -998, -778, -1001, -841, -983]",175.0457681689877,-112208901054116609980778100108410983,87,0,174.76848773402162,0.0
87,"[-1122, -880, -948, -1207, -1055, -816, -1095, -834, -1005]",180.85216881497763,-112208800948120710550816109508341005,88,0,180.57149048801512,0.0
88,"[-1122, -855, -974, -1192, -953, -777, -971, -902, -938]",184.98099448601715,-112208550974119209530777097109020938,89,0,184.69721804512665,0.0
89,"[-1122, -814, -934, -1074, -878, -857, -976, -906, -928]",192.06123497406952,-112208140934107408780857097609060928,90,0,191.77428114414215,0.0
90,"[-1122, -766, -1037, -1075, -976, -843, -1081, -874, -929]",196.31375356717035,-112207661037107509760843108108740929,91,0,196.02360924519598,0.0
91,"[-1121, -922, -989, -1132, -978, -791, -1013, -896, -952]",199.50036743516102,-112109220989113209780791101308960952,92,0,199.20688619208522,0.0
92,"[-1121, -921, -977, -1218, -1003, -807, -1027, -823, -992]",202.2702654870227,-112109210977121810030807102708230992,93,0,201.97366102598608,0.0
93,"[-1121, -920, -921, -1207, -999, -887, -1098, -869, -1009]",205.4031651201658,-112109200921120709990887109808691009,94,0,205.10331242484972,0.0
94,"[-1121, -833, -1027, -1126, -919, -790, -907, -828, -930]",209.933875648072,-112108331027112609190790090708280930,95,0,209.63088132091798,0.0
95,"[-1121, -832, -971, -1115, -915, -870, -978, -874, -947]",216.81459349999204,-112108320971111509150870097808740947,96,0,216.50830225995742,0.0
96,"[-1121, -828, -898, -1081, -1064, -865, -1050, -763, -872]",222.7128286859952,-112108280898108110640865105007630872,97,0,222.40336409281008,0.0
97,"[-1120, -987, -933, -1237, -1004, -875, -1034, -850, -993]",227.0721793761477,-112009870933123710040875103408500993,98,0,226.759543024702,0.0
98,"[-1120, -894, -904, -1092, -953, -772, -1102, -902, -998]",232.1467634041328,-112008940904109209530772110209020998,99,0,231.83097676862963,0.0
99,"[-1120, -856, -1004, -1184, -969, -810, -1138, -838, -975]",236.78018190618604,-112008561004118409690810113808380975,100,0,236.46116720465943,0.0
100,END,236.7833598770667,,100,1,236.46116720465943,1.8428545445203781e-06
