,solution,time,obj value,solve_calls_sat,solve_calls_unsat,time_solve_sat,time_solve_unsat
0,"[-15, 366, 17]",0.3940995849989122,-1463383,1,0,0.394100621000689,0.0
1,"[-15, 367, 16]",0.7076236739958404,-1463284,2,0,0.7074946119973902,0.0
2,"[-14, 331, 17]",1.4046439889934845,-1366883,3,1,1.2647443109963206,0.13953983100509504
3,"[-14, 338, 16]",1.8107983549998607,-1366184,4,1,1.6707496910021291,0.13953983100509504
4,"[-14, 350, 15]",2.197158683993621,-1364985,5,1,2.056854772999941,0.13953983100509504
5,"[-14, 369, 14]",2.4598625949947746,-1363086,6,1,2.319363284004794,0.13953983100509504
6,"[-13, 291, 18]",4.867700062997756,-1270882,7,2,4.522603507000895,0.3437985410055262
7,"[-13, 292, 17]",5.210524392998195,-1270783,8,2,4.865179014006571,0.3437985410055262
8,"[-13, 301, 16]",5.82021495999652,-1269884,9,2,5.4746489170065615,0.3437985410055262
9,"[-13, 315, 15]",6.382704363997618,-1268485,10,2,6.036931578011718,0.3437985410055262
10,"[-13, 333, 14]",6.8112042029970326,-1266686,11,2,6.465226979009458,0.3437985410055262
11,"[-13, 356, 13]",7.109958429995459,-1264387,12,2,6.763748999008385,0.3437985410055262
12,"[-12, 268, 16]",12.63048596099543,-1173184,13,3,12.019189668004401,0.6084326190102729
13,"[-12, 273, 15]",13.233371639995312,-1172685,14,3,12.621860341008869,0.6084326190102729
14,"[-12, 279, 14]",14.012825395999243,-1172086,15,3,13.401101147013833,0.6084326190102729
15,"[-12, 315, 13]",14.52552681999805,-1168487,16,3,13.913583649009524,0.6084326190102729
16,"[-12, 347, 12]",14.833810042997357,-1165288,17,3,14.221643481010688,0.6084326190102729
17,"[-11, 236, 18]",20.970652351999888,-1076382,18,4,20.084437630008324,0.8819442610038095
18,"[-11, 237, 17]",22.405804755995632,-1076283,19,4,21.519295926009363,0.8819442610038095
19,"[-11, 249, 16]",24.321106333998614,-1075084,20,4,23.434332968005037,0.8819442610038095
20,"[-11, 252, 15]",26.282290908995492,-1074785,21,4,25.39524033100315,0.8819442610038095
21,"[-11, 262, 14]",28.30806095799926,-1073786,22,4,27.420699763999437,0.8819442610038095
22,"[-11, 272, 13]",29.40771570299694,-1072787,23,4,28.5200685230011,0.8819442610038095
23,"[-11, 313, 12]",30.258518695998646,-1068688,24,4,29.370587603996682,0.8819442610038095
24,"[-11, 356, 11]",30.68217772999924,-1064389,25,4,29.79395287999796,0.8819442610038095
25,"[-10, 184, 18]",39.927575297995645,-981582,26,5,38.482873717992334,1.437653818000399
26,"[-10, 186, 17]",40.718812169994635,-981383,27,5,39.273806067991245,1.437653818000399
27,"[-10, 199, 16]",41.99071241499769,-980084,28,5,40.545382380987576,1.437653818000399
28,"[-10, 207, 15]",43.76919185099541,-979285,29,5,42.32352178099245,1.437653818000399
29,"[-10, 214, 14]",45.59528825999587,-978586,30,5,44.14928473999316,1.437653818000399
30,"[-10, 251, 13]",48.31551825199858,-974887,31,5,46.869141989991476,1.437653818000399
31,"[-10, 276, 12]",50.31162140399829,-972388,32,5,48.86485039599211,1.437653818000399
32,"[-10, 319, 11]",51.14458318799734,-968089,33,5,49.69744931899186,1.437653818000399
33,"[-10, 361, 10]",51.77444317699701,-963890,34,5,50.32696376898821,1.437653818000399
34,"[-9, 155, 16]",60.73948132700025,-884484,35,6,58.49470369498886,2.2339744060009252
35,"[-9, 161, 15]",61.7738097659967,-883885,36,6,59.528674334986135,2.2339744060009252
36,"[-9, 167, 14]",62.83371399299358,-883286,37,6,60.58820911699149,2.2339744060009252
37,"[-9, 196, 13]",64.21721871099726,-880387,38,6,61.971328970990726,2.2339744060009252
38,"[-9, 217, 12]",66.18096878499637,-878288,39,6,63.93469913399167,2.2339744060009252
39,"[-9, 246, 11]",67.35736659199756,-875389,40,6,65.11069376498926,2.2339744060009252
40,"[-9, 297, 10]",68.24099193999427,-870290,41,6,65.99392455398629,2.2339744060009252
41,"[-8, 121, 15]",78.66562733699539,-787885,42,7,75.70958555898687,2.9419732289970852
42,"[-8, 127, 14]",79.16809670499788,-787286,43,7,76.21156164498825,2.9419732289970852
43,"[-8, 141, 13]",79.97367076599767,-785887,44,7,77.01663074798853,2.9419732289970852
44,"[-8, 161, 12]",81.10229001999687,-783888,45,7,78.14481445498677,2.9419732289970852
45,"[-8, 189, 11]",82.37321259599412,-781089,46,7,79.41533294298279,2.9419732289970852
46,"[-8, 209, 10]",83.22111030899396,-779090,47,7,80.26282166198507,2.9419732289970852
47,"[-8, 213, 9]",83.80146698299359,-778691,48,7,80.84258705298271,2.9419732289970852
48,"[-8, 222, 8]",84.90293345700047,-777792,49,7,81.94361006498366,2.9419732289970852
49,"[-7, 109, 17]",101.48253258899786,-689083,50,8,97.21721943898592,4.246607092994964
50,"[-7, 110, 16]",101.98241504299949,-688984,51,8,97.71664961599163,4.246607092994964
51,"[-7, 112, 15]",103.1666933919987,-688785,52,8,98.9004474379908,4.246607092994964
52,"[-7, 115, 14]",104.39930746000027,-688486,53,8,100.13258288399084,4.246607092994964
53,"[-7, 121, 13]",105.54567005799618,-687887,54,8,101.27837847098999,4.246607092994964
54,"[-7, 130, 12]",107.23469097299676,-686988,55,8,102.9668979979906,4.246607092994964
