,solution,time,obj value,solve_calls_sat,solve_calls_unsat,time_solve_sat,time_solve_unsat
0,"[-15, 366, 18]",0.7393850274384022,-1463382,1,0,0.7393849859945476,0.0
1,"[-15, 378, 17]",2.138372514396906,-1462183,2,0,2.137198896612972,0.0
2,"[-14, 289, 18]",4.063640460371971,-1371082,3,0,4.061331351287663,0.0
3,"[-14, 292, 17]",6.134383826050907,-1370783,4,0,6.130513388197869,0.0
4,"[-14, 301, 16]",8.367201635148376,-1369884,5,0,8.362107128370553,0.0
5,"[-14, 321, 15]",10.701720650307834,-1367885,6,0,10.684631031472236,0.0
6,"[-14, 369, 14]",13.944747674278915,-1363086,7,0,13.92646654509008,0.0
7,"[-13, 265, 18]",21.339261987246573,-1273482,8,0,21.319573514163494,0.0
8,"[-13, 270, 17]",26.581635209266096,-1272983,9,0,26.56033082306385,0.0
9,"[-13, 273, 16]",31.833721784409136,-1272684,10,0,31.81094243004918,0.0
10,"[-13, 284, 15]",38.77604231517762,-1271585,11,0,38.74006897304207,0.0
11,"[-13, 295, 14]",50.77363169007003,-1270486,12,0,50.660856150090694,0.0
12,"[-13, 307, 13]",57.589543278329074,-1269287,13,0,57.45697145909071,0.0
13,"[-13, 334, 12]",66.98831472406164,-1266588,14,0,66.85417266888544,0.0
14,"[-12, 228, 16]",78.28194042434916,-1177184,15,0,78.14627731079236,0.0
15,"[-12, 231, 15]",93.27511835517362,-1176885,16,0,93.13798588793725,0.0
16,"[-12, 241, 14]",106.66463358234614,-1175886,17,0,106.52567116590217,0.0
17,"[-12, 261, 13]",123.50331530533731,-1173887,18,0,123.36130448710173,0.0
18,"[-12, 290, 12]",139.55848522437736,-1170988,19,0,139.41490128589794,0.0
19,"[-12, 351, 11]",165.2021877602674,-1164889,20,0,165.02678292570636,0.0
20,"[-11, 201, 17]",182.56259404029697,-1079883,21,0,182.38567864755169,0.0
21,"[-11, 204, 16]",206.04182299040258,-1079584,22,0,205.86277565173805,0.0
22,"[-11, 209, 15]",226.29530162038282,-1079085,23,0,226.11469820979983,0.0
23,"[-11, 221, 14]",244.1392134660855,-1077886,24,0,243.95706031657755,0.0
24,"[-11, 241, 13]",263.1921192621812,-1075887,25,0,263.006658969447,0.0
25,"[-11, 256, 12]",292.5175080220215,-1074388,26,0,292.33046602038667,0.0
26,"[-11, 274, 11]",317.07251503737643,-1072589,27,0,316.8830995275639,0.0
27,"[-11, 329, 10]",341.00359599944204,-1067090,28,0,340.7344215689227,0.0
28,"[-10, 148, 17]",383.42928502429277,-985183,29,0,383.1585336429998,0.0
29,"[-10, 153, 16]",411.6309432950802,-984684,30,0,411.3586428752169,0.0
30,"[-10, 162, 15]",444.6155626033433,-983785,31,0,444.341674038209,0.0
31,"[-10, 175, 14]",476.24575818516314,-982486,32,0,475.9701856360771,0.0
32,"[-10, 179, 13]",507.04473500931635,-982087,33,0,506.5438914168626,0.0
33,"[-10, 196, 12]",537.8595219003037,-980388,34,0,537.3571362709627,0.0
34,"[-10, 230, 11]",570.4383886591531,-976989,35,0,569.8555019758642,0.0
35,"[-10, 285, 10]",611.2511799270287,-971490,36,0,610.5383677398786,0.0
36,"[-9, 119, 16]",667.0680485293269,-888084,37,0,666.3512750579976,0.0
37,"[-9, 122, 15]",702.2948837741278,-887785,38,0,701.525879485067,0.0
38,"[-9, 127, 14]",737.3833074253052,-887286,39,0,736.5365638020448,0.0
39,"[-9, 137, 13]",779.4512425493449,-886287,40,0,778.6029292652383,0.0
40,"[-9, 159, 12]",826.4281598203816,-884088,41,0,825.5560498451814,0.0
41,"[-9, 201, 11]",871.4191087600775,-879889,42,0,870.491477700416,0.0
42,"[-9, 217, 10]",909.2446427750401,-878290,43,0,908.2549414215609,0.0
43,"[-9, 253, 9]",961.7301170811988,-874691,44,0,960.5976122203283,0.0
