,solution,time,obj value,solve_calls_sat,solve_calls_unsat,time_solve_sat,time_solve_unsat
0,"[-15, 302, 17]",3.636670911218971,-1469783,5,0,3.6366509911604226,0
1,"[-14, 275, 17]",4.65733950631693,-1372483,6,0,4.656938714906573,0
2,"[-15, 308, 16]",4.953031700104475,-1469184,7,0,4.952389935031533,0
3,"[-15, 316, 15]",5.292346807196736,-1468385,8,0,5.291433200240135,0
4,"[-13, 227, 17]",6.16562489932403,-1277283,9,0,6.164416521321982,0
5,"[-15, 352, 14]",6.514811143279076,-1464786,10,0,6.513172795064747,0
6,"[-14, 302, 14]",7.433502835221589,-1369786,11,0,7.431482994928956,0
7,"[-14, 278, 16]",8.225877742283046,-1372184,12,0,8.22353974590078,0
8,"[-14, 346, 13]",9.03746544988826,-1365387,13,0,9.034742514137179,0
9,"[-14, 284, 15]",9.937563112936914,-1371585,14,0,9.934453499503434,0
10,"[-13, 352, 12]",10.52534649707377,-1264788,15,0,10.521825219504535,0
11,"[-13, 312, 13]",11.788666405249387,-1268787,16,0,11.78469813754782,0
12,"[-12, 187, 18]",13.464227152056992,-1181282,17,0,13.459793888498098,0
13,"[-13, 230, 16]",14.294681548140943,-1276984,18,0,14.289751900359988,0
14,"[-12, 266, 12]",15.835052242968231,-1173388,19,0,15.829610367305577,0
15,"[-13, 238, 15]",16.73801535507664,-1276185,20,0,16.732040480244905,0
16,"[-13, 256, 14]",18.657604080159217,-1274386,22,0,18.650872277561575,0
17,"[-12, 323, 11]",19.188868208322674,-1167689,23,0,19.181589943356812,0
18,"[-12, 246, 13]",20.856332547031343,-1175387,24,0,20.848463954403996,0
19,"[-11, 262, 10]",25.64334179321304,-1073790,28,0,25.634053070563823,0
20,"[-12, 188, 17]",26.943014300893992,-1181183,29,0,26.933140242937952,0
21,"[-11, 134, 16]",28.028485449030995,-1086584,30,0,28.018002731725574,0
22,"[-12, 192, 16]",28.927707870025188,-1180784,31,0,28.916598767973483,0
23,"[-11, 186, 11]",30.862046771217138,-1081389,33,0,30.849884047172964,0
24,"[-12, 227, 14]",32.338852959219366,-1177286,34,0,32.32594605628401,0
25,"[-12, 206, 15]",36.798537066206336,-1179385,37,0,36.78413605503738,0
26,"[-10, 203, 9]",37.54525292199105,-979691,38,0,37.53012461680919,0
27,"[-11, 155, 12]",39.7878961940296,-1084488,40,0,39.77152848569676,0
28,"[-11, 145, 13]",41.29519928712398,-1085487,42,0,41.27680599549785,0
29,"[-11, 140, 14]",42.11507482128218,-1085986,43,0,42.09584149438888,0
30,"[-10, 260, 8]",43.66084329597652,-973992,45,0,43.64043931476772,0
31,"[-11, 137, 15]",45.971861908212304,-1086285,48,0,45.94961304962635,0
32,"[-8, 147, 7]",53.79021715000272,-785293,59,0,53.76261131512001,0
33,"[-10, 165, 10]",55.01561379106715,-983490,60,0,54.98690950637683,0
34,"[-10, 121, 18]",57.885028732940555,-987882,62,0,57.855031171347946,0
35,"[-7, 165, 6]",58.477857851888984,-683494,63,0,58.447141324635595,0
36,"[-9, 104, 14]",59.43830824131146,-889586,64,0,59.40673674363643,0
37,"[-10, 122, 14]",60.64919479796663,-987786,65,0,60.61681338539347,0
38,"[-9, 219, 8]",61.53523961594328,-878092,66,0,61.502038506325334,0
39,"[-5, 160, 5]",63.38251892896369,-483995,68,0,63.3479361073114,0
40,"[-10, 152, 11]",64.57944707525894,-984789,69,0,64.54359067464247,0
41,"[-8, 89, 14]",70.64407147327438,-791086,74,0,70.60472156852484,0
42,"[-9, 169, 9]",73.56834221631289,-883091,76,0,73.52739371731877,0
43,"[-10, 124, 13]",74.73270405409858,-987587,77,0,74.6907648993656,0
44,"[-10, 131, 12]",78.273332959041,-986888,80,0,78.22903481917456,0
45,"[-8, 140, 8]",80.86624622996897,-785992,82,0,80.82019697222859,0
46,"[-7, 81, 14]",83.79755577631295,-691886,84,0,83.74985886923969,0
47,"[-3, 143, 4]",84.28409547312185,-285696,85,0,84.23544122697785,0
48,"[-9, 116, 11]",85.52909331722185,-888389,86,0,85.47923253290355,0
49,"[-9, 126, 10]",86.96078182710335,-887390,87,0,86.90974851185456,0
50,"[-9, 106, 13]",91.70910803694278,-889387,91,0,91.65445004217327,0
51,"[-9, 108, 12]",94.92931947018951,-889188,94,0,94.87190479692072,0
52,"[-6, 76, 13]",98.6328852889128,-592387,96,0,98.5735302940011,0
53,"[-8, 126, 9]",100.41525249322876,-787391,97,0,100.35480811307207,0
54,"[-5, 66, 18]",114.89565926697105,-493382,107,0,114.8267739159055,0
55,"[-1, 25, 3]",115.3231937061064,-97497,108,0,115.25324119674042,0
56,"[-8, 92, 13]",116.63321729609743,-790787,109,0,116.56147077679634,0
57,"[-8, 96, 12]",119.59060287801549,-790388,111,0,119.5167980119586,0
58,"[-8, 108, 11]",121.66646860912442,-789189,112,0,121.59140496794134,0
59,"[-8, 117, 10]",123.67304793698713,-788290,113,0,123.59575307089835,0
60,"[-4, 55, 18]",129.6226802971214,-394482,116,0,129.54217517469078,0
61,"[-5, 70, 13]",134.03244202630594,-492987,118,0,133.94972423883155,0
62,"[-7, 93, 11]",136.38751360820606,-690689,119,0,136.3034183550626,0
63,"[-7, 82, 13]",143.3370166681707,-691787,122,0,143.248936180491,0
64,"[-7, 95, 10]",147.5012650359422,-690490,124,0,147.41079822648317,0
65,"[-7, 96, 9]",150.951753616333,-690391,126,0,150.858446943108,0
66,"[-7, 101, 8]",152.49533523712307,-689892,127,0,152.40045064827427,0
67,"[-4, 61, 17]",156.33100679330528,-393883,129,0,156.2334285150282,0
68,"[-7, 85, 12]",160.70049923704937,-691488,131,0,160.60043135192245,0
69,"[-4, 63, 12]",171.75242517190054,-393688,137,0,171.64522862713784,0
70,"[-7, 132, 7]",176.99944865191355,-686793,140,0,176.88793080160394,0
71,"[-6, 150, 6]",178.84254463529214,-584994,142,0,178.72811784828082,0
72,"[-3, 47, 17]",181.0773627879098,-295283,144,0,180.96020853426307,0
73,"[0, 0, 0]",184.15997902397066,0,146,0,184.0402675876394,0
74,"[-6, 83, 9]",189.4709430411458,-591691,149,0,189.3474444951862,0
75,"[-6, 78, 12]",197.28933653514832,-592188,152,0,197.16261840146035,0
76,"[-3, 48, 12]",205.87273962888867,-295188,156,0,205.7418391853571,0
77,"[-6, 99, 7]",207.32074049208313,-590093,157,0,207.1883331942372,0
78,"[-5, 111, 6]",211.71580027695745,-488894,161,0,211.5784564167261,0
79,"[-5, 73, 12]",219.6563670472242,-492688,165,0,219.51516185654327,0
80,"[-5, 76, 11]",225.1812423891388,-492389,167,0,225.03790731541812,0
