,solution,time,obj value,solve_calls_sat,solve_calls_unsat,time_solve_sat,time_solve_unsat
0,"[-15, 182, 15]",1.349546856014058,-1481785,4,0,1.7155555740464479,0
1,"[-14, 160, 14]",1.8157330409158021,-1383986,5,0,2.8580363621003926,0
2,"[-15, 183, 14]",1.9780006820801646,-1481686,6,0,4.162784539163113,0
3,"[-13, 140, 15]",2.9484140719287097,-1285985,8,0,8.124285092111677,0
4,"[-12, 130, 13]",3.6694273611065,-1186987,9,0,11.12046026904136,0
5,"[-13, 141, 14]",4.231779916910455,-1285886,10,0,14.678988202940673,0
6,"[-15, 187, 13]",5.1866409298963845,-1481287,12,0,23.57397302193567,0
7,"[-14, 170, 13]",5.628303480101749,-1382987,13,0,28.52902423287742,0
8,"[-13, 143, 13]",6.142841641092673,-1285687,14,0,33.99861331493594,0
9,"[-11, 121, 13]",8.87154647312127,-1087887,16,0,48.38151473784819,0
10,"[-10, 101, 15]",9.897634010063484,-989885,17,0,57.605896482942626,0
11,"[-9, 92, 15]",11.41041651996784,-890785,18,0,68.34306043596007,0
12,"[-8, 85, 14]",12.979189441073686,-791486,19,0,80.64899734198116,0
13,"[-10, 104, 14]",14.438002495095134,-989586,20,0,94.41374757001176,0
14,"[-9, 94, 14]",16.184874535072595,-890586,21,0,109.92536950809881,0
15,"[-7, 66, 10]",18.324716434115544,-693390,23,0,144.7283636131324,0
16,"[-10, 106, 13]",19.987745145102963,-989387,24,0,164.0428562820889,0
17,"[-9, 100, 13]",21.67675113794394,-889987,25,0,185.04635494202375,0
18,"[-8, 88, 13]",23.888482928974554,-791187,26,0,208.26158520393074,0
19,"[-14, 207, 12]",24.564481408102438,-1379288,28,0,255.8616310248617,0
20,"[-13, 176, 12]",25.05519366194494,-1282388,29,0,280.2435724339448,0
21,"[-12, 133, 12]",25.798936008941382,-1186688,30,0,305.3692558610346,0
22,"[-11, 124, 12]",27.0323093670886,-1087588,31,0,331.7283127279952,0
23,"[-10, 117, 12]",29.144120893906802,-988288,32,0,360.199181196047,0
24,"[-9, 103, 12]",30.848805841058493,-889688,33,0,390.3747345150914,0
25,"[-8, 91, 12]",32.386167102027684,-790888,34,0,422.0876494201366,0
26,"[-13, 189, 11]",33.04095035302453,-1281089,36,0,486.6001626010984,0
27,"[-12, 139, 11]",33.628065549070016,-1186089,37,0,519.5549756351393,0
28,"[-11, 127, 11]",34.4571877270937,-1087289,38,0,553.3389108921401,0
29,"[-10, 122, 11]",36.11280025402084,-987789,39,0,588.7784584211186,0
30,"[-9, 106, 11]",37.49290137691423,-889389,40,0,625.5981071561109,0
31,"[-8, 96, 11]",39.339116539107636,-790389,41,0,664.2639710060321,0
32,"[-11, 147, 10]",40.168409439967945,-1085290,43,0,742.9139263229445,0
33,"[-10, 135, 10]",40.96399415493943,-986490,44,0,783.2046679838095,0
34,"[-9, 110, 10]",41.94032504898496,-888990,45,0,824.4717408646829,0
35,"[-8, 100, 10]",43.49254477908835,-789990,46,0,867.291033179732,0
36,"[-6, 57, 10]",44.51869518891908,-594290,48,0,954.4793607795145,0
37,"[-5, 49, 9]",45.04305998189375,-495091,49,0,998.8491682345048,0
38,"[-9, 140, 9]",45.50168183399364,-885991,50,0,1043.6775974615011,0
39,"[-8, 117, 9]",46.47533691604622,-788291,51,0,1089.479682008503,0
40,"[-7, 69, 9]",47.14677340793423,-693091,52,0,1135.9532034695148,0
41,"[-6, 58, 8]",47.621309970039874,-594192,53,0,1182.901260992512,0
42,"[-7, 78, 8]",48.11269018310122,-692192,54,0,1230.3406988095958,0
43,"[-4, 39, 11]",49.382726843003184,-396089,57,0,1375.1544468456414,0
44,"[-3, 24, 4]",49.57014826592058,-297596,58,0,1424.0513425725512,0
45,"[-4, 40, 9]",50.008114834083244,-395991,59,0,1473.3862047966104,0
46,"[-5, 50, 8]",50.632734841899946,-494992,61,0,1572.917639869498,0
47,"[-4, 42, 8]",51.25339139695279,-395792,62,0,1623.4977790834382,0
48,"[-6, 61, 7]",52.00696780299768,-593893,64,0,1725.7334310153965,0
49,"[-5, 54, 7]",52.31170280696824,-494593,65,0,1777.3718813653104,0
50,"[-4, 45, 7]",52.78992331190966,-395493,66,0,1829.4885520793032,0
51,"[-5, 59, 6]",53.38103685108945,-494094,68,0,1934.622137162136,0
52,"[-4, 48, 6]",53.649366145953536,-395194,69,0,1987.5982507911976,0
53,"[-4, 49, 5]",54.187221486121416,-395095,71,0,2094.4056780242827,0
54,"[-2, 21, 3]",54.80759006598964,-197897,74,0,2256.2816320462152,0
55,"[-1, 9, 2]",55.047913677059114,-99098,76,0,2364.9091223110445,0
56,"[0, 0, 0]",55.2112547820434,0,78,0,2473.930787343066,0
57,END,55.35292586311698,,80,0,2583.2031930410303,0
