,solution,time,obj value,solve_calls_sat,solve_calls_unsat,time_solve_sat,time_solve_unsat
0,"[-15, 296, 18, -1192]",0.8002236252650619,-1470383192,1,0,0.8002226836979389,0.0
1,"[-15, 297, 18, -1194]",2.139880474191159,-1470283194,2,0,1.9744985597208142,0.0
2,"[-15, 298, 18, -1195]",3.5620412649586797,-1470183195,3,0,3.2250945130363107,0.0
3,"[-15, 299, 18, -1214]",4.7640356621705,-1470083214,4,0,4.180306144058704,0.0
4,"[-15, 300, 18, -1223]",5.742464108392596,-1469983223,5,0,5.035668657161295,0.0
5,"[-15, 302, 18, -1228]",6.793192751239985,-1469783228,6,0,5.960194773506373,0.0
6,"[-15, 303, 18, -1240]",7.815853076055646,-1469683240,7,0,6.816194941289723,0.0
7,"[-15, 304, 18, -1245]",9.01659127511084,-1469583245,8,0,7.825991640333086,0.0
8,"[-15, 305, 17, -1206]",9.935844697989523,-1469484206,9,0,8.535015553236008,0.0
9,"[-15, 305, 18, -1247]",11.142968389205635,-1469483247,10,0,9.606141130439937,0.0
10,"[-15, 306, 18, -1254]",12.524758201092482,-1469383254,11,0,10.791915354318917,0.0
11,"[-15, 307, 17, -1219]",13.799043198116124,-1469284219,12,0,11.934004365466535,0.0
12,"[-15, 307, 18, -1256]",15.532253514043987,-1469283256,13,0,13.535241992212832,0.0
13,"[-15, 308, 17, -1225]",16.62808445096016,-1469184225,14,0,14.500377443153411,0.0
14,"[-15, 309, 17, -1230]",18.667161209043115,-1469084230,15,0,16.413439512252808,0.0
15,"[-15, 309, 18, -1264]",20.696964600123465,-1469083264,16,0,18.305514805018902,0.0
16,"[-15, 310, 17, -1240]",22.49873264832422,-1468984240,17,0,19.980553419794887,0.0
17,"[-15, 310, 18, -1266]",24.83812274923548,-1468983266,18,0,22.1940571279265,0.0
18,"[-15, 311, 17, -1250]",26.341351152397692,-1468884250,19,0,23.526251018047333,0.0
19,"[-15, 311, 18, -1272]",28.472376318182796,-1468883272,20,0,25.532106664031744,0.0
20,"[-15, 312, 18, -1280]",31.175321677234024,-1468783280,21,0,28.109310605097562,0.0
21,"[-15, 313, 18, -1282]",34.14844337804243,-1468683282,22,0,30.953657730016857,0.0
22,"[-15, 314, 17, -1260]",36.728712155949324,-1468584260,23,0,33.37504074908793,0.0
23,"[-15, 314, 18, -1286]",41.29804434906691,-1468583286,24,0,37.665158660151064,0.0
24,"[-15, 315, 17, -1262]",43.741343066096306,-1468484262,25,0,39.98088665213436,0.0
25,"[-15, 315, 18, -1288]",48.189578887075186,-1468483288,26,0,44.30302229616791,0.0
26,"[-15, 316, 17, -1270]",50.79287714511156,-1468384270,27,0,46.47822008514777,0.0
27,"[-15, 316, 18, -1293]",57.78564159339294,-1468383293,28,0,53.34451065398753,0.0
28,"[-15, 317, 16, -1197]",60.35184267396107,-1468285197,29,0,55.78282820805907,0.0
29,"[-15, 317, 17, -1272]",63.406320485286415,-1468284272,30,0,58.71178973093629,0.0
30,"[-15, 317, 18, -1298]",68.0223163953051,-1468283298,31,0,63.201066960114986,0.0
31,"[-15, 318, 16, -1210]",70.261943298392,-1468185210,32,0,65.27986439410597,0.0
32,"[-15, 318, 17, -1281]",72.9166853101924,-1468184281,33,0,67.80841497983783,0.0
33,"[-15, 318, 18, -1300]",78.59126995922998,-1468183300,34,0,73.3565365630202,0.0
34,"[-15, 319, 16, -1215]",81.38485205220059,-1468085215,35,0,76.0242386390455,0.0
35,"[-15, 319, 17, -1282]",86.41687045712024,-1468084282,36,0,80.04996701702476,0.0
36,"[-15, 319, 18, -1305]",91.89205197803676,-1468083305,37,0,85.28533054282889,0.0
37,"[-15, 320, 16, -1220]",95.25604150211439,-1467985220,38,0,88.52087327605113,0.0
38,"[-15, 320, 17, -1286]",744.7103768722154,-1467984286,39,0,737.8431007210165,0.0
39,"[-15, 320, 18, -1307]",752.9494808129966,-1467983307,40,0,745.9397911331616,0.0
40,"[-15, 321, 16, -1242]",757.1086797462776,-1467885242,41,0,749.035859588068,0.0
41,"[-15, 321, 17, -1290]",766.8777663102373,-1467884290,42,0,758.2840017993003,0.0
42,"[-15, 321, 18, -1309]",776.9705038019456,-1467883309,43,0,768.2537520565093,0.0
43,"[-15, 322, 17, -1297]",781.3663157243282,-1467784297,44,0,772.5222874982283,0.0
44,"[-15, 322, 18, -1313]",787.9697071933188,-1467783313,45,0,779.0001639183611,0.0
45,"[-15, 323, 16, -1245]",792.7497421680018,-1467685245,46,0,783.4858572455123,0.0
46,"[-15, 323, 18, -1319]",799.135683665052,-1467683319,47,0,789.7445495114662,0.0
47,"[-15, 324, 16, -1251]",802.3903569052927,-1467585251,48,0,792.8730973843485,0.0
48,"[-15, 324, 17, -1306]",812.015129127074,-1467584306,49,0,802.3739312151447,0.0
49,"[-15, 324, 18, -1321]",825.5153675302863,-1467583321,50,0,815.7333873892203,0.0
50,"[-15, 325, 16, -1264]",833.6697055432014,-1467485264,51,0,823.2576449620537,0.0
51,"[-15, 325, 17, -1309]",839.2731952280737,-1467484309,52,0,828.7360942480154,0.0
52,"[-15, 325, 18, -1325]",853.2722080340609,-1467483325,53,0,842.6112069841474,0.0
53,"[-15, 326, 17, -1313]",859.9997872980312,-1467384313,54,0,849.196110881865,0.0
54,"[-15, 326, 18, -1327]",873.31245412305,-1467383327,55,0,862.3768667047843,0.0
55,"[-15, 327, 16, -1268]",880.5070216399617,-1467285268,56,0,869.4460017066449,0.0
56,"[-15, 327, 17, -1317]",887.8351009939797,-1467284317,57,0,876.6472775139846,0.0
57,"[-15, 327, 18, -1335]",900.1314929593354,-1467283335,58,0,888.8153378921561,0.0
58,"[-15, 328, 16, -1273]",908.3132629063912,-1467185273,59,0,896.8409745171666,0.0
59,"[-15, 328, 17, -1318]",920.5157300480641,-1467184318,60,0,908.9166578832082,0.0
60,"[-15, 328, 18, -1337]",934.2464604200795,-1467183337,61,0,922.5173223102465,0.0
61,"[-15, 329, 16, -1276]",939.5161801883951,-1467085276,62,0,927.6453984952532,0.0
62,"[-15, 329, 17, -1325]",954.1428176402114,-1467084325,63,0,940.9125488791615,0.0
63,"[-15, 330, 16, -1284]",961.2303874962963,-1466985284,64,0,947.8747294093482,0.0
64,"[-15, 330, 17, -1326]",975.1146241691895,-1466984326,65,0,961.6109831132926,0.0
65,"[-15, 330, 18, -1343]",994.7997435829602,-1466983343,66,0,981.1712151304819,0.0
66,"[-15, 331, 16, -1288]",1001.2061957120895,-1466885288,67,0,987.4484627977945,0.0
67,"[-15, 331, 17, -1330]",1011.2986817019992,-1466884330,68,0,997.4165927036665,0.0
68,"[-15, 331, 18, -1346]",1024.400661967229,-1466883346,69,0,1010.3951404234394,0.0
69,"[-15, 332, 17, -1337]",1035.0705468789674,-1466784337,70,0,1020.9272463032976,0.0
70,"[-15, 332, 18, -1349]",1056.305027303286,-1466783349,71,0,1041.8730794885196,0.0
71,"[-15, 333, 16, -1296]",1068.5090093831532,-1466685296,72,0,1053.9522728035226,0.0
72,"[-15, 333, 17, -1339]",1081.3336151922122,-1466684339,73,0,1066.6521783145145,0.0
73,"[-15, 333, 18, -1351]",1096.6294625583105,-1466683351,74,0,1081.81417083228,0.0
74,"[-15, 334, 16, -1304]",1105.5808245791122,-1466585304,75,0,1090.6413037502207,0.0
75,"[-15, 334, 17, -1346]",1121.1763530261815,-1466584346,76,0,1106.1070157950744,0.0
76,"[-15, 334, 18, -1354]",1141.583040322177,-1466583354,77,0,1126.3870781022124,0.0
77,"[-15, 335, 17, -1348]",1151.1644014772028,-1466484348,78,0,1135.8424719912,0.0
78,"[-15, 335, 18, -1357]",1177.5547869172879,-1466483357,79,0,1162.0912126959302,0.0
79,"[-15, 336, 16, -1309]",1186.8697779299691,-1466385309,80,0,1171.0723459091969,0.0
80,"[-15, 336, 18, -1360]",1210.5306813251227,-1466383360,81,0,1194.60897868732,0.0
81,"[-15, 337, 16, -1316]",1225.938788919244,-1466285316,82,0,1209.8743107966147,0.0
82,"[-15, 337, 17, -1353]",1245.583370652981,-1466284353,83,0,1229.3909899475984,0.0
83,"[-15, 337, 18, -1362]",1266.8939896700904,-1466283362,84,0,1250.577138159424,0.0
84,"[-15, 338, 17, -1357]",1279.7448210529983,-1466184357,85,0,1263.3017567605712,0.0
85,"[-15, 338, 18, -1364]",1309.9232893483713,-1466183364,86,0,1293.3536631576717,0.0
86,"[-15, 339, 16, -1324]",1324.555177879054,-1466085324,87,0,1307.8618545564823,0.0
87,"[-15, 339, 17, -1359]",1344.1412299061194,-1466084359,88,0,1327.3141631712206,0.0
88,"[-15, 339, 18, -1369]",1373.192070350051,-1466083369,89,0,1353.4181108581834,0.0
89,"[-15, 340, 17, -1363]",1393.9740512450226,-1465984363,90,0,1374.073919055052,0.0
