,solution,time,obj value,solve_calls_sat,solve_calls_unsat,time_solve_sat,time_solve_unsat
0,"[-15, 383, 17, -1096]",1.0847235540859401,-1461684096,1,0,1.0847249231301248,0.0
1,"[-15, 384, 15, -1099]",2.457821666263044,-1461586099,2,1,2.269962175283581,0.18747972790151834
2,"[-15, 385, 15, -1105]",3.6424622051417828,-1461486105,3,2,3.2562408121302724,0.385471872985363
3,"[-15, 385, 17, -1135]",3.8947782358154655,-1461484135,4,2,3.50826811324805,0.385471872985363
4,"[-15, 386, 15, -1115]",5.296245121862739,-1461386115,5,3,4.761482680216432,0.5333431232720613
5,"[-15, 386, 16, -1119]",5.502739667892456,-1461385119,6,3,4.967709508258849,0.5333431232720613
6,"[-15, 387, 15, -1141]",7.825949775055051,-1461286141,7,5,6.605956115294248,1.217357353772968
7,"[-15, 387, 17, -1147]",8.153143782168627,-1461284147,8,5,6.932600853499025,1.217357353772968
8,"[-15, 388, 17, -1157]",9.74746678210795,-1461184157,9,6,8.375761983450502,1.368084268644452
9,"[-15, 389, 15, -1156]",11.040410342160612,-1461086156,10,7,9.508693043608218,1.5275548468343914
10,"[-15, 389, 17, -1164]",11.424204114824533,-1461084164,11,8,9.728738895617425,1.6909025376662612
11,"[-15, 390, 17, -1167]",13.42184813786298,-1460984167,12,9,11.459429956972599,1.9571237717755139
12,"[-15, 391, 15, -1172]",15.28190813306719,-1460886172,13,10,13.091441674157977,2.184241679497063
13,"[-15, 391, 16, -1176]",15.486768365837634,-1460885176,14,10,13.29594745254144,2.184241679497063
14,"[-15, 391, 17, -1177]",15.683096325024962,-1460884177,15,10,13.491956448182464,2.184241679497063
15,"[-15, 392, 15, -1178]",16.82661496521905,-1460786178,16,11,14.465793882030994,2.3533127773553133
16,"[-15, 392, 17, -1188]",17.11296557309106,-1460784188,17,11,14.751746797934175,2.3533127773553133
17,"[-15, 393, 16, -1197]",18.986687100026757,-1460685197,18,12,16.45701551064849,2.5211259690113366
18,"[-15, 394, 14, -1116]",23.061623769812286,-1460587116,19,13,18.951006634626538,4.101175961084664
19,"[-15, 394, 15, -1203]",27.783887355122715,-1460586203,20,14,23.46892227837816,4.304819704033434
20,"[-15, 395, 15, -1208]",28.876847500912845,-1460486208,21,15,24.38761811936274,4.478381052147597
21,"[-15, 396, 16, -1209]",30.26335030514747,-1460385209,22,16,25.574190982151777,4.677687452174723
22,"[-15, 396, 17, -1218]",31.28725288901478,-1460384218,23,16,26.59767155908048,4.677687452174723
23,"[-14, 327, 17, -966]",39.882111865095794,-1367283966,24,18,33.672867444343865,6.196060728281736
24,"[-14, 328, 15, -929]",41.13471196219325,-1367185929,25,19,34.74000248732045,6.380732600111514
25,"[-14, 328, 16, -949]",41.34732581116259,-1367184949,26,19,34.95232803141698,6.380732600111514
26,"[-14, 328, 17, -972]",41.70398101210594,-1367183972,27,20,35.127338672522455,6.561960314400494
27,"[-14, 329, 15, -972]",43.672444890253246,-1367085972,28,21,36.945286019239575,6.7116388734430075
28,"[-14, 329, 17, -973]",43.884918249212205,-1367083973,29,21,37.1573882503435,6.7116388734430075
29,"[-14, 330, 15, -978]",45.498675080016255,-1366985978,30,22,38.58133814157918,6.900398352649063
30,"[-14, 330, 17, -986]",45.688190422952175,-1366983986,31,22,38.770523821003735,6.900398352649063
31,"[-14, 331, 16, -987]",47.16494272323325,-1366884987,32,23,40.07909898320213,7.067371477838606
32,"[-14, 331, 17, -996]",47.37310208985582,-1366883996,33,23,40.28665630891919,7.067371477838606
33,"[-14, 332, 15, -998]",49.09288936899975,-1366785998,34,24,41.84639524901286,7.2259965329431
34,"[-14, 333, 15, -1002]",50.28760115103796,-1366686002,35,25,42.82907956512645,7.436514359898865
35,"[-14, 333, 17, -1007]",50.51233024522662,-1366684007,36,25,43.05333880381659,7.436514359898865
36,"[-14, 334, 16, -1011]",52.532059533987194,-1366585011,37,26,44.85290350904688,7.654999928548932
37,"[-14, 334, 17, -1016]",52.78842392005026,-1366584016,38,26,45.10889119608328,7.654999928548932
38,"[-14, 335, 15, -1022]",58.117620972916484,-1366486022,39,27,50.25776005210355,7.8331419713795185
39,"[-14, 336, 17, -1031]",60.12832225812599,-1366384031,40,28,52.08746060077101,8.01228847540915
40,"[-14, 337, 15, -1023]",63.9315066980198,-1366286023,41,29,55.66020257445052,8.240526450332254
41,"[-14, 337, 16, -1024]",64.31804342288524,-1366285024,42,29,56.04577826336026,8.240526450332254
42,"[-14, 337, 17, -1034]",64.8866624631919,-1366284034,43,30,56.30148709146306,8.552407524548471
43,"[-14, 338, 15, -1037]",67.62440888211131,-1366186037,44,31,58.86737386230379,8.721801738720387
44,"[-14, 338, 16, -1041]",67.84322634991258,-1366185041,45,31,59.0857195481658,8.721801738720387
45,"[-14, 338, 17, -1042]",68.02548917103559,-1366184042,46,31,59.267552421893924,8.721801738720387
46,"[-14, 339, 14, -967]",70.2114478922449,-1366086967,47,32,61.27851551119238,8.894235127605498
47,"[-14, 339, 15, -1043]",70.59847145201638,-1366086043,48,33,61.46429462591186,9.094757658895105
48,"[-14, 339, 17, -1051]",70.7872497420758,-1366084051,49,33,61.65253385622054,9.094757658895105
49,"[-14, 340, 14, -973]",72.31465760525316,-1365986973,50,34,62.99560870695859,9.276173178106546
50,"[-14, 340, 16, -1048]",72.68479551002383,-1365985048,51,35,63.192838843911886,9.448467361275107
51,"[-14, 340, 17, -1052]",73.10308424104005,-1365984052,52,36,63.38182130502537,9.677096453960985
52,"[-14, 341, 14, -974]",75.82758473884314,-1365886974,53,37,65.91697715502232,9.863286878913641
53,"[-14, 341, 15, -1051]",76.4866361268796,-1365886051,54,38,66.2839653911069,10.154396147932857
54,"[-14, 341, 16, -1052]",76.86704803397879,-1365885052,55,38,66.66338090132922,10.154396147932857
55,"[-14, 341, 17, -1061]",77.08418499492109,-1365884061,56,38,66.87950817774981,10.154396147932857
56,"[-14, 342, 14, -987]",79.99371352605522,-1365786987,57,39,69.60621764371172,10.333534736651927
57,"[-14, 342, 15, -1058]",80.56868724804372,-1365786058,58,40,69.89709300594404,10.616610667668283
58,"[-14, 342, 16, -1062]",80.76259358786047,-1365785062,59,40,70.09041209099814,10.616610667668283
59,"[-14, 342, 17, -1069]",80.96000376623124,-1365784069,60,40,70.28722344897687,10.616610667668283
60,"[-14, 343, 14, -997]",83.18758876202628,-1365686997,61,41,72.33451679814607,10.793069430626929
61,"[-14, 343, 15, -1060]",83.70886177616194,-1365686060,62,42,72.63744685892016,11.010614165570587
62,"[-14, 343, 16, -1068]",84.10309940716252,-1365685068,63,43,72.84659901587293,11.19489648239687
63,"[-14, 343, 17, -1076]",85.68528470210731,-1365684076,64,44,73.0513307666406,12.57147008413449
64,"[-14, 344, 14, -998]",91.46703706588596,-1365586998,65,45,78.31433404842392,13.086493160109967
65,"[-14, 344, 15, -1064]",91.9640369261615,-1365586064,66,46,78.60119299450889,13.295524504967034
66,"[-14, 344, 16, -1069]",92.93942431919277,-1365585069,67,47,79.21476098056883,13.656597237102687
67,"[-14, 344, 17, -1104]",93.73808902781457,-1365584104,68,48,79.51238205656409,14.15683228103444
68,"[-14, 345, 14, -1011]",98.64223460713401,-1365487011,69,49,83.8011066922918,14.767675820272416
69,"[-14, 345, 15, -1072]",99.15859600622207,-1365486072,70,50,84.11347571806982,14.970852294936776
70,"[-14, 345, 16, -1097]",99.37422833405435,-1365485097,71,50,84.32839964795858,14.970852294936776
71,"[-14, 346, 14, -1025]",103.00647294288501,-1365387025,72,52,87.62455908069387,15.301947398111224
