,solution,time,obj value,solve_calls_sat,solve_calls_unsat,time_solve_sat,time_solve_unsat
0,"[-14, 327, 18, -1303]",0.7489382089697756,-1367283303,1,0,0.7489315869752318,0.0
1,"[-14, 328, 18, -1316]",1.3085097229923122,-1367183316,2,0,1.3083841979387216,0.0
2,"[-14, 329, 18, -1317]",1.9756857819738798,-1367083317,3,0,1.975444224954117,0.0
3,"[-14, 330, 18, -1321]",2.681805418978911,-1366983321,4,0,2.6814398029237054,0.0
4,"[-14, 331, 17, -1322]",3.3151385550154373,-1366884322,5,0,3.3146432509529404,0.0
5,"[-14, 331, 18, -1342]",3.999030599021353,-1366883342,6,0,3.998391436005477,0.0
6,"[-14, 333, 18, -1352]",4.722030411008745,-1366683352,7,0,4.721245474007446,0.0
7,"[-14, 334, 18, -1359]",5.349028468015604,-1366583359,8,0,5.348097937006969,0.0
8,"[-14, 335, 18, -1361]",6.005690657009836,-1366483361,9,0,6.004582802997902,0.0
9,"[-14, 336, 18, -1369]",6.836617982015014,-1366383369,10,0,6.835345079016406,0.0
10,"[-14, 337, 17, -1371]",7.516816178977024,-1366284371,11,0,7.515376952011138,0.0
11,"[-14, 337, 18, -1378]",8.368602495000232,-1366283378,12,0,8.366989300004207,0.0
12,"[-14, 338, 18, -1385]",9.145756537967827,-1366183385,13,0,9.14396380801918,0.0
13,"[-14, 339, 18, -1386]",10.268003650009632,-1366083386,14,0,10.266029347025324,0.0
14,"[-14, 340, 17, -1388]",11.339514234976377,-1365984388,15,0,11.337358401040547,0.0
15,"[-14, 340, 18, -1395]",12.618512852990534,-1365983395,16,0,12.61616530304309,0.0
16,"[-14, 341, 17, -1399]",13.38627707498381,-1365884399,17,0,13.383743357029743,0.0
17,"[-14, 341, 18, -1402]",14.334749498986639,-1365883402,18,0,14.331964995071758,0.0
18,"[-14, 342, 18, -1411]",15.269203146977816,-1365783411,19,0,15.266223657061346,0.0
19,"[-14, 343, 17, -1412]",16.0898891609977,-1365684412,20,0,16.086701209074818,0.0
20,"[-14, 343, 18, -1420]",16.9489099420025,-1365683420,21,0,16.945471741084475,0.0
21,"[-14, 344, 18, -1421]",18.01662333199056,-1365583421,22,0,18.012920980108902,0.0
22,"[-14, 345, 17, -1424]",18.63775977899786,-1365484424,23,0,18.633815176144708,0.0
23,"[-14, 345, 18, -1428]",19.214515261002816,-1365483428,24,0,19.21034439612413,0.0
24,"[-14, 346, 17, -1429]",19.78172380599426,-1365384429,25,0,19.77733422809979,0.0
