,solution,time,obj value,solve_calls_sat,solve_calls_unsat,time_solve_sat,time_solve_unsat
0,"[-15, 228, 18, -1395]",2.4868007719996967,-1477183395,7,0,2.486786740999378,0.0
1,"[-15, 229, 17, -1398]",2.721344286997919,-1477084398,8,0,2.721217266996973,0.0
2,"[-15, 229, 18, -1404]",2.955510328996752,-1477083404,9,0,2.9552682459907373,0.0
3,"[-15, 230, 17, -1413]",3.1326794319975306,-1476984413,10,0,3.1323181569969165,0.0
4,"[-15, 230, 18, -1423]",3.3284925909974845,-1476983423,11,0,3.328010543991695,0.0
5,"[-15, 231, 18, -1431]",3.5570850130025065,-1476883431,12,0,3.5564795839964063,0.0
6,"[-15, 232, 18, -1434]",3.7912244260005536,-1476783434,13,0,3.790494620996469,0.0
7,"[-15, 233, 17, -1441]",3.985810072001186,-1476684441,14,0,3.984950948994083,0.0
8,"[-15, 234, 18, -1452]",4.245263711003645,-1476583452,15,0,4.244273119998979,0.0
9,"[-15, 235, 18, -1458]",4.466345779001131,-1476483458,16,0,4.465220760997909,0.0
10,"[-15, 236, 18, -1465]",4.663762205003877,-1476383465,17,0,4.662490793998586,0.0
11,"[-15, 237, 18, -1467]",4.787755391000246,-1476283467,18,0,4.78634240199608,0.0
12,"[-15, 238, 17, -1468]",4.971649218998209,-1476184468,19,0,4.97009371999593,0.0
13,"[-15, 238, 18, -1473]",5.1945448350015795,-1476183473,20,0,5.192842133998056,0.0
14,"[-15, 239, 18, -1479]",5.455208910003421,-1476083479,21,0,5.453357623999182,0.0
15,"[-15, 240, 18, -1486]",5.61909973800357,-1475983486,22,0,5.61709889100166,0.0
16,"[-15, 241, 18, -1488]",5.741271416001837,-1475883488,23,0,5.739115570002468,0.0
17,"[-15, 242, 18, -1494]",5.946618756999669,-1475783494,24,0,5.944310029000917,0.0
18,"[-15, 243, 18, -1496]",6.106136016998789,-1475683496,25,0,6.1036701850025565,0.0
19,"[-15, 244, 18, -1505]",6.269559571999707,-1475583505,26,0,6.266924918003497,0.0
20,"[-15, 245, 18, -1506]",6.363887507002801,-1475483506,27,0,6.36107991499739,0.0
