,solution,time,obj value,solve_calls_sat,solve_calls_unsat,time_solve_sat,time_solve_unsat
0,"[-15, 205, 17, -1459]",1.9950909211765975,-1479484459,5,0,2.3470134008675814,0
1,"[0, 0, 0, 0]",2.0475540400948375,0,6,0,3.035535437753424,0
2,"[-14, 275, 18, -1839]",2.1997528441715986,-1372483839,7,0,3.876255839597434,0
3,"[0, 3, 1, -41]",2.2419881192035973,300959,8,0,4.759211381431669,0
4,"[0, 6, 1, -75]",2.4821740752086043,600925,10,0,6.892675052396953,0
5,"[0, 6, 5, -76]",2.569284573197365,604924,11,0,8.102926798397675,0
6,"[0, 15, 1, -83]",2.7834841480944306,1500917,12,0,9.527378972386941,0
7,"[0, 8, 8, -77]",2.879195508081466,807923,13,0,11.047542218351737,0
8,"[0, 9, 2, -108]",3.035365641117096,901892,14,0,12.723875352414325,0
9,"[0, 16, 1, -87]",3.2435787690337747,1600913,15,0,14.608422132441774,0
10,"[0, 20, 1, -102]",3.4637267549987882,2000898,16,0,16.71311657433398,0
11,"[0, 9, 3, -109]",3.9887809981592,902891,18,0,21.84270792035386,0
12,"[0, 12, 2, -128]",4.489568572025746,1201872,19,0,24.973244285210967,0
13,"[0, 9, 5, -110]",4.603245598031208,904890,20,0,28.217457664199173,0
14,"[0, 9, 6, -111]",4.690070342039689,905889,21,0,31.548495216062292,0
15,"[0, 11, 8, -112]",4.811859383014962,1107888,22,0,35.0013219891116,0
16,"[0, 12, 3, -142]",5.135911551071331,1202858,24,0,42.387867238139734,0
17,"[0, 15, 2, -151]",5.539949089055881,1501849,25,0,46.56878428719938,0
18,"[0, 12, 5, -144]",5.666011207038537,1204856,26,0,50.87576308124699,0
19,"[0, 12, 6, -145]",5.742391617037356,1205855,27,0,55.259121768176556,0
20,"[0, 14, 8, -146]",5.873515319079161,1407854,28,0,59.77360492106527,0
21,"[0, 14, 10, -147]",5.984315785113722,1409853,29,0,64.39888849598356,0
22,"[0, 15, 3, -162]",6.325241324026138,1502838,31,0,74.14275490283035,0
23,"[0, 26, 2, -154]",6.682251785183325,2601846,32,0,79.46597466478124,0
24,"[0, 30, 2, -174]",7.017927230102941,3001826,33,0,85.12486950983293,0
25,"[0, 15, 4, -172]",7.204580458113924,1503828,34,0,90.97041811281815,0
26,"[0, 15, 5, -174]",7.354962951038033,1504826,35,0,96.96634861384518,0
27,"[0, 15, 6, -179]",7.5169813530519605,1505821,36,0,103.12429767870344,0
28,"[0, 32, 2, -176]",7.826949628069997,3201824,37,0,109.59221534361131,0
29,"[0, 37, 2, -187]",8.189027357148007,3701813,38,0,116.42221040348522,0
30,"[0, 17, 8, -180]",8.343570054043084,1707820,39,0,123.40674838237464,0
31,"[0, 17, 10, -181]",8.464503795141354,1709819,40,0,130.5122199372854,0
