,solution,time,obj value,solve_calls_sat,solve_calls_unsat,time_solve_sat,time_solve_unsat
0,"[36, 215, 238, 214, 248]",0.05821771798946429,36215238214248,1,0,0.05821805501182098,0.0
1,"[36, 217, 239, 207, 266]",0.10269956999400165,36217239207266,2,2,0.08168227801797912,0.020881545002339408
2,"[36, 217, 245, 210, 261]",0.15047176300140563,36217245210261,3,4,0.10848600101599004,0.041633372005890124
3,"[36, 223, 238, 209, 268]",0.2094627229962498,36223238209268,4,7,0.13683025601494592,0.07202535400574561
4,"[36, 223, 244, 212, 263]",0.2612630289950175,36223244212263,5,10,0.158534269023221,0.10183534902171232
5,"[37, 196, 258, 244, 233]",0.4512296609900659,37196258244233,6,15,0.2906731810217025,0.15920910603017546
6,"[37, 198, 258, 233, 239]",0.5100582219893113,37198258233239,7,17,0.3226490570232272,0.18581140002061147
7,"[37, 199, 257, 245, 230]",0.6349356869905023,37199257245230,8,20,0.3708131610183045,0.2622154470154783
8,"[37, 200, 259, 226, 257]",0.7527914999955101,37200259226257,9,23,0.4322769850259647,0.3182082500134129
9,"[37, 200, 265, 229, 252]",0.8580736889998661,37200265229252,10,27,0.4748086440231418,0.3806618370144861
10,"[37, 201, 246, 229, 245]",0.9694745979941217,37201246229245,11,32,0.5209020710171899,0.44544561103975866
11,"[37, 202, 250, 217, 225]",1.1614448609907413,37202250217225,12,38,0.5709498740179697,0.5867397050460568
12,"[37, 203, 236, 235, 246]",1.2475861599959899,37203236235246,13,40,0.6256654870085185,0.6177765760512557
13,"[37, 203, 243, 204, 274]",1.293945174998953,37203243204274,14,41,0.659601242019562,0.6300385550566716
14,"[37, 203, 246, 218, 251]",1.3914950799953658,37203246218251,15,44,0.6971895150199998,0.6896355130593292
15,"[37, 203, 265, 216, 229]",1.5015901959995972,37203265216229,16,47,0.7392997820279561,0.7572908400616143
16,"[37, 204, 251, 210, 243]",1.6649244360014563,37204251210243,17,50,0.860293095029192,0.7990309850720223
17,"[37, 204, 257, 213, 238]",1.7526148409961024,37204257213238,18,52,0.9125014820310753,0.8342355110798962
18,"[37, 205, 247, 211, 269]",1.951246832992183,37205247211269,19,56,1.0138246530405013,0.9307822780974675
19,"[37, 205, 253, 227, 224]",2.1570352720009396,37205253227224,20,61,1.0807547490403522,1.0690562840900384
20,"[37, 205, 265, 205, 235]",2.272019073003321,37205265205235,21,64,1.110373135044938,1.153858440098702
21,"[37, 207, 230, 213, 259]",2.435978185996646,37207230213259,22,69,1.2016543760546483,1.2256537620996824
22,"[37, 207, 253, 216, 230]",2.7170004099898506,37207253216230,23,77,1.2503919160517398,1.4570504601288121
23,"[37, 207, 266, 198, 253]",2.8876842399913585,37207266198253,24,82,1.2899444520444376,1.5874798211152665
24,"[37, 207, 272, 201, 248]",2.9982420509913936,37207272201248,25,87,1.328561761038145,1.6587604181404458
25,"[37, 208, 235, 218, 258]",3.2121982029930223,37208235218258,26,93,1.4624616750370478,1.7377569111413322
26,"[37, 208, 236, 200, 246]",3.3060322559904307,37208236200246,27,95,1.4937370770348934,1.799853329139296
27,"[37, 208, 243, 239, 235]",3.3689678009977797,37208243239235,28,96,1.539080010028556,1.8171102811465971
28,"[37, 210, 235, 239, 251]",3.79971911899338,37210235239251,29,107,1.6702069480234059,2.1150342271721456
29,"[37, 210, 237, 193, 264]",3.898756622002111,37210237193264,30,109,1.7221834040246904,2.1615716211817926
30,"[37, 210, 243, 196, 259]",4.029175596995628,37210243196259,31,112,1.761668264036416,2.25196256118943
31,"[37, 210, 250, 212, 245]",4.283504128994537,37210250212245,32,118,1.8382038800336886,2.428848186173127
32,"[37, 210, 256, 215, 240]",4.477024947991595,37210256215240,33,122,1.930062211045879,2.529614326165756
33,"[37, 210, 260, 231, 213]",4.667480814998271,37210260231213,34,127,1.9933966760436306,2.6557783681782894
34,"[37, 211, 245, 217, 234]",4.976856825989671,37211245217234,35,132,2.1650189000501996,2.7919003061542753
35,"[37, 212, 260, 220, 219]",5.608792743994854,37212260220219,36,144,2.374165673041716,3.2123330361646367
36,"[37, 213, 244, 207, 240]",5.941237548002391,37213244207240,37,150,2.565901983049116,3.351305677148048
37,"[37, 214, 257, 233, 216]",6.64095636899583,37214257233216,38,164,2.8148372630530503,3.799617255164776
38,"[37, 214, 261, 213, 237]",6.763043689992628,37214261213237,39,166,2.8863400460541015,3.849305161173106
39,"[37, 215, 233, 221, 251]",7.156682474000263,37215233221251,40,175,3.0815553390566492,4.0457880441827
40,"[37, 216, 236, 195, 266]",8.019201650997275,37216236195266,41,194,3.2233326590503566,4.763431418206892
41,"[37, 216, 242, 198, 261]",8.174955566995777,37216242198261,42,197,3.287204381049378,4.854419435199816
42,"[37, 217, 229, 209, 247]",8.929759414997534,37217229209247,43,214,3.4184604530455545,5.474723023216939
43,"[37, 219, 230, 202, 265]",9.765098734991625,37219230202265,44,233,3.5382306680403417,6.186923780172947
44,"[37, 219, 255, 231, 222]",10.358134309994057,37219255231222,45,245,3.620356044048094,6.695880720217247
45,"[37, 221, 236, 224, 221]",10.957174700000905,37221236224221,46,254,3.9082789810345275,7.004310104239266
46,"[37, 221, 267, 194, 255]",11.718007474002661,37221267194255,47,271,3.9528880870348075,7.71759251623007
47,"[37, 222, 231, 214, 225]",12.129815141990548,37222231214225,48,281,4.17045527503069,7.9095092662319075
48,"[37, 223, 257, 200, 245]",13.323321192990988,37223257200245,49,302,4.531973258024664,8.737497466237983
49,"[37, 225, 229, 204, 267]",13.83013683000172,37225229204267,50,315,4.728815182024846,9.044437970238505
50,"[37, 225, 235, 207, 262]",13.99387156299781,37225235207262,51,319,4.800381681023282,9.135292043240042
