,solution,time,obj value,solve_calls_sat,solve_calls_unsat,time_solve_sat,time_solve_unsat
0,"[43, 247, 238, 200, 244, 232]",0.21370070427656174,43247238200244232,1,0,0.21370122209191322,0.0
1,"[43, 255, 246, 184, 251, 241]",0.5429958989843726,43255246184251241,2,0,0.5407656589522958,0.0
2,"[44, 229, 239, 209, 248, 205]",0.9287788672372699,44229239209248205,3,0,0.9243091619573534,0.0
3,"[44, 231, 226, 204, 259, 246]",1.3553850022144616,44231226204259246,4,0,1.3486820068210363,0.0
4,"[44, 232, 234, 204, 236, 246]",1.9220186113379896,44232234204236246,5,0,1.913135522045195,0.0
5,"[44, 235, 229, 211, 209, 235]",2.5232432461343706,44235229211209235,6,0,2.512058444786817,0.0
6,"[44, 236, 228, 198, 248, 221]",3.0162657732144,44236228198248221,7,0,3.0029143169522285,0.0
7,"[44, 237, 247, 193, 255, 214]",3.5994746703654528,44237247193255214,8,0,3.5838708360679448,0.0
8,"[44, 238, 210, 198, 262, 246]",4.1973440130241215,44238210198262246,9,0,4.179585206788033,0.0
9,"[44, 239, 224, 202, 264, 225]",4.989604126196355,44239224202264225,10,0,4.969630092848092,0.0
10,"[44, 240, 219, 205, 242, 221]",5.6231718100607395,44240219205242221,11,0,5.600894929841161,0.0
11,"[44, 240, 242, 188, 243, 255]",6.359305259305984,44240242188243255,12,0,6.334834908600897,0.0
12,"[44, 243, 237, 195, 216, 244]",7.145195020362735,44243237195216244,13,0,7.118559229653329,0.0
13,"[44, 243, 238, 191, 250, 254]",8.006147287320346,44243238191250254,14,0,7.977230228949338,0.0
14,"[44, 246, 218, 182, 269, 255]",9.16761976107955,44246218182269255,15,0,9.13649948919192,0.0
15,"[44, 246, 224, 199, 236, 233]",10.144944719970226,44246224199236233,16,0,10.111670319456607,0.0
16,"[44, 246, 233, 208, 237, 222]",11.34260468930006,44246233208237222,17,0,11.30703661357984,0.0
17,"[44, 247, 247, 191, 231, 243]",12.715983361005783,44247247191231243,18,0,12.678251342847943,0.0
18,"[44, 248, 227, 189, 249, 230]",13.906614637002349,44248227189249230,19,0,13.866695133503526,0.0
19,"[44, 251, 237, 186, 246, 239]",15.204751992132515,44251237186246239,20,0,15.162554115522653,0.0
20,"[44, 251, 246, 175, 257, 263]",16.397068812977523,44251246175257263,21,0,16.352663605473936,0.0
21,"[44, 251, 257, 187, 242, 247]",17.88586169714108,44251257187242247,22,0,17.839211526792496,0.0
22,"[44, 252, 203, 191, 248, 261]",19.602729180362076,44252203191248261,23,0,19.553757967893034,0.0
23,"[44, 252, 244, 202, 281, 214]",21.792365478351712,44252244202281214,24,0,21.741198076866567,0.0
24,"[44, 253, 230, 226, 237, 230]",23.73396954825148,44253230226237230,25,0,23.68059566570446,0.0
25,"[44, 254, 232, 183, 243, 242]",24.98496258817613,44254232183243242,26,0,24.929273971822113,0.0
26,"[44, 254, 241, 192, 244, 231]",27.438282809220254,44254241192244231,27,0,27.380400316789746,0.0
27,"[44, 254, 255, 180, 249, 263]",29.386471766978502,44254255180249263,28,0,29.326385652646422,0.0
28,"[44, 255, 255, 175, 238, 252]",30.96046348195523,44255255175238252,29,0,30.89806233951822,0.0
29,"[44, 256, 219, 221, 241, 238]",32.44455706933513,44256219221241238,30,0,32.37992084259167,0.0
30,"[44, 256, 235, 198, 240, 240]",34.25924574723467,44256235198240240,31,0,34.19241069396958,0.0
31,"[44, 258, 235, 225, 233, 229]",36.53087092330679,44258235225233229,32,0,36.461740273050964,0.0
32,"[44, 258, 239, 186, 240, 237]",38.67844129214063,44258239186240237,33,0,38.60712156211957,0.0
33,"[44, 259, 238, 182, 286, 244]",40.78230354608968,44259238182286244,34,0,40.70875119883567,0.0
34,"[44, 260, 211, 175, 255, 270]",41.99759021727368,44260211175255270,35,0,41.92167773656547,0.0
35,"[44, 262, 244, 217, 231, 225]",44.78542378311977,44262244217231225,36,0,44.707295069471,0.0
36,"[44, 264, 225, 220, 214, 264]",46.827917117159814,44264225220214264,37,0,46.7474874695763,0.0
37,"[44, 264, 243, 182, 247, 249]",49.292504377197474,44264243182247249,38,0,49.209881195798516,0.0
38,"[44, 264, 257, 186, 263, 228]",51.85073204198852,44264257186263228,39,0,51.76589545281604,0.0
39,"[44, 265, 223, 191, 265, 250]",54.6227186541073,44265223191265250,40,0,54.53560137748718,0.0
40,"[44, 265, 244, 200, 233, 242]",58.34696153923869,44265244200233242,41,0,58.257653932552785,0.0
41,"[44, 269, 249, 231, 224, 230]",62.184406279120594,44269249231224230,42,0,62.092908408958465,0.0
42,"[44, 270, 212, 214, 227, 253]",64.42752325721085,44270212214227253,43,0,64.33366886898875,0.0
43,"[44, 271, 259, 186, 257, 226]",67.54940681299195,44271259186257226,44,0,67.45338566135615,0.0
44,"[44, 272, 228, 218, 219, 244]",70.34874816425145,44272228218219244,45,0,70.25049898726866,0.0
45,"[44, 273, 231, 175, 272, 259]",72.74642394436523,44273231175272259,46,0,72.64586992142722,0.0
46,"[44, 278, 220, 198, 234, 262]",74.99011356430128,44278220198234262,47,0,74.88730969512835,0.0
47,"[44, 279, 237, 193, 219, 257]",77.89638498332351,44279237193219257,48,0,77.7913520061411,0.0
48,"[44, 280, 236, 202, 226, 253]",80.94376532314345,44280236202226253,49,0,80.8363891732879,0.0
49,"[45, 213, 227, 213, 263, 219]",81.93668789695948,45213227213263219,50,0,81.82713551586494,0.0
50,"[45, 216, 222, 208, 251, 260]",83.39667276013643,45216222208251260,51,0,83.28488145163283,0.0
51,"[45, 216, 232, 209, 266, 224]",84.62300240807235,45216232209266224,52,0,84.50887295929715,0.0
52,"[45, 216, 236, 212, 249, 216]",86.47324550105259,45216236212249216,53,0,86.35693154949695,0.0
53,"[45, 217, 230, 220, 213, 208]",88.03658346226439,45217230220213208,54,0,87.91806412348524,0.0
54,"[45, 218, 229, 207, 252, 194]",90.21910722833127,45218229207252194,55,0,90.09827141743153,0.0
55,"[45, 219, 217, 215, 224, 249]",92.22784737311304,45219217215224249,56,0,92.10482874652371,0.0
56,"[45, 220, 225, 215, 201, 249]",94.30180648108944,45220225215201249,57,0,94.17662966158241,0.0
57,"[45, 221, 224, 202, 240, 235]",96.41269051330164,45221224202240235,58,0,96.28518877271563,0.0
58,"[45, 221, 225, 211, 268, 198]",98.06606726534665,45221225211268198,59,0,97.93633288983256,0.0
59,"[45, 222, 208, 218, 227, 208]",101.02460235729814,45222208218227208,60,0,100.89266171911731,0.0
60,"[45, 223, 206, 202, 254, 260]",103.5524805560708,45223206202254260,61,0,103.41821808787063,0.0
61,"[45, 224, 207, 209, 257, 235]",105.61302796332166,45224207209257235,62,0,105.47653627675027,0.0
62,"[45, 224, 219, 209, 213, 224]",107.61065138829872,45224219209213224,63,0,107.47192270867527,0.0
63,"[45, 224, 220, 206, 256, 239]",110.21921493113041,45224220206256239,64,0,110.07822360657156,0.0
64,"[45, 224, 240, 193, 273, 233]",112.26241426216438,45224240193273233,65,0,112.1192616885528,0.0
65,"[45, 224, 244, 196, 256, 225]",115.67355229519308,45224244196256225,66,0,115.52805687254295,0.0
66,"[45, 225, 213, 210, 243, 237]",117.57296007219702,45225213210243237,67,0,117.4252594136633,0.0
67,"[45, 225, 238, 204, 220, 217]",119.79248952819034,45225238204220217,68,0,119.64258983684704,0.0
68,"[45, 226, 201, 209, 227, 249]",122.81284053716809,45226201209227249,69,0,122.66056617163122,0.0
69,"[45, 226, 229, 220, 250, 199]",126.32567315129563,45226229220250199,70,0,126.17117796977982,0.0
70,"[45, 227, 212, 205, 260, 240]",128.63221046235412,45227212205260240,71,0,128.47549617895856,0.0
71,"[45, 227, 215, 213, 229, 228]",131.2785705840215,45227215213229228,72,0,131.1195640671067,0.0
72,"[45, 227, 216, 208, 243, 232]",134.80396336317062,45227216208243232,73,0,134.6427699639462,0.0
73,"[45, 227, 233, 216, 235, 210]",138.2228267043829,45227233216235210,74,0,138.05946514755487,0.0
74,"[45, 227, 254, 193, 262, 229]",141.05024290829897,45227254193262229,75,0,140.88461226131767,0.0
75,"[45, 228, 210, 216, 207, 224]",143.98971474915743,45228210216207224,76,0,143.821856925264,0.0
76,"[45, 228, 233, 199, 208, 258]",146.80950768105686,45228233199208258,77,0,146.6394363795407,0.0
77,"[45, 229, 209, 203, 246, 210]",149.83542408095673,45229209203246210,78,0,149.662985608913,0.0
78,"[45, 229, 215, 204, 220, 224]",152.75438888231292,45229215204220224,79,0,152.57980004698038,0.0
79,"[45, 229, 217, 193, 227, 221]",155.34799990803003,45229217193227221,80,0,155.17118549300358,0.0
80,"[45, 229, 248, 200, 235, 216]",158.63817610312253,45229248200235216,81,0,158.45908850291744,0.0
81,"[45, 230, 212, 247, 205, 215]",161.919373115059,45230212247205215,82,0,161.73808423383161,0.0
82,"[45, 230, 216, 202, 234, 217]",164.9054031893611,45230216202234217,83,0,164.72191572468728,0.0
83,"[45, 230, 235, 204, 276, 209]",169.06527189910412,45230235204276209,84,0,168.87946964194998,0.0
84,"[45, 231, 213, 200, 262, 269]",172.44757194910198,45231213200262269,85,0,172.25954504590482,0.0
85,"[45, 231, 214, 186, 261, 269]",176.30355465598404,45231214186261269,86,0,176.11332919076085,0.0
86,"[45, 231, 229, 202, 215, 257]",179.59570874925703,45231229202215257,87,0,179.40319496486336,0.0
87,"[45, 232, 205, 207, 262, 214]",182.2459043553099,45232205207262214,88,0,182.05121734784916,0.0
88,"[45, 232, 222, 185, 243, 250]",185.40108236018568,45232222185243250,89,0,185.20418199896812,0.0
89,"[45, 232, 243, 195, 223, 257]",189.4043223001063,45232243195223257,90,0,189.20508904894814,0.0
90,"[45, 233, 222, 224, 218, 209]",193.34101248718798,45233222224218209,91,0,193.1395887862891,0.0
91,"[45, 233, 238, 195, 250, 212]",197.07603074936196,45233238195250212,92,0,196.8723987643607,0.0
92,"[45, 233, 258, 196, 246, 220]",201.43566787615418,45233258196246220,93,0,201.2297546933405,0.0
93,"[45, 234, 209, 193, 234, 258]",205.24705884000286,45234209193234258,94,0,205.03897164948285,0.0
94,"[45, 234, 215, 210, 201, 236]",209.5100677483715,45234215210201236,95,0,209.29967965744436,0.0
95,"[45, 234, 224, 219, 202, 225]",213.58453658921644,45234224219202225,96,0,213.37193512637168,0.0
96,"[45, 234, 237, 204, 257, 208]",218.58302904106677,45234237204257208,97,0,218.36819728137925,0.0
97,"[45, 234, 245, 211, 285, 187]",223.92872935021296,45234245211285187,98,0,223.7116058622487,0.0
98,"[45, 235, 199, 217, 259, 231]",227.76006544521078,45235199217259231,99,0,227.5407048962079,0.0
99,"[45, 235, 202, 198, 247, 228]",230.65647138422355,45235202198247228,100,0,230.43492851406336,0.0
100,"[45, 235, 211, 195, 249, 239]",233.29133518319577,45235211195249239,101,0,233.06747180316597,0.0
101,"[45, 235, 214, 197, 240, 222]",236.96062980918214,45235214197240222,102,0,236.73458570009097,0.0
102,"[45, 235, 220, 189, 267, 249]",240.95577614801005,45235220189267249,103,0,240.72752020182088,0.0
103,"[45, 235, 223, 206, 241, 211]",245.4275499312207,45235223206241211,104,0,245.19694104976952,0.0
104,"[45, 235, 224, 192, 250, 241]",249.2727003353648,45235224192250241,105,0,249.039910195861,0.0
105,"[45, 235, 231, 235, 241, 203]",255.1916593722999,45235231235241203,106,0,254.95666487980634,0.0
106,"[45, 235, 238, 202, 196, 246]",260.22805677726865,45235238202196246,107,0,259.9907651441172,0.0
107,"[45, 235, 241, 200, 242, 219]",264.56280910409987,45235241200242219,108,0,264.32333729323,0.0
108,"[45, 236, 206, 203, 228, 234]",268.4484830540605,45236206203228234,109,0,268.20683530019596,0.0
109,"[45, 236, 211, 193, 266, 257]",272.59947858331725,45236211193266257,110,0,272.35551875131205,0.0
110,"[45, 236, 215, 194, 251, 244]",277.3057221523486,45236215194251244,111,0,277.0595748494379,0.0
111,"[45, 236, 218, 200, 214, 233]",282.1588660380803,45236218200214233,112,0,281.91049155034125,0.0
112,"[45, 236, 233, 190, 238, 253]",286.94062835816294,45236233190238253,113,0,286.68995031667873,0.0
113,"[45, 236, 237, 189, 235, 232]",290.913009643089,45236237189235232,114,0,290.6600982560776,0.0
114,"[45, 236, 253, 191, 234, 261]",296.27061469620094,45236253191234261,115,0,296.01546407910064,0.0
115,"[45, 237, 196, 197, 254, 247]",300.13383142417297,45237196197254247,116,0,299.87639961298555,0.0
116,"[45, 237, 199, 195, 240, 275]",304.47023713821545,45237199195240275,117,0,304.21057249000296,0.0
117,"[45, 237, 209, 216, 244, 215]",308.5890206801705,45237209216244215,118,0,308.32712321402505,0.0
118,"[45, 237, 218, 211, 250, 209]",313.68623033724725,45237218211250209,119,0,313.4220256716944,0.0
