,solution,time,obj value,solve_calls_sat,solve_calls_unsat,time_solve_sat,time_solve_unsat
0,"[46, 222, 279, 269, 246, 251, 195, 218]",0.1769637030083686,46222279269246251195218,1,0,0.17696411898941733,0.0
1,"[46, 223, 288, 257, 251, 249, 194, 219]",0.47789787300280295,46223288257251249194219,2,5,0.2923735979857156,0.18511851200310048
2,"[46, 223, 299, 262, 250, 240, 202, 220]",0.7474038259970257,46223299262250240202220,3,9,0.41233499998634215,0.3342579620075412
3,"[46, 224, 308, 250, 255, 238, 201, 221]",1.1045068130042637,46224308250255238201221,4,14,0.5651566819869913,0.5379157140268944
4,"[46, 225, 289, 251, 249, 254, 203, 204]",1.4458999909984414,46225289251249254203204,5,19,0.7086192559800111,0.7351613500359235
5,"[46, 226, 298, 239, 254, 252, 202, 205]",1.8196866500074975,46226298239254252202205,6,24,0.8727161089918809,0.944111649034312
6,"[46, 227, 270, 279, 239, 243, 197, 216]",2.201595228005317,46227270279239243197216,7,29,1.0184194199973717,1.1794764590449631
7,"[46, 228, 290, 272, 243, 232, 204, 218]",2.719311670996831,46228290272243232204218,8,34,1.2556256509997183,1.4591935390344588
8,"[46, 228, 294, 270, 267, 250, 204, 217]",3.2046491430082824,46228294270267250204217,9,38,1.5501431540033082,1.6491335890314076
9,"[46, 228, 298, 248, 249, 249, 196, 213]",3.6852021860104287,46228298248249249196213,10,42,1.8104071590059903,1.8683840400190093
10,"[46, 229, 275, 262, 246, 258, 182, 209]",4.26549347701075,46229275262246258182209,11,47,2.031385536014568,2.226207334038918
11,"[46, 229, 279, 249, 248, 257, 207, 231]",4.764375566010131,46229279249248257207231,12,51,2.253380102018127,2.502162811040762
12,"[46, 229, 303, 258, 272, 248, 203, 218]",5.384172871010378,46229303258272248203218,13,55,2.6515315510187065,2.7227653950394597
13,"[46, 229, 307, 236, 254, 247, 195, 214]",5.871092961009708,46229307236254247195214,14,59,2.8794331950193737,2.9801965490478324
14,"[46, 229, 307, 247, 219, 275, 184, 221]",6.126977064006496,46229307247219275184221,15,62,3.023603414025274,3.091196083041723
15,"[46, 230, 280, 261, 242, 246, 205, 202]",6.8475251979980385,46230280261242246205202,16,67,3.3280176270200172,3.5053770010126755
16,"[46, 230, 284, 250, 251, 256, 181, 210]",7.236775026001851,46230284250251256181210,17,71,3.5309140200261027,3.6906569670391036
17,"[46, 230, 285, 240, 249, 261, 205, 237]",7.6408778480108595,46230285240249261205237,18,75,3.73128208903654,3.8931421620363835
18,"[46, 230, 288, 237, 253, 255, 206, 232]",8.084556918998715,46230288237253255206232,19,79,3.947792154023773,4.11904483003309
19,"[46, 232, 273, 268, 249, 241, 186, 219]",8.731340529004228,46232273268249241186219,20,84,4.282702536016586,4.4289211880241055
20,"[46, 232, 283, 259, 244, 254, 180, 232]",9.197008906005067,46232283259244254180232,21,88,4.565437200013548,4.610638932019356
21,"[46, 232, 285, 244, 249, 261, 190, 195]",9.768999132997124,46232285244249261190195,22,92,4.846089691011002,4.90053084702231
22,"[46, 232, 312, 266, 237, 271, 185, 234]",10.38359743100591,46232312266237271185234,23,96,5.225594653005828,5.134098863039981
23,"[46, 232, 316, 244, 219, 270, 177, 230]",10.885547106008744,46232316244219270177230,24,100,5.500517402004334,5.358562193039688
24,"[46, 233, 282, 256, 254, 239, 185, 220]",11.676540914006182,46233282256254239185220,25,105,5.932823181996355,5.714189782040194
25,"[46, 233, 285, 280, 260, 242, 206, 215]",12.322920216000057,46233285280260242206215,26,109,6.3398789280036,5.9518746040412225
26,"[46, 233, 289, 258, 242, 241, 198, 211]",12.904694359007408,46233289258242241198211,27,113,6.650078254999244,6.221238770027412
27,"[46, 233, 293, 261, 253, 230, 193, 221]",13.519338912010426,46233293261253230193221,28,117,6.997366820010939,6.486376624030527
28,"[46, 233, 294, 232, 254, 259, 189, 196]",14.077379655005643,46233294232254259189196,29,121,7.278882681013783,6.760407617024612
29,"[46, 233, 303, 252, 248, 243, 187, 234]",14.82324581600551,46233303252248243187234,30,125,7.771728585023084,7.011201247034478
30,"[46, 234, 266, 272, 239, 250, 184, 207]",15.663834370003315,46234266272239250184207,31,130,8.172573873016518,7.447114368042094
31,"[46, 234, 270, 259, 241, 249, 209, 229]",16.093740832002368,46234270259241249209229,32,134,8.426862241016352,7.62078016702435
32,"[46, 234, 279, 251, 260, 248, 209, 210]",16.75787347801088,46234279251260248209210,33,138,8.875393954018364,7.834419471008005
33,"[46, 234, 293, 255, 230, 256, 206, 212]",17.41472397799953,46234293255230256206212,34,142,9.285448017006274,8.0789673950203
34,"[46, 234, 298, 257, 212, 267, 186, 219]",18.106745277997106,46234298257212267186219,35,146,9.67003101100272,8.383622997032944
35,"[46, 234, 302, 249, 258, 228, 192, 222]",18.89586746400164,46234302249258228192222,36,150,10.111141172994394,8.72802076303924
36,"[46, 234, 303, 271, 237, 255, 196, 237]",19.759381331008626,46234303271237255196237,37,154,10.689924874997814,9.009627695049858
37,"[46, 234, 310, 247, 263, 245, 207, 227]",20.763850335002644,46234310247263245207227,38,158,11.393080041991198,9.30709326104261
38,"[46, 235, 262, 246, 272, 245, 210, 233]",21.754442920006113,46235262246272245210233,39,163,11.846536397992168,9.839656307027326
39,"[46, 235, 283, 250, 252, 244, 194, 205]",22.295505464004236,46235283250252244194205,40,167,12.209325874995557,10.01561875603511
40,"[46, 235, 285, 258, 239, 243, 195, 221]",23.052655841005617,46235285258239243195221,41,171,12.634782572989934,10.344515719043557
41,"[46, 235, 288, 239, 265, 246, 208, 211]",23.907763572002295,46235288239265246208211,42,175,13.122346545991604,10.709045172043261
42,"[46, 235, 296, 242, 247, 239, 200, 219]",24.719938859998365,46235296242247239200219,43,179,13.63725972098473,11.003149451047648
43,"[46, 236, 273, 256, 244, 248, 186, 215]",26.008681778999744,46236273256244248186215,44,184,14.18761283798085,11.736576472045272
44,"[46, 236, 292, 238, 257, 242, 193, 206]",26.69996272100252,46236292238257242193206,45,188,14.588032292987918,12.02459310903214
45,"[46, 236, 294, 246, 244, 241, 194, 222]",27.506632609001826,46236294246244241194222,46,192,15.031741076993058,12.383871256039129
46,"[46, 236, 298, 258, 236, 253, 199, 230]",28.42414601900964,46236298258236253199230,47,196,15.615991899991059,12.713027463047183
47,"[46, 236, 300, 238, 219, 250, 167, 241]",29.308771548006916,46236300238219250167241,48,200,16.080566911987262,13.12829211805365
48,"[46, 236, 303, 240, 219, 282, 171, 212]",30.106027499001357,46236303240219282171212,49,204,16.54742239098414,13.454184056055965
49,"[46, 236, 305, 230, 252, 237, 199, 220]",30.946330313003273,46236305230252237199220,50,208,17.043126375996508,13.79378814107622
50,"[46, 236, 305, 251, 243, 232, 202, 223]",31.40971614900627,46236305251243232202223,51,211,17.343802511997637,13.95383666708949
51,"[46, 237, 264, 278, 242, 233, 188, 217]",32.75878260600439,46237264278242233188217,52,216,17.945561489003012,14.693781093126745
52,"[46, 237, 265, 252, 257, 230, 187, 224]",33.362027716997545,46237265252257230187224,53,220,18.343447007995564,14.895876548136584
53,"[46, 237, 276, 254, 242, 253, 192, 193]",34.1579307540087,46237276254242253192193,54,224,18.923738830999355,15.108130896129296
54,"[46, 237, 282, 244, 249, 246, 185, 216]",34.852995253997506,46237282244249246185216,55,228,19.317810598993674,15.405316947129904
55,"[46, 237, 303, 276, 230, 263, 187, 232]",35.93683600499935,46237303276230263187232,56,232,20.047072970992303,15.75581375011825
56,"[46, 237, 307, 246, 241, 251, 198, 231]",37.24239943199791,46237307246241251198231,57,236,20.82524998000008,16.275758337113075
57,"[46, 237, 307, 254, 212, 262, 179, 228]",37.75098422500014,46237307254212262179228,58,239,21.12777371700213,16.47835663711885
58,"[46, 237, 314, 239, 248, 230, 201, 224]",38.78912355800276,46237314239248230201224,59,243,21.768447235008352,16.868975351113477
59,"[46, 237, 318, 251, 240, 242, 206, 232]",39.996178353001596,46237318251240242206232,60,247,22.654905860021245,17.182806749086012
60,"[46, 237, 320, 231, 223, 239, 174, 243]",40.97359172299912,46237320231223239174243,61,251,23.274548193017836,17.53311896706873
61,"[46, 238, 274, 240, 262, 228, 186, 225]",42.36746733500331,46238274240262228186225,62,256,23.963675350008998,18.228956285049208
62,"[46, 238, 284, 248, 244, 236, 194, 234]",43.23587369600136,46238284248244236194234,63,260,24.551108740008203,18.505769872048404
63,"[46, 238, 284, 271, 246, 222, 195, 219]",43.79379102800158,46238284271246222195219,64,263,24.87808625001344,18.73500543103728
64,"[46, 238, 288, 269, 270, 240, 195, 218]",44.896863455011044,46238288269270240195218,65,267,25.586618008004734,19.124058774046716
