,solution,time,obj value,solve_calls_sat,solve_calls_unsat,time_solve_sat,time_solve_unsat
0,"[127, 225, 381, 336, 387, 334, 405]",0.017008167997119017,127022503810336038703340405,1,0,0.01700923799944576,0.0
1,"[127, 225, 382, 336, 383, 336, 406]",0.05085727700497955,127022503820336038303360406,2,3,0.04269068299618084,0.007958885995321907
2,"[127, 227, 379, 341, 386, 336, 399]",0.12616796400106978,127022703790341038603360399,3,7,0.07569542599958368,0.04987438699754421
3,"[127, 227, 380, 341, 382, 338, 400]",0.16732369699457195,127022703800341038203380400,4,10,0.10733250199700706,0.059037097991677
4,"[127, 227, 382, 338, 389, 327, 405]",0.22658524599683005,127022703820338038903270405,5,13,0.15643601700139698,0.06886230398959015
5,"[127, 227, 383, 338, 385, 329, 406]",0.28443242599314544,127022703830338038503290406,6,16,0.19973994600877631,0.08284601799095981
6,"[127, 228, 386, 339, 384, 330, 409]",0.3731169940001564,127022803860339038403300409,7,20,0.2516132940072566,0.11873085398110561
7,"[127, 228, 387, 339, 380, 332, 410]",0.43038590499782003,127022803870339038003320410,8,23,0.29515712401189376,0.1318988629936939
8,"[127, 229, 380, 343, 388, 329, 399]",0.521205466997344,127022903800343038803290399,9,27,0.3473974540247582,0.16960203599592205
9,"[127, 229, 381, 343, 384, 331, 400]",0.5765774269966641,127022903810343038403310400,10,30,0.3907904000225244,0.18097896399558522
10,"[127, 230, 380, 344, 389, 335, 398]",0.6837231289973715,127023003800344038903350398,11,34,0.4590702980349306,0.2189061390090501
11,"[127, 230, 381, 344, 385, 337, 399]",0.7907438230031403,127023003810344038503370399,12,37,0.5319652900361689,0.25225105801655445
12,"[127, 230, 384, 344, 383, 332, 403]",0.8656272049993277,127023003840344038303320403,13,40,0.5906326330441516,0.26770596801361535
13,"[127, 230, 385, 344, 379, 334, 404]",0.9434829160018126,127023003850344037903340404,14,43,0.6484565190476133,0.28665320403524674
14,"[127, 230, 387, 341, 386, 323, 409]",1.0331358609983,127023003870341038603230409,15,46,0.7171586760523496,0.30656499703763984
15,"[127, 230, 388, 341, 382, 325, 410]",1.1463483660045313,127023003880341038203250410,16,49,0.7862025410577189,0.34944058302789927
16,"[127, 232, 378, 349, 388, 337, 392]",1.283214315000805,127023203780349038803370392,17,53,0.8604250060598133,0.4104996750247665
17,"[127, 232, 379, 349, 384, 339, 393]",1.3561080299987225,127023203790349038403390393,18,56,0.9209592330589658,0.42204420403868426
18,"[127, 232, 381, 346, 391, 328, 398]",1.4614243340038229,127023203810346039103280398,19,59,0.9947818080545403,0.4526913840236375
19,"[127, 232, 382, 346, 387, 330, 399]",1.5596925639983965,127023203820346038703300399,20,62,1.0733151670428924,0.4712576430174522
20,"[127, 232, 385, 346, 385, 325, 403]",1.6640613799972925,127023203850346038503250403,21,65,1.1549810340366093,0.4927335160173243
21,"[127, 232, 386, 346, 381, 327, 404]",1.8255947319994448,127023203860346038103270404,22,68,1.2901034870301373,0.5175981260254048
22,"[127, 233, 386, 347, 382, 333, 403]",2.0235897520033177,127023303860347038203330403,23,72,1.4164081100316253,0.586996337005985
23,"[127, 234, 379, 351, 390, 330, 392]",2.2015362280071713,127023403790351039003300392,24,76,1.514301837029052,0.664699062006548
24,"[127, 234, 380, 351, 386, 332, 393]",2.297012191993417,127023403800351038603320393,25,79,1.5927420430234633,0.6805767239857232
25,"[127, 235, 383, 352, 385, 333, 396]",2.5036665789957624,127023503830352038503330396,26,83,1.7281527140294202,0.7498869429837214
26,"[127, 235, 384, 352, 381, 335, 397]",2.618064202993992,127023503840352038103350397,27,86,1.8120016490283888,0.7786817579908529
27,"[127, 235, 386, 349, 388, 324, 402]",2.7488709809986176,127023503860349038803240402,28,89,1.9115374360408168,0.8080245590099366
28,"[127, 235, 387, 349, 384, 326, 403]",2.8876591970038135,127023503870349038403260403,29,92,2.0131059440464014,0.8430540270201163
29,"[127, 237, 384, 354, 387, 326, 396]",3.1545279499987373,127023703840354038703260396,30,96,2.165737865041592,0.9541693550272612
30,"[127, 237, 385, 354, 383, 328, 397]",3.289974571001949,127023703850354038303280397,31,99,2.2688526720448863,0.9845142180129187
31,"[128, 220, 385, 327, 395, 328, 405]",3.7005901800002903,128022003850327039503280405,32,104,2.5027392680349294,1.1573664500174345
32,"[128, 220, 386, 327, 391, 330, 406]",3.777336543003912,128022003860327039103300406,33,107,2.5459878540423233,1.1904009430290898
33,"[128, 222, 383, 332, 394, 330, 399]",3.9228306690056343,128022203830332039403300399,34,111,2.652144626044901,1.2282474530220497
34,"[128, 222, 384, 332, 390, 332, 400]",3.9973949440027354,128022203840332039003320400,35,114,2.7067251590342494,1.2476420940220123
35,"[128, 222, 386, 329, 397, 321, 405]",4.070737218004069,128022203860329039703210405,36,117,2.760402445026557,1.2667981360282283
36,"[128, 222, 387, 329, 393, 323, 406]",4.157200650006416,128022203870329039303230406,37,120,2.8253174800338456,1.2876303900120547
37,"[128, 223, 390, 330, 392, 324, 409]",4.338432553995517,128022303900330039203240409,38,124,2.9532253660290735,1.3389863910124404
38,"[128, 223, 391, 330, 388, 326, 410]",4.438030506003997,128022303910330038803260410,39,127,3.0270306980382884,1.3638468930294039
39,"[128, 224, 384, 334, 396, 323, 399]",4.617657044000225,128022403840334039603230399,40,131,3.1484488490386866,1.4196778440382332
40,"[128, 224, 385, 334, 392, 325, 400]",4.709709179995116,128022403850334039203250400,41,134,3.215804964027484,1.443497633037623
41,"[128, 225, 384, 335, 397, 329, 398]",4.920135478998418,128022503840335039703290398,42,138,3.3594769130286295,1.5077013650297886
42,"[128, 225, 385, 335, 393, 331, 399]",5.029570636994322,128022503850335039303310399,43,141,3.442683871035115,1.5328978310280945
43,"[128, 225, 388, 335, 391, 326, 403]",5.144585531001212,128022503880335039103260403,44,144,3.5285909390368033,1.5608412550209323
44,"[128, 225, 389, 335, 387, 328, 404]",5.265995031004422,128022503890335038703280404,45,147,3.6166530420305207,1.5927398500207346
45,"[128, 225, 391, 332, 394, 317, 409]",5.391419991996372,128022503910332039403170409,46,150,3.709587786026532,1.6238164190144744
46,"[128, 225, 392, 332, 390, 319, 410]",5.5212932669965085,128022503920332039003190410,47,153,3.803875956014963,1.6578405340114841
47,"[128, 226, 381, 343, 385, 331, 406]",5.760635106998961,128022603810343038503310406,48,157,3.9566617350210436,1.7405259070073953
48,"[128, 226, 382, 343, 381, 333, 407]",5.907558234001044,128022603820343038103330407,49,160,4.052391848017578,1.7905933580041165
49,"[128, 227, 382, 340, 396, 331, 392]",6.164773441007128,128022703820340039603310392,50,164,4.229197384018335,1.8674475790176075
50,"[128, 227, 383, 340, 392, 333, 393]",6.30787448999763,128022703830340039203330393,51,167,4.339044783017016,1.8991900680121034
51,"[128, 227, 385, 337, 399, 322, 398]",6.452175796002848,128022703850337039903220398,52,170,4.449206079007126,1.9317102700151736
52,"[128, 227, 386, 337, 395, 324, 399]",6.612277242005803,128022703860337039503240399,53,173,4.571114435006166,1.9680131350032752
53,"[128, 227, 389, 337, 393, 319, 403]",6.788949919005972,128022703890337039303190403,54,176,4.702265303014428,2.0113172809942625
54,"[128, 227, 390, 337, 389, 321, 404]",6.965655420004623,128022703900337038903210404,55,179,4.833987264020834,2.0539354199863737
55,"[128, 228, 379, 348, 384, 333, 400]",7.319646774994908,128022803790348038403330400,56,183,5.06722121500934,2.1691599170007976
56,"[128, 228, 380, 348, 380, 335, 401]",7.477322033999371,128022803800348038003350401,57,186,5.194786785010365,2.1974923349916935
57,"[128, 228, 390, 338, 390, 327, 403]",7.664586422994034,128022803900338039003270403,58,189,5.345804196011159,2.231877682977938
