,solution,time,obj value,solve_calls_sat,solve_calls_unsat,time_solve_sat,time_solve_unsat
0,"[174, 298, 275, 373, 268, 289, 284, 268, 279]",0.050896330998511985,17402980275037302680289028402680279,1,0,0.05089716501242947,0.0
1,"[174, 298, 277, 378, 269, 287, 288, 268, 279]",0.27861543200560845,17402980277037802690287028802680279,2,5,0.16087587701622397,0.11730617798457388
2,"[175, 290, 274, 378, 270, 293, 278, 266, 279]",0.6428721560077975,17502900274037802700293027802660279,3,13,0.2859994130267296,0.35556948199518956
3,"[175, 290, 276, 383, 271, 291, 282, 266, 279]",0.8637045089999447,17502900276038302710291028202660279,4,18,0.3852374860289274,0.4765393209963804
4,"[175, 292, 274, 373, 264, 286, 286, 264, 280]",1.1586343350063544,17502920274037302640286028602640280,5,25,0.5079310340370284,0.6479620830214117
5,"[175, 292, 276, 378, 265, 284, 290, 264, 280]",1.5693751000071643,17502920276037802650284029002640280,6,32,0.6214044810330961,0.9444490030145971
6,"[175, 296, 277, 366, 271, 286, 286, 274, 276]",1.9735070900060236,17502960277036602710286028602740276,7,41,0.7564602670317981,1.2123554370191414
7,"[175, 296, 279, 371, 272, 284, 290, 274, 276]",2.338936116997502,17502960279037102720284029002740276,8,49,0.8817437470279401,1.4514810910186497
8,"[175, 300, 275, 373, 265, 296, 285, 273, 287]",2.8763041409984,17503000275037302650296028502730287,9,60,1.0576569220284,1.8112869530159514
9,"[175, 300, 276, 370, 265, 287, 287, 264, 278]",3.2824084290041355,17503000276037002650287028702640278,10,69,1.164250695030205,2.1094916450529126
10,"[175, 300, 276, 375, 268, 291, 276, 262, 282]",3.5482848990068305,17503000276037502680291027602620282,11,74,1.2783093710313551,2.2606147290352965
11,"[175, 300, 278, 375, 266, 285, 291, 264, 278]",4.184324355999706,17503000278037502660285029102640278,12,85,1.44129512301879,2.7317489270790247
12,"[175, 300, 278, 380, 269, 289, 280, 262, 282]",4.6603471230046125,17503000278038002690289028002620282,13,95,1.5817579270224087,3.0656578160851495
13,"[175, 304, 279, 374, 269, 296, 277, 265, 276]",5.513073121997877,17503040279037402690296027702650276,14,109,1.8227534030302195,3.674456055086921
14,"[175, 304, 281, 379, 270, 294, 281, 265, 276]",6.040501256997231,17503040281037902700294028102650276,15,122,1.9867924890277209,4.035326041092048
15,"[176, 284, 273, 378, 266, 290, 280, 262, 280]",6.788870232994668,17602840273037802660290028002620280,16,136,2.2240303820290137,4.54298178209865
16,"[176, 284, 275, 383, 267, 288, 284, 262, 280]",7.032584247994237,17602840275038302670288028402620280,17,141,2.3308522700390313,4.67922172411636
17,"[176, 288, 276, 371, 273, 290, 280, 272, 276]",7.496193918006611,17602880276037102730290028002720276,18,148,2.6031646450283006,4.869454709114507
18,"[176, 288, 278, 376, 274, 288, 284, 272, 276]",7.876971610006876,17602880278037602740288028402720276,19,155,2.764094770027441,5.088344113115454
19,"[176, 290, 276, 366, 267, 283, 288, 270, 277]",8.397635784000158,17602900276036602670283028802700277,20,165,2.919144457031507,5.452358653099509
20,"[176, 290, 278, 371, 268, 281, 292, 270, 277]",8.8849175189971,17602900278037102680281029202700277,21,174,3.042950658040354,5.814420351118315
21,"[176, 291, 278, 374, 269, 288, 282, 269, 277]",9.541826710003079,17602910278037402690288028202690277,22,185,3.2449260580469854,6.267279837105889
22,"[176, 291, 280, 379, 270, 286, 286, 269, 277]",10.16663337800128,17602910280037902700286028602690277,23,194,3.462508372045704,6.672740407128003
23,"[176, 292, 274, 378, 267, 300, 279, 271, 287]",10.939865259002545,17602920274037802670300027902710287,24,207,3.719448326039128,7.1862341551313875
24,"[176, 292, 275, 375, 267, 291, 281, 262, 278]",11.455686914006947,17602920275037502670291028102620278,25,215,3.903623485035496,7.516572496155277
25,"[176, 292, 275, 380, 270, 295, 270, 260, 282]",11.882284339997568,17602920275038002700295027002600282,26,220,4.05131018103566,7.794603014161112
26,"[176, 292, 277, 380, 268, 289, 285, 262, 278]",12.858760664006695,17602920277038002680289028502620278,27,230,4.383768640036578,8.436270011152374
27,"[176, 292, 277, 385, 271, 293, 274, 260, 282]",13.680567161994986,17602920277038502710293027402600282,28,242,4.539438297026209,9.09988777115359
28,"[176, 294, 274, 373, 261, 293, 287, 269, 288]",14.615664272001595,17602940274037302610293028702690288,29,256,4.794928097020602,9.775529886144795
29,"[176, 294, 275, 370, 261, 284, 289, 260, 279]",15.08454590299516,17602940275037002610284028902600279,30,264,4.959975227029645,10.077837003147579
30,"[176, 294, 275, 375, 264, 288, 278, 258, 283]",15.492498460997012,17602940275037502640288027802580283,31,270,5.124227923035505,10.320556101112743
31,"[176, 294, 277, 375, 262, 282, 293, 260, 279]",16.519111351997708,17602940277037502620282029302600279,32,283,5.298997175035765,11.169389094095095
32,"[176, 294, 277, 380, 265, 286, 282, 258, 283]",17.194453354997677,17602940277038002650286028202580283,33,294,5.439547457033768,11.702036617090926
33,"[176, 296, 275, 372, 264, 296, 286, 265, 275]",18.715991414996097,17602960275037202640296028602650275,34,313,5.710257935032132,12.946566629063454
34,"[176, 296, 277, 377, 265, 294, 290, 265, 275]",19.684369857001002,17602960277037702650294029002650275,35,326,5.9801254070334835,13.642038666061126
35,"[176, 296, 278, 379, 271, 300, 271, 263, 276]",20.846995294996304,17602960278037902710300027102630276,36,341,6.23223584103107,14.547967213075026
36,"[176, 296, 280, 384, 272, 298, 275, 263, 276]",22.235023008004646,17602960280038402720298027502630276,37,361,6.55271796703164,15.609355151056661
37,"[176, 298, 277, 366, 268, 293, 287, 279, 284]",23.69122198400146,17602980277036602680293028702790284,38,382,6.856331478033098,16.753847353102174
38,"[176, 298, 278, 363, 268, 284, 289, 270, 275]",25.110924135005916,17602980278036302680284028902700275,39,400,7.060000339042745,17.96443682514655
39,"[176, 298, 278, 368, 271, 288, 278, 268, 279]",25.525121811995632,17602980278036802710288027802680279,40,405,7.22659452703374,18.21049115115602
40,"[176, 298, 278, 374, 265, 293, 279, 261, 277]",26.39178129400534,17602980278037402650293027902610277,41,417,7.391000673029339,18.90985461517994
41,"[176, 298, 280, 368, 269, 282, 293, 270, 275]",28.337184592994163,17602980280036802690282029302700275,42,439,7.638668858024175,20.599330332202953
42,"[176, 298, 280, 373, 272, 286, 282, 268, 279]",29.103477516997373,17602980280037302720286028202680279,43,451,7.823707796022063,21.17741918421234
43,"[176, 298, 280, 379, 266, 291, 283, 261, 277]",30.35297187199467,17602980280037902660291028302610277,44,467,8.04844884101476,22.196897784247994
44,"[176, 300, 270, 380, 274, 281, 286, 269, 277]",32.47591559300781,17603000270038002740281028602690277,45,490,8.37217117700493,23.98457276125555
