,solution,time,obj value,solve_calls_sat,solve_calls_unsat,time_solve_sat,time_solve_unsat
0,"[-1221, -880, -874, -808, -1070, -1097, -837, -729, -992, -973]",0.039157379884272814,-1221088008740808107010970837072909920973,1,0,0.03915862273424864,0.0
1,"[-1216, -900, -828, -879, -1146, -1147, -835, -771, -1030, -916]",0.1565929721109569,-1216090008280879114611470835077110300916,2,8,0.12072053365409374,0.03510058671236038
2,"[-1215, -961, -824, -887, -1051, -1057, -817, -750, -1006, -989]",0.25949319498613477,-1215096108240887105110570817075010060989,3,17,0.17492001270875335,0.08270702976733446
3,"[-1206, -908, -767, -780, -933, -1003, -746, -663, -947, -1026]",0.49038414284586906,-1206090807670780093310030746066309471026,4,27,0.3137408159673214,0.17349067609757185
4,"[-1206, -883, -842, -791, -1093, -1115, -885, -754, -1074, -983]",0.6000853548757732,-1206088308420791109311150885075410740983,5,35,0.36011198395863175,0.23542229644954205
5,"[-1205, -944, -838, -799, -998, -1025, -867, -733, -1050, -1056]",0.8803242109715939,-1205094408380799099810250867073310501056,6,47,0.5121570429764688,0.3615852566435933
6,"[-1205, -920, -772, -896, -1013, -1131, -880, -809, -1057, -1039]",1.021898068021983,-1205092007720896101311310880080910571039,7,55,0.5712237800471485,0.4428073042072356
7,"[-1205, -885, -827, -839, -1071, -1042, -768, -753, -914, -935]",1.2336115702055395,-1205088508270839107110420768075309140935,8,65,0.6370950797572732,0.5867911512032151
8,"[-1203, -897, -860, -929, -1113, -1064, -817, -777, -908, -966]",1.7304628849960864,-1203089708600929111310640817077709080966,9,78,0.9182009128853679,0.7995099499821663
9,"[-1200, -964, -792, -870, -1074, -1075, -865, -775, -1088, -999]",2.3317521130666137,-1200096407920870107410750865077510880999,10,93,1.2368607320822775,1.0786670218221843
10,"[-1200, -874, -810, -778, -1049, -1023, -784, -718, -958, -991]",2.842956846114248,-1200087408100778104910230784071809580991,11,108,1.4106326098553836,1.4127592602744699
