,solution,time,obj value,solve_calls_sat,solve_calls_unsat,time_solve_sat,time_solve_unsat
0,"[-1280, -933, -857, -848]",0.028863701038062572,-1280093308570848,1,0,0.028865288943052292,0.0
1,"[-1274, -920, -870, -832]",0.0558456601575017,-1274092008700832,2,0,0.052625773940235376,0.0
2,"[-1269, -967, -1006, -919]",0.09811189724132419,-1269096710060919,3,0,0.09340567514300346,0.0
3,"[-1245, -998, -882, -890]",0.20826437696814537,-1245099808820890,4,0,0.2020460399799049,0.0
4,"[-1243, -871, -927, -920]",0.32570522790774703,-1243087109270920,5,0,0.31786563992500305,0.0
5,"[-1243, -859, -824, -922]",0.4752763290889561,-1243085908240922,6,0,0.4658516808412969,0.0
6,"[-1230, -919, -928, -937]",0.7180624790489674,-1230091909280937,7,0,0.7070258357562125,0.0
7,"[-1229, -980, -952, -876]",0.8477965369820595,-1229098009520876,8,0,0.8352728309109807,0.0
8,"[-1229, -886, -965, -946]",1.2309922319836915,-1229088609650946,9,0,1.216855175793171,0.0
9,"[-1228, -916, -821, -946]",1.478890798985958,-1228091608210946,10,0,1.463043013587594,0.0
10,"[-1227, -963, -1014, -919]",1.645225569140166,-1227096310140919,11,0,1.6277916496619582,0.0
11,"[-1226, -1055, -947, -853]",1.8325401898473501,-1226105509470853,12,0,1.8134715324267745,0.0
12,"[-1224, -906, -941, -921]",2.1508352691307664,-1224090609410921,13,0,2.1301454193890095,0.0
13,"[-1222, -965, -1036, -883]",2.331566734239459,-1222096510360883,14,0,2.3091811700724065,0.0
14,"[-1220, -988, -948, -914]",2.5539956209249794,-1220098809480914,15,0,2.5300294402986765,0.0
15,"[-1217, -985, -1012, -858]",2.805234584957361,-1217098510120858,16,0,2.779660859145224,0.0
16,"[-1214, -1017, -995, -842]",3.1240593609400094,-1214101709950842,17,0,3.0968733932822943,0.0
17,"[-1214, -866, -1038, -845]",3.5755980010144413,-1214086610380845,18,0,3.5466920332983136,0.0
18,"[-1213, -928, -987, -994]",4.014525434933603,-1213092809870994,19,0,3.984008338302374,0.0
19,"[-1210, -965, -1008, -936]",4.524062732234597,-1210096510080936,20,0,4.491949158255011,0.0
20,"[-1210, -939, -1059, -953]",4.955289325211197,-1210093910590953,21,0,4.921568898949772,0.0
21,"[-1209, -1057, -941, -870]",5.214257764164358,-1209105709410870,22,0,5.178849172312766,0.0
22,"[-1207, -971, -1042, -937]",5.550992927979678,-1207097110420937,23,0,5.513983383309096,0.0
23,"[-1207, -884, -1008, -958]",6.276571583934128,-1207088410080958,24,0,6.237972253933549,0.0
24,"[-1206, -1007, -1058, -931]",6.62217826815322,-1206100710580931,25,0,6.581944572739303,0.0
25,"[-1204, -895, -1080, -917]",7.282986104954034,-1204089510800917,26,0,7.241065051406622,0.0
26,"[-1202, -1030, -906, -884]",7.591489844024181,-1202103009060884,27,0,7.54795961920172,0.0
27,"[-1202, -1009, -981, -927]",7.9640943659469485,-1202100909810927,28,0,7.918915039859712,0.0
28,"[-1202, -927, -933, -1004]",8.761497048195451,-1202092709331004,29,0,8.714700195007026,0.0
29,"[-1200, -963, -1079, -895]",9.261344036087394,-1200096310790895,30,0,9.212825377937406,0.0
30,"[-1200, -960, -1074, -989]",10.065440805163234,-1200096010740989,31,0,10.0152717679739,0.0
31,"[-1199, -964, -954, -946]",10.780899114906788,-1199096409540946,32,0,10.729008722584695,0.0
32,"[-1197, -1019, -989, -859]",11.175922242924571,-1197101909890859,33,0,11.12235002964735,0.0
33,"[-1197, -903, -1001, -991]",12.099953665863723,-1197090310010991,34,0,12.044640272390097,0.0
34,"[-1196, -1073, -961, -827]",12.465333648957312,-1196107309610827,35,0,12.408441572450101,0.0
35,"[-1195, -984, -953, -979]",13.116951386909932,-1195098409530979,36,0,13.058430270291865,0.0
36,"[-1195, -940, -985, -996]",13.975015950854868,-1195094009850996,37,0,13.91487247729674,0.0
37,"[-1194, -1025, -1023, -860]",14.365098836831748,-1194102510230860,38,0,14.303258441388607,0.0
38,"[-1190, -1027, -1001, -848]",14.933466426096857,-1190102710010848,39,0,14.869979535229504,0.0
39,"[-1189, -1063, -962, -850]",15.68929336220026,-1189106309620850,40,0,15.6241813194938,0.0
40,"[-1187, -1014, -1055, -912]",16.41530061000958,-1187101410550912,41,0,16.34856709977612,0.0
41,"[-1185, -1032, -900, -901]",17.26480144727975,-1185103209000901,42,0,17.196356838569045,0.0
42,"[-1183, -1049, -997, -812]",17.8618947500363,-1183104909970812,43,0,17.79184244154021,0.0
43,"[-1182, -1038, -934, -902]",18.663529395125806,-1182103809340902,44,0,18.591890073381364,0.0
44,"[-1180, -1055, -1031, -813]",19.451785383280367,-1180105510310813,45,0,19.378566527739167,0.0
45,"[-1179, -1075, -955, -844]",20.09599681198597,-1179107509550844,46,0,20.021089548710734,0.0
46,"[-1179, -966, -1023, -965]",21.611153813079,-1179096610230965,47,0,21.53460585558787,0.0
47,"[-1176, -1041, -1018, -942]",22.662194065283984,-1176104110180942,48,0,22.584052762482315,0.0
48,"[-1176, -991, -950, -960]",24.391206480097026,-1176099109500960,49,0,24.311444906517863,0.0
49,"[-1175, -857, -893, -1013]",26.41200789809227,-1175085708931013,50,0,26.330495310481638,0.0
50,"[-1172, -1045, -1094, -902]",27.22645084699616,-1172104510940902,51,0,27.143294516485184,0.0
51,"[-1171, -1063, -1027, -851]",27.96702940389514,-1171106310270851,52,0,27.88227847032249,0.0
52,"[-1170, -841, -1035, -1022]",30.218595310114324,-1170084110351022,53,0,30.13225394813344,0.0
53,"[-1169, -1070, -1021, -897]",31.17129196692258,-1169107010210897,54,0,31.083249506074935,0.0
54,"[-1169, -950, -1076, -933]",32.88932576496154,-1169095010760933,55,0,32.79967282200232,0.0
55,"[-1168, -918, -1084, -995]",34.59801334096119,-1168091810840995,56,0,34.50673768669367,0.0
56,"[-1164, -1050, -932, -904]",36.06227642484009,-1164105009320904,57,0,35.96941998787224,0.0
57,"[-1164, -1003, -1066, -931]",37.88477047625929,-1164100310660931,58,0,37.79012434883043,0.0
58,"[-1164, -884, -1090, -965]",40.44393997406587,-1164088410900965,59,0,40.34762150608003,0.0
59,"[-1164, -852, -1109, -934]",43.20345498807728,-1164085211090934,60,0,43.105549165047705,0.0
60,"[-1163, -967, -986, -945]",45.41839445522055,-1163096709860945,61,0,45.31889559188858,0.0
61,"[-1163, -937, -1089, -917]",47.48568526795134,-1163093710890917,62,0,47.384485677815974,0.0
62,"[-1161, -884, -1092, -918]",49.77600923087448,-1161088410920918,63,0,49.673140700906515,0.0
63,"[-1160, -973, -1020, -946]",51.854317218996584,-1160097310200946,64,0,51.74979268293828,0.0
64,"[-1159, -1081, -976, -824]",52.98912629624829,-1159108109760824,65,0,52.883013733662665,0.0
65,"[-1159, -1043, -1012, -959]",54.99148269696161,-1159104310120959,66,0,54.88363220682368,0.0
66,"[-1159, -909, -889, -1016]",58.641830815933645,-1159090908891016,67,0,58.53228666866198,0.0
67,"[-1158, -936, -1067, -992]",60.74070052895695,-1158093610670992,68,0,60.6295577804558,0.0
68,"[-1157, -1048, -1015, -923]",62.246723318938166,-1157104810150923,69,0,62.13387269480154,0.0
69,"[-1157, -893, -1110, -881]",64.80262389220297,-1157089311100881,70,0,64.68798510404304,0.0
70,"[-1156, -1065, -1037, -819]",66.15591851389036,-1156106510370819,71,0,66.03968953480944,0.0
71,"[-1155, -977, -996, -1007]",68.62978710094467,-1155097709961007,72,0,68.51196887670085,0.0
72,"[-1153, -1084, -1060, -864]",69.88290755311027,-1153108410600864,73,0,69.76348778279498,0.0
73,"[-1153, -1052, -1091, -883]",72.01742907986045,-1153105210910883,74,0,71.89621082460508,0.0
74,"[-1153, -958, -1104, -953]",74.45712326513603,-1153095811040953,75,0,74.33422682574019,0.0
75,"[-1152, -1014, -1017, -949]",76.77810986712575,-1152101410170949,76,0,76.65353009244427,0.0
76,"[-1152, -892, -1088, -956]",79.44825392309576,-1152089210880956,77,0,79.32204924151301,0.0
77,"[-1151, -981, -1016, -984]",83.31087303999811,-1151098110160984,78,0,83.18293257942423,0.0
78,"[-1151, -920, -1078, -1012]",86.16735170315951,-1151092010781012,79,0,86.03782449336722,0.0
79,"[-1150, -949, -1150, -984]",88.82936978293583,-1150094911500984,80,0,88.69823884917423,0.0
80,"[-1149, -984, -1037, -939]",91.83143752394244,-1149098410370939,81,0,91.69858982414007,0.0
81,"[-1148, -978, -1080, -928]",94.54633646598086,-1148097810800928,82,0,94.4117916659452,0.0
82,"[-1148, -926, -1112, -1013]",97.61412622826174,-1148092611121013,83,0,97.47798970621079,0.0
83,"[-1148, -839, -1078, -1034]",101.30244035692886,-1148083910781034,84,0,101.16470646299422,0.0
84,"[-1147, -1005, -1060, -948]",104.4527955618687,-1147100510600948,85,0,104.31347438087687,0.0
85,"[-1147, -935, -1013, -1002]",107.3912289859727,-1147093510131002,86,0,107.25017338013276,0.0
86,"[-1146, -1059, -1032, -916]",109.4709629449062,-1146105910320916,87,0,109.3283317280002,0.0
87,"[-1146, -1015, -1064, -933]",112.40517230983824,-1146101510640933,88,0,112.26092778192833,0.0
88,"[-1145, -1022, -1035, -925]",114.59919422492385,-1145102210350925,89,0,114.45321594458073,0.0
89,"[-1144, -1011, -1094, -949]",116.92298303497955,-1144101110940949,90,0,116.77530387369916,0.0
90,"[-1143, -939, -1044, -996]",120.8994815130718,-1143093910440996,91,0,120.75019972771406,0.0
91,"[-1140, -1050, -1009, -940]",123.31476338719949,-1140105010090940,92,0,123.16387878265232,0.0
92,"[-1140, -1013, -1072, -937]",125.68632528325543,-1140101310720937,93,0,125.5338405338116,0.0
93,"[-1140, -948, -1065, -994]",129.23697710596025,-1140094810650994,94,0,129.08279750077054,0.0
94,"[-1139, -1086, -894, -763]",131.25406669685617,-1139108608940763,95,0,131.09825909137726,0.0
95,"[-1139, -1049, -1033, -939]",133.71841308288276,-1139104910330939,96,0,133.56102281343192,0.0
96,"[-1138, -967, -1115, -913]",136.79384685494006,-1138096711150913,97,0,136.63482162216678,0.0
97,"[-1137, -1000, -1126, -1001]",139.83434011694044,-1137100011261001,98,0,139.67345579434186,0.0
98,"[-1136, -1086, -1054, -881]",142.02927292510867,-1136108610540881,99,0,141.86677794717252,0.0
99,"[-1135, -1091, -846, -825]",144.29881211929023,-1135109108460825,100,0,144.13459393428639,0.0
100,"[-1135, -890, -1054, -1051]",148.54548328602687,-1135089010541051,101,0,148.37963237054646,0.0
101,"[-1133, -927, -1045, -1009]",153.26840386493132,-1133092710451009,102,0,153.10072832740843,0.0
102,"[-1132, -1020, -1038, -929]",157.07998242927715,-1132102010380929,103,0,156.91063611442223,0.0
103,"[-1132, -980, -1037, -1008]",162.0011974722147,-1132098010371008,104,0,161.83023151941597,0.0
104,"[-1132, -901, -1126, -1010]",166.6650774832815,-1132090111261010,105,0,166.492478760425,0.0
105,"[-1131, -956, -1147, -965]",170.0671682911925,-1131095611470965,106,0,169.89273396972567,0.0
106,"[-1130, -1094, -890, -801]",173.1870153369382,-1130109408900801,107,0,173.01097365980968,0.0
107,"[-1130, -1041, -1102, -902]",176.67292870907113,-1130104111020902,108,0,176.49524601595476,0.0
108,"[-1130, -938, -1110, -1015]",180.24539014790207,-1130093811101015,109,0,180.0660719918087,0.0
109,"[-1129, -1063, -1064, -925]",183.22373774508014,-1129106310640925,110,0,183.04262214992195,0.0
110,"[-1129, -1061, -1026, -933]",186.16048052022234,-1129106110260933,111,0,185.9777539409697,0.0
111,"[-1129, -1017, -1058, -950]",189.96072398405522,-1129101710580950,112,0,189.7763512362726,0.0
112,"[-1128, -907, -956, -1016]",196.92867710907012,-1128090709561016,113,0,196.7426643143408,0.0
113,"[-1127, -1066, -1029, -897]",199.56896993983537,-1127106610290897,114,0,199.38113126531243,0.0
114,"[-1126, -1023, -1092, -951]",203.46776179596782,-1126102310920951,115,0,203.27818849729374,0.0
115,"[-1124, -889, -1000, -1061]",210.59224165324122,-1124088910001061,116,0,210.40105639444664,0.0
116,"[-1121, -979, -983, -1018]",215.89178529102355,-1121097909831018,117,0,215.69892679154873,0.0
117,"[-1121, -856, -1072, -1022]",222.0820770538412,-1121085610721022,118,0,221.88752243295312,0.0
118,"[-1119, -1012, -1124, -1003]",227.6371331992559,-1119101211241003,119,0,227.44098363397643,0.0
119,"[-1119, -902, -932, -1044]",234.8860448668711,-1119090209321044,120,0,234.68821581825614,0.0
120,"[-1117, -902, -1052, -1053]",242.12418976519257,-1117090210521053,121,0,241.92475000908598,0.0
121,"[-1116, -1091, -972, -820]",245.8521841201,-1116109109720820,122,0,245.65101163694635,0.0
