,solution,time,obj value,solve_calls_sat,solve_calls_unsat,time_solve_sat,time_solve_unsat
0,"[-1280, -933, -857, -848, -907]",0.03142350958660245,-12800933085708480907,1,0,0.03142555570229888,0.0
1,"[-1274, -920, -870, -832, -897]",0.07552703889086843,-12740920087008320897,2,3,0.06371554872021079,0.011492970865219831
2,"[-1274, -913, -805, -792, -942]",0.11281299497932196,-12740913080507920942,3,5,0.09327028039842844,0.01890289317816496
3,"[-1271, -919, -839, -793, -953]",0.2026088386774063,-12710919083907930953,4,8,0.15918941143900156,0.04207015037536621
4,"[-1269, -967, -1006, -919, -991]",0.25701881060376763,-12690967100609190991,5,11,0.1896566296927631,0.0653652329929173
5,"[-1266, -966, -975, -880, -1047]",0.3274005060084164,-12660966097508801047,6,14,0.23983637848868966,0.08501201681792736
6,"[-1260, -953, -988, -864, -1037]",0.4304769625887275,-12600953098808641037,7,17,0.3171791476197541,0.10991547023877501
7,"[-1252, -941, -862, -915, -1006]",0.6059395847842097,-12520941086209151006,8,20,0.4521162318997085,0.1495597641915083
8,"[-1245, -998, -882, -890, -941]",0.8016324238851666,-12450998088208900941,9,23,0.6018978110514581,0.1943219043314457
9,"[-1243, -871, -927, -920, -957]",1.1693100207485259,-12430871092709200957,10,26,0.925360226072371,0.23756904946640134
10,"[-1243, -859, -824, -922, -887]",1.2798693017102778,-12430859082409220887,11,28,1.0030708122067153,0.26952136773616076
11,"[-1240, -870, -896, -881, -1013]",1.6940418547019362,-12400870089608811013,12,31,1.34127793693915,0.3438612916506827
12,"[-1239, -978, -830, -834, -976]",2.012891511898488,-12390978083008340976,13,34,1.5818507107906044,0.4204163704998791
13,"[-1231, -882, -827, -809, -1077]",2.70936016459018,-12310882082708091077,14,37,2.184005791787058,0.5130845396779478
14,"[-1230, -919, -928, -937, -841]",3.2304169666022062,-12300919092809370841,15,40,2.5697704665362835,0.6463608518242836
15,"[-1230, -891, -911, -917, -992]",3.5086931926198304,-12300891091109170992,16,42,2.795120047405362,0.6980393147096038
16,"[-1229, -980, -952, -876, -998]",4.031094346661121,-12290980095208760998,17,45,3.164054684340954,0.8493702537380159
17,"[-1229, -886, -965, -946, -838]",4.144545627757907,-12290886096509460838,18,47,3.250799045432359,0.8749941485002637
18,"[-1228, -916, -821, -946, -861]",4.925135117024183,-12280916082109460861,19,50,3.8734905775636435,1.0304357898421586
19,"[-1227, -963, -1014, -919, -940]",5.439543751999736,-12270963101409190940,20,53,4.254865221679211,1.160912579856813
20,"[-1226, -1055, -947, -853, -959]",5.958942785859108,-12261055094708530959,21,56,4.625694909598678,1.3070517550222576
21,"[-1225, -871, -822, -924, -911]",6.867844847030938,-12250871082209240911,22,59,5.426795682869852,1.4125183620490134
22,"[-1224, -962, -983, -880, -996]",7.512516379822046,-12240962098308800996,23,62,5.886805153917521,1.5937968706712127
23,"[-1224, -906, -941, -921, -831]",7.7046264805831015,-12240906094109210831,24,64,6.036084352992475,1.634879609104246
24,"[-1223, -932, -887, -818, -1069]",8.649185605812818,-12230932088708181069,25,67,6.7966271080076694,1.8155901073478162
25,"[-1222, -965, -1036, -883, -917]",9.405134037602693,-12220965103608830917,26,70,7.38794058188796,1.9769317493773997
26,"[-1222, -959, -876, -889, -1016]",9.58781941095367,-12220959087608891016,27,72,7.530800078995526,2.0148880598135293
27,"[-1220, -1035, -895, -797, -994]",10.20030652359128,-12201035089507970994,28,75,7.95272869663313,2.2018523667939007
28,"[-1220, -988, -948, -914, -944]",10.348047368694097,-12200988094809140944,29,77,8.08489054068923,2.2155092754401267
29,"[-1220, -910, -1017, -881, -949]",10.707343071699142,-12200910101708810949,30,79,8.4077865537256,2.2497786632739007
30,"[-1220, -855, -964, -933, -843]",11.138413527980447,-12200855096409330843,31,81,8.765104655176401,2.320708461571485
31,"[-1218, -932, -1013, -906, -945]",12.435580947902054,-12180932101309060945,32,84,9.741772693116218,2.6361302793957293
32,"[-1217, -985, -1012, -858, -910]",13.413799820002168,-12170985101208580910,33,87,10.381220357958227,2.970483646262437
33,"[-1217, -919, -900, -802, -1059]",14.011450459714979,-12170919090008021059,34,89,10.941192219033837,3.005682712420821
34,"[-1216, -939, -824, -833, -1051]",15.452383247669786,-12160939082408331051,35,92,12.094431370031089,3.2882903395220637
35,"[-1215, -931, -982, -867, -1001]",16.750438776798546,-12150931098208671001,36,95,13.088976650033146,3.5866740313358605
36,"[-1214, -1017, -995, -842, -939]",17.79961193399504,-12141017099508420939,37,98,13.783944038208574,3.9355487409047782
37,"[-1214, -1010, -930, -802, -984]",17.977691339794546,-12141010093008020984,38,100,13.928140420466661,3.966660928912461
38,"[-1214, -984, -981, -819, -966]",18.347310084849596,-12140984098108190966,39,102,14.257157385349274,4.004213674925268
39,"[-1214, -866, -1038, -845, -977]",18.790644025895745,-12140866103808450977,40,104,14.644134603440762,4.057168323080987
40,"[-1213, -951, -1018, -828, -963]",20.291675230953842,-12130951101808280963,41,107,15.633628354407847,4.56197828380391
41,"[-1213, -928, -987, -994, -845]",20.621835205703974,-12130928098709940845,42,109,15.885028523392975,4.636980187147856
42,"[-1213, -921, -922, -954, -890]",21.159106090664864,-12130921092209540890,43,111,16.277642050292343,4.777467343490571
43,"[-1212, -898, -891, -932, -918]",23.070942834950984,-12120898089109320918,44,114,17.728698265273124,5.231568407267332
44,"[-1211, -1016, -964, -803, -995]",24.450375522021204,-12111016096408030995,45,117,18.51106923026964,5.821410065982491
45,"[-1211, -941, -1033, -822, -938]",24.979560201987624,-12110941103308220938,46,119,18.993882494512945,5.864174772519618
46,"[-1211, -865, -1007, -806, -1033]",25.704294648952782,-12110865100708061033,47,121,19.58258857578039,5.995829958934337
47,"[-1210, -965, -1008, -936, -989]",27.52482137363404,-12100965100809360989,48,124,20.771847564727068,6.618676820304245
48,"[-1210, -939, -1059, -953, -971]",28.000198600813746,-12100939105909530971,49,126,21.141708670649678,6.7199555593542755
49,"[-1210, -927, -956, -955, -901]",28.698046492878348,-12100927095609550901,50,128,21.749997564591467,6.8048037136904895
50,"[-1209, -1057, -941, -870, -1008]",29.977643886581063,-12091057094108701008,51,131,22.44175823777914,7.384825992863625
51,"[-1209, -935, -912, -874, -1062]",30.612074221950024,-12090935091208741062,52,133,23.04600390372798,7.410984349902719
52,"[-1208, -940, -1002, -783, -994]",32.72193650063127,-12080940100207830994,53,136,24.71240602200851,7.8464525463059545
53,"[-1208, -921, -917, -770, -1069]",33.60659678466618,-12080921091707701069,54,138,25.42006919812411,8.01812671823427
54,"[-1207, -971, -1042, -937, -1000]",35.45747652091086,-12070971104209371000,55,141,26.592107077129185,8.688050442375243
55,"[-1207, -964, -977, -897, -1045]",35.90626184688881,-12070964097708971045,56,143,26.951081479433924,8.772907499223948
56,"[-1207, -884, -1008, -958, -873]",36.73654043069109,-12070884100809580873,57,145,27.686891564633697,8.86212357506156
57,"[-1206, -1007, -1058, -931, -924]",38.699389989022166,-12061007105809310924,58,148,28.972722735721618,9.52913034381345
58,"[-1206, -941, -946, -875, -1073]",39.689648042898625,-12060941094608751073,59,150,29.881611143704504,9.605243323836476
59,"[-1206, -934, -881, -835, -1118]",40.93543319357559,-12060934088108351118,60,152,30.96754797641188,9.75898775877431
60,"[-1205, -1003, -977, -787, -985]",43.07666503684595,-12051003097707870985,61,155,32.405564529355615,10.45261701848358
61,"[-1205, -996, -912, -747, -1030]",43.55186711391434,-12050996091207471030,62,157,32.78566574957222,10.542100466322154
62,"[-1205, -991, -925, -918, -1004]",44.160005192738026,-12050991092509181004,63,159,33.30904373154044,10.620805313810706
63,"[-1204, -1005, -996, -855, -945]",46.67886257497594,-12041005099608550945,64,162,35.16622664267197,11.272974158171564
64,"[-1204, -897, -986, -981, -850]",47.7071768976748,-12040897098609810850,65,164,36.10192528460175,11.359333013184369
65,"[-1204, -895, -1080, -917, -999]",48.632283431943506,-12040895108009170999,66,166,36.76679776282981,11.61098201526329
66,"[-1203, -1016, -941, -852, -1034]",50.61723034083843,-12031016094108521034,67,169,37.91905487375334,12.431602739728987
67,"[-1203, -1006, -1027, -892, -980]",51.072022216860205,-12031006102708920980,68,171,38.27507659373805,12.523805669974536
68,"[-1202, -1030, -906, -884, -814]",53.243352092802525,-12021030090608840814,69,174,39.80370544735342,13.156111384741962
69,"[-1202, -1009, -981, -927, -923]",53.93956098379567,-12021009098109270923,70,176,40.40367775131017,13.245523295830935
70,"[-1202, -927, -933, -1004, -940]",54.96136947302148,-12020927093310040940,71,178,41.34013665653765,13.323774723801762
71,"[-1201, -951, -990, -881, -1035]",58.1642672107555,-12010951099008811035,72,181,43.714178959373385,14.139697630889714
72,"[-1200, -963, -1079, -895, -952]",61.122338603716344,-12000963107908950952,73,184,45.83679953869432,14.962945404928178
73,"[-1200, -960, -1074, -989, -950]",61.9540644986555,-12000960107409890950,74,186,46.50512527069077,15.118325162213296
74,"[-1200, -921, -894, -819, -1108]",63.61831583501771,-12000921089408191108,75,188,48.04469079244882,15.234690878540277
75,"[-1199, -998, -966, -850, -1008]",66.77467635972425,-11990998096608501008,76,191,50.24904303345829,16.172277522739023
76,"[-1199, -991, -901, -810, -1053]",67.46022326359525,-11990991090108101053,77,193,50.79465206246823,16.303890840616077
77,"[-1199, -971, -873, -862, -1039]",68.2821613047272,-11990971087308621039,78,195,51.4981010905467,16.413717630319297
78,"[-1199, -964, -954, -946, -1084]",69.25684742070735,-11990964095409461084,79,197,52.330732624512166,16.546436741482466
79,"[-1198, -940, -1041, -924, -1005]",72.22367580980062,-11980940104109241005,80,200,54.547062690369785,17.283571999054402
80,"[-1198, -933, -976, -884, -1050]",73.48077467596158,-11980933097608841050,81,202,55.634421733208,17.443779000081122
81,"[-1197, -1019, -989, -859, -988]",76.57564477762207,-11971019098908590988,82,205,57.698584779165685,18.459240668453276
82,"[-1197, -996, -889, -796, -1069]",77.32696777163073,-11970996088907961069,83,207,58.338351319078356,18.56185629637912
83,"[-1197, -993, -1040, -876, -970]",78.01261096680537,-11970993104008760970,84,209,58.892355527263135,18.683743440080434
84,"[-1197, -986, -975, -836, -1015]",79.09704955294728,-11970986097508361015,85,211,59.846725611481816,18.804058119188994
85,"[-1197, -962, -1048, -856, -1008]",80.34915725374594,-11970962104808561008,86,213,60.93904594844207,18.953301591798663
86,"[-1197, -959, -1043, -950, -1006]",81.42229922488332,-11970959104309501006,87,215,61.86234978958964,19.09256317000836
87,"[-1197, -903, -1001, -991, -841]",82.65488954866305,-11970903100109910841,88,217,62.97205874230713,19.204636876937002
88,"[-1196, -1073, -961, -827, -969]",86.44336951896548,-11961073096108270969,89,220,65.6653337944299,20.281655519269407
89,"[-1196, -883, -954, -968, -968]",87.95484261866659,-11960883095409680968,90,222,67.06623694114387,20.382152948528528
90,"[-1195, -991, -978, -800, -991]",91.83638110058382,-11950991097808000991,91,225,69.80877259746194,21.50098618073389
91,"[-1195, -984, -953, -979, -875]",93.02900553261861,-11950984095309790875,92,227,70.81807780545205,21.67293909052387
92,"[-1195, -940, -985, -996, -869]",94.48658700473607,-11950940098509960869,93,229,72.08646434918046,21.850207780022174
93,"[-1194, -1025, -1023, -860, -999]",97.93527495861053,-11941025102308600999,94,232,74.31693720212206,23.05071515729651
94,"[-1194, -1018, -958, -820, -1044]",98.60385713400319,-11941018095808201044,95,234,74.85913361143321,23.166116608772427
95,"[-1193, -1001, -1050, -890, -1027]",101.70023972075433,-11931001105008901027,96,237,77.01584049034864,24.089124761056155
96,"[-1192, -975, -880, -926, -928]",106.13782257586718,-11920975088009260928,97,240,80.54876501206309,24.976336443331093
97,"[-1192, -920, -989, -868, -1040]",107.88467342266813,-11920920098908681040,98,242,82.06268341001123,25.19558878429234
98,"[-1191, -949, -1061, -840, -998]",112.07053009001538,-11910949106108400998,99,245,84.93861668091267,26.48449866194278
99,"[-1191, -946, -1056, -934, -996]",113.57440979592502,-11910946105609340996,100,247,86.20097738970071,26.712418880313635
100,"[-1191, -942, -996, -800, -1043]",115.0320970308967,-11910942099608001043,101,249,87.40155072743073,26.95568906562403
101,"[-1190, -1027, -1001, -848, -954]",119.64393315277994,-11901027100108480954,102,252,90.63333022035658,28.31622688798234
102,"[-1190, -889, -981, -993, -920]",121.45844202768058,-11900889098109930920,103,254,92.29167999373749,28.459902865812182
103,"[-1189, -1063, -962, -850, -922]",125.5338444719091,-11891063096208500922,104,257,94.98159498069435,29.82115487800911
104,"[-1189, -981, -914, -927, -939]",127.00273343082517,-11890981091409270939,105,259,96.29885376058519,29.96004149597138
105,"[-1188, -1005, -971, -804, -1034]",131.20969436503947,-11881005097108041034,106,262,99.25325248669833,31.191948522347957
106,"[-1187, -1026, -970, -809, -1010]",135.8423369708471,-11871026097008091010,107,265,102.62612306000665,32.43190536927432
107,"[-1187, -1014, -1055, -912, -949]",136.62788423290476,-11871014105509120949,108,267,103.23895518109202,32.590942221693695
108,"[-1187, -1007, -990, -872, -994]",137.9504655888304,-11871007099008720994,109,269,104.40970703214407,32.72834809496999
109,"[-1187, -888, -950, -954, -976]",140.0214130920358,-11870888095009540976,110,271,106.27137776976451,32.92260181624442
110,"[-1186, -1018, -935, -869, -1083]",145.4134364016354,-11861018093508691083,111,274,109.88051459379494,34.67848046729341
111,"[-1185, -1032, -900, -901, -863]",149.24391463492066,-11851032090009010863,112,277,112.54213065188378,35.82615521037951
112,"[-1184, -1013, -1024, -873, -1005]",153.28367603383958,-11841013102408731005,113,280,115.37039635563269,37.01633754232898
113,"[-1183, -1049, -997, -812, -1015]",157.67932168068364,-11831049099708121015,114,283,118.57188626658171,38.18857540329918
114,"[-1183, -934, -930, -985, -965]",159.7898619468324,-11830934093009850965,115,285,120.48813755670562,38.36732890736312
115,"[-1182, -1038, -934, -902, -874]",164.24407846899703,-11821038093409020874,116,288,123.41896497644484,39.86494339769706
116,"[-1182, -945, -854, -877, -1124]",166.33271013572812,-11820945085408771124,117,290,125.30825330829248,40.048360536806285
117,"[-1182, -915, -1055, -921, -1001]",168.11853565601632,-11820915105509211001,118,292,126.73719588527456,40.38675491558388
118,"[-1180, -1055, -1031, -813, -1026]",172.8687849920243,-11801055103108131026,119,295,130.0365756843239,41.809440676588565
119,"[-1180, -1048, -966, -773, -1071]",174.3385215527378,-11801048096607731071,120,297,131.3032538285479,41.9959132228978
120,"[-1179, -1075, -955, -844, -1018]",179.43942414270714,-11791075095508441018,121,300,135.09551650471985,43.28100741095841
121,"[-1179, -1005, -1038, -878, -994]",180.9762667589821,-11791005103808780994,122,302,136.44141175597906,43.455226477235556
122,"[-1179, -966, -1023, -965, -932]",182.76061098696664,-11790966102309650932,123,304,137.96326107624918,43.69882712420076
123,"[-1178, -993, -972, -817, -1040]",189.20043734600767,-11780993097208171040,124,307,142.63600283535197,45.438996493816376
124,"[-1176, -1041, -1018, -942, -893]",195.2938505508937,-11761041101809420893,125,310,147.27166996430606,46.87038549082354
125,"[-1176, -1013, -1001, -922, -1044]",196.4354358157143,-11761013100109221044,126,312,148.1810870342888,47.08448287192732
126,"[-1176, -1003, -1044, -907, -1076]",198.03989998903126,-11761003104409071076,127,314,149.5713345054537,47.27924979105592
127,"[-1176, -991, -950, -960, -900]",200.11783435195684,-11760991095009600900,128,316,151.3845285777934,47.52416566526517
128,"[-1176, -932, -867, -861, -1114]",203.1033411626704,-11760932086708611114,129,318,154.04888484906405,47.824104574043304
129,"[-1175, -857, -893, -1013, -845]",212.61566407885402,-11750857089310130845,130,321,161.8316207518801,49.5225006621331
130,"[-1174, -1035, -979, -757, -1061]",219.4339657239616,-11741035097907571061,131,324,166.53887246083468,51.595101832877845
131,"[-1174, -903, -929, -972, -970]",222.46285441471264,-11740903092909720970,132,326,169.31375128077343,51.829468660987914
132,"[-1174, -864, -995, -990, -916]",225.4993283827789,-11740864099509900916,133,328,171.61039711767808,52.54234044672921
133,"[-1172, -1045, -1094, -902, -1011]",231.9595294916071,-11721045109409021011,134,331,175.86287797428668,54.71158690052107
134,"[-1172, -901, -979, -995, -944]",234.47807166259736,-11720901097909950944,135,333,178.1442827852443,54.92895114654675
135,"[-1171, -1063, -1027, -851, -972]",242.29591579874977,-11711063102708510972,136,336,183.80560701340437,57.05005785450339
136,"[-1171, -993, -912, -929, -963]",244.53269071690738,-11710993091209290963,137,338,185.82253619330004,57.2498870678246
137,"[-1171, -863, -964, -951, -972]",247.43712838878855,-11710863096409510972,138,340,188.3052942790091,57.648689951747656
138,"[-1170, -862, -872, -832, -1121]",260.47201674291864,-11700862087208321121,139,343,199.14116812171414,59.80631119152531
139,"[-1170, -841, -1035, -1022, -777]",263.3589487830177,-11700841103510220777,140,345,201.20872762193903,60.59187930263579
140,"[-1169, -1070, -1021, -897, -979]",273.0150329777971,-11691070102108970979,141,348,208.48830283107236,62.92686839355156
141,"[-1169, -950, -1076, -933, -907]",275.16655802959576,-11690950107609330907,142,350,210.40726355696097,63.138585390057415
142,"[-1169, -900, -948, -956, -1000]",278.2317402558401,-11690900094809561000,143,352,212.99555359082296,63.59161820821464
143,"[-1168, -918, -1084, -995, -879]",288.6374265658669,-11680918108409950879,144,355,221.29749344103038,65.65709597384557
144,"[-1166, -1023, -853, -808, -1030]",298.1028118468821,-11661023085308081030,145,358,228.57687576999888,67.80650413734838
145,"[-1164, -1050, -932, -904, -898]",307.06348763080314,-11641050093209040898,146,361,235.79346424806863,69.51937094796449
146,"[-1164, -1003, -1066, -931, -873]",309.67942048376426,-11641003106609310873,147,363,238.1180778820999,69.78823930304497
147,"[-1164, -884, -1090, -965, -932]",312.89066081587225,-11640884109009650932,148,365,240.899794917088,70.19296538457274
148,"[-1164, -852, -1109, -934, -911]",316.57992195896804,-11640852110909340911,149,367,243.59428482828662,71.15462806727737
149,"[-1164, -849, -885, -816, -1111]",321.7135212835856,-11640849088508161111,150,369,247.90927015151829,71.93661010125652
150,"[-1163, -1057, -1025, -830, -1075]",329.84359916858375,-11631057102508301075,151,372,253.5648085065186,74.36314429994673
151,"[-1163, -967, -986, -945, -946]",332.64715032465756,-11630967098609450946,152,374,256.09137930953875,74.61667638644576
152,"[-1163, -937, -1089, -917, -897]",335.6226368569769,-11630937108909170897,153,376,258.45061239926144,75.20536807924509
153,"[-1163, -914, -946, -965, -955]",339.37866088794544,-11630914094609650955,154,378,261.65742640243843,75.72695989906788
154,"[-1161, -986, -950, -931, -942]",350.4104083967395,-11610986095009310942,155,381,270.1144992504269,78.26024233177304
155,"[-1161, -884, -1092, -918, -940]",353.13082124479115,-11610884109209180940,156,383,272.33074482530355,78.73717772541568
156,"[-1160, -973, -1020, -946, -957]",363.1450010109693,-11600973102009460957,157,386,280.05323618929833,80.98415725771338
157,"[-1159, -1081, -976, -824, -932]",370.2280439576134,-11591081097608240932,158,389,285.01997250225395,83.06293310364708
158,"[-1159, -1080, -873, -783, -965]",371.5620942385867,-11591080087307830965,159,391,286.085494232364,83.30696817860007
159,"[-1159, -1043, -1012, -959, -942]",373.48236761568114,-11591043101209590942,160,393,287.7486270153895,83.53858597949147
160,"[-1159, -984, -944, -838, -1116]",376.62075431179255,-11590984094408381116,161,395,290.5556242885068,83.8434838578105
161,"[-1159, -909, -889, -1016, -820]",380.4757292959839,-11590909088910160820,162,397,293.8457500115037,84.37818438420072
162,"[-1159, -873, -1074, -920, -963]",383.85466560861096,-11590873107409200963,163,399,296.4007436046377,85.16622328851372
163,"[-1158, -936, -1067, -992, -858]",396.5906417206861,-11580936106709920858,164,402,306.469149291981,87.78497672546655
164,"[-1157, -1048, -1015, -923, -918]",405.65587179875,-11571048101509230918,165,405,313.1496518775821,90.12984493095428
165,"[-1157, -893, -1110, -881, -925]",408.4232125165872,-11570893111008810925,166,407,315.5509851328097,90.46868348587304
166,"[-1156, -1066, -1004, -855, -1032]",417.958445858676,-11561066100408551032,167,410,321.9751350665465,93.53157800110057
167,"[-1156, -1065, -1037, -819, -1041]",419.7414604839869,-11561065103708191041,168,412,323.446372772567,93.81549185933545
168,"[-1156, -1059, -939, -815, -1077]",421.39931171759963,-11561059093908151077,169,414,324.7999640884809,94.09113707905635
169,"[-1156, -946, -910, -958, -964]",425.3135954607278,-11560946091009580964,170,416,328.3563629798591,94.41961734322831
170,"[-1156, -927, -1017, -964, -1007]",429.6767141078599,-11560927101709641007,171,418,332.03678646683693,95.0695140780881
