,solution,time,obj value,solve_calls_sat,solve_calls_unsat,time_solve_sat,time_solve_unsat
0,"[-15, 218, 17, -139, -243, -234, -130, -100, -256, -360]",0.3111327229999006,-14781983139243234130100256360,1,0,0.31113362801261246,0.0
1,"[-15, 218, 17, -129, -236, -228, -126, -106, -255, -353]",0.783981490007136,-14781983129236228126106255353,2,5,0.5877126210252754,0.19570611900417134
2,"[-15, 219, 17, -147, -241, -232, -126, -107, -257, -363]",2.110417285002768,-14780983147241232126107257363,3,12,1.3747745580039918,0.7339245499751996
3,"[-15, 219, 17, -146, -242, -234, -128, -107, -263, -375]",2.496123921999242,-14780983146242234128107263375,4,17,1.56896152702393,0.9246827279566787
4,"[-15, 219, 17, -146, -240, -236, -130, -112, -264, -363]",2.816187396994792,-14780983146240236130112264363,5,21,1.7273825170123018,1.0856376529263798
5,"[-15, 220, 17, -149, -241, -225, -122, -104, -257, -375]",4.327420215005986,-14779983149241225122104257375,6,28,2.4406758210097905,1.881453380919993
6,"[-15, 220, 17, -147, -244, -229, -126, -108, -265, -366]",4.941606125998078,-14779983147244229126108265366,7,33,2.7843924059998244,2.1505413468985353
7,"[-15, 220, 17, -146, -235, -241, -132, -110, -264, -362]",5.592692748992704,-14779983146235241132110264362,8,38,3.152294591011014,2.432454717956716
8,"[-15, 220, 17, -137, -243, -230, -126, -100, -260, -368]",6.830695727985585,-14779983137243230126100260368,9,43,3.935835903015686,2.885171197965974
9,"[-15, 220, 17, -132, -243, -231, -126, -100, -261, -359]",8.319015029992443,-14779983132243231126100261359,10,48,4.888261356012663,3.4193834460165817
10,"[-15, 220, 18, -151, -244, -224, -122, -103, -256, -364]",10.931446714006597,-14779982151244224122103256364,11,54,6.568147299985867,4.34874194895383
11,"[-15, 221, 17, -150, -240, -233, -126, -104, -263, -361]",14.616274309984874,-14778983150240233126104263361,12,61,7.850876589975087,6.747471377981128
12,"[-15, 221, 17, -148, -238, -228, -124, -110, -266, -368]",16.036918192985468,-14778983148238228124110266368,13,66,8.718540891975863,7.298548151971772
13,"[-15, 221, 17, -147, -245, -235, -128, -103, -257, -362]",17.46422457799781,-14778983147245235128103257362,14,71,9.514982203982072,7.927299462957308
14,"[-15, 221, 17, -147, -243, -227, -122, -109, -258, -361]",17.962526978983078,-14778983147243227122109258361,15,75,9.816819351981394,8.12254456494702
15,"[-15, 221, 17, -147, -240, -229, -124, -110, -263, -382]",18.998952431982616,-14778983147240229124110263382,16,79,10.64931039197836,8.325294680951629
16,"[-15, 221, 17, -147, -239, -234, -128, -106, -265, -365]",20.215142579982057,-14778983147239234128106265365,17,83,11.591484256961849,8.597843449941138
17,"[-15, 221, 17, -147, -228, -227, -124, -112, -256, -372]",21.352960763993906,-14778983147228227124112256372,18,87,12.327163940964965,8.998601815896109
18,"[-15, 221, 17, -146, -246, -237, -130, -103, -263, -374]",22.587215267994907,-14778983146246237130103263374,19,92,12.847502054966753,9.708786594856065
19,"[-15, 221, 17, -146, -244, -239, -132, -108, -264, -362]",22.959805632010102,-14778983146244239132108264362,20,96,13.082479684962891,9.845172335859388
20,"[-15, 221, 17, -146, -244, -229, -124, -109, -264, -373]",23.402586551004788,-14778983146244229124109264373,21,99,13.381102097948315,9.988146352843614
21,"[-15, 221, 17, -146, -242, -231, -126, -114, -265, -361]",24.12440239699208,-14778983146242231126114265361,22,103,13.89273831396713,10.196827693813248
