,solution,time,obj value,solve_calls_sat,solve_calls_unsat,time_solve_sat,time_solve_unsat
0,"[-15, 296, 18, -1192]",0.41488593400572427,-1470383192,1,0,0.4148863410227932,0.0
1,"[-15, 297, 18, -1194]",0.9334085730079096,-1470283194,2,0,0.9320129270199686,0.0
2,"[-15, 298, 18, -1195]",1.5305064879939891,-1470183195,3,0,1.5282794370141346,0.0
3,"[-15, 299, 18, -1214]",2.3181127720163204,-1470083214,4,0,2.31506489100866,0.0
4,"[-15, 300, 18, -1223]",2.884596620016964,-1469983223,5,0,2.880612948007183,0.0
5,"[-15, 302, 18, -1228]",3.5634882720187306,-1469783228,6,0,3.5586052279977594,0.0
6,"[-15, 303, 18, -1240]",4.174277165991953,-1469683240,7,0,4.168528056005016,0.0
7,"[-15, 304, 18, -1245]",5.010990312002832,-1469583245,8,0,5.00440849098959,0.0
8,"[-15, 305, 17, -1206]",5.785053772997344,-1469484206,9,0,5.777555624983506,0.0
9,"[-15, 305, 18, -1247]",6.652840772003401,-1469483247,10,0,6.643919553986052,0.0
10,"[-15, 306, 18, -1254]",7.915774916007649,-1469383254,11,0,7.905955678987084,0.0
11,"[-15, 307, 17, -1219]",8.803780884016305,-1469284219,12,0,8.7931592509849,0.0
12,"[-15, 307, 18, -1256]",9.92801169201266,-1469283256,13,0,9.916469978983514,0.0
13,"[-15, 308, 17, -1225]",10.722161070996663,-1469184225,14,0,10.709766212006798,0.0
14,"[-15, 309, 17, -1230]",12.333856932003982,-1469084230,15,0,12.319991997006582,0.0
15,"[-15, 309, 18, -1264]",14.095903186011128,-1469083264,16,0,14.08074612999917,0.0
16,"[-15, 310, 17, -1240]",15.425594870001078,-1468984240,17,0,15.40949002999696,0.0
17,"[-15, 310, 18, -1266]",17.230911054997705,-1468983266,18,0,17.213949764991412,0.0
18,"[-15, 311, 17, -1250]",18.828199253999628,-1468884250,19,0,18.81032808299642,0.0
19,"[-15, 311, 18, -1272]",20.75794985401444,-1468883272,20,0,20.738456536986632,0.0
20,"[-15, 312, 18, -1280]",23.104370098008076,-1468783280,21,0,23.083958606992383,0.0
21,"[-15, 313, 18, -1282]",25.509632635017624,-1468683282,22,0,25.488395583990496,0.0
22,"[-15, 314, 17, -1260]",27.381469162006397,-1468584260,23,0,27.359379751986125,0.0
23,"[-15, 314, 18, -1286]",29.982800782017875,-1468583286,24,0,29.959870434977347,0.0
24,"[-15, 315, 17, -1262]",31.67195467001875,-1468484262,25,0,31.648105616972316,0.0
25,"[-15, 315, 18, -1288]",34.46120587401674,-1468483288,26,0,34.436495035974076,0.0
