,solution,time,obj value,solve_calls_sat,solve_calls_unsat,time_solve_sat,time_solve_unsat
0,"[-15, 228, 18, -1395]",0.32411906600464135,-1477183395,1,0,0.3241200350021245,0.0
1,"[-15, 229, 17, -1398]",0.7058616700087441,-1477084398,2,1,0.6766560789983487,0.028981413997826166
2,"[-15, 229, 18, -1404]",0.7724591220030561,-1477083404,3,1,0.7430945550004253,0.028981413997826166
3,"[-15, 230, 17, -1413]",1.3446446770103648,-1476984413,4,2,1.278489571006503,0.06561448400316294
4,"[-15, 230, 18, -1423]",1.4401353249995736,-1476983423,5,2,1.3737014299986186,0.06561448400316294
5,"[-15, 231, 18, -1431]",2.206394769003964,-1476883431,6,3,2.0943029319896596,0.11099031100457069
6,"[-15, 232, 17, -1422]",2.493735035008285,-1476784422,7,4,2.362756181988516,0.12962835100188386
7,"[-15, 232, 18, -1434]",2.576451384011307,-1476783434,8,5,2.4192649199976586,0.15550130399060436
8,"[-15, 233, 17, -1441]",2.9902520120085683,-1476684441,9,6,2.8114326179929776,0.17695231598918326
9,"[-15, 234, 18, -1452]",3.401330560009228,-1476583452,10,7,3.1736654449923662,0.22551339799247216
10,"[-15, 235, 17, -1447]",3.691516484002932,-1476484447,11,8,3.4431684619921725,0.24589229800039902
11,"[-15, 235, 18, -1458]",3.7520754620054504,-1476483458,12,9,3.4832561209914275,0.2661130240012426
12,"[-15, 236, 17, -1454]",4.365949938000995,-1476384454,13,10,4.0787393219798105,0.2842878350056708
13,"[-15, 236, 18, -1465]",4.397781014005886,-1476383465,14,11,4.097861224974622,0.29673118800565135
14,"[-15, 237, 16, -1407]",5.0973251670075115,-1476285407,15,12,4.781076907980605,0.3128245400002925
15,"[-15, 237, 18, -1467]",5.200607704013237,-1476283467,16,14,4.820460009985254,0.37638426100602373
16,"[-15, 238, 16, -1421]",6.030348434011103,-1476185421,17,15,5.605823781981599,0.42027604799659457
17,"[-15, 238, 17, -1468]",6.08162759100378,-1476184468,18,16,5.62458755998523,0.45243324000330176
18,"[-15, 238, 18, -1473]",6.131781082003727,-1476183473,19,16,5.674604441985139,0.45243324000330176
19,"[-15, 239, 16, -1424]",6.701232090999838,-1476085424,20,17,6.203847822995158,0.49219299701508135
